Category,Metric,varianta_main Mean,variantb_lint_1.5g Mean,varianta_main P50,variantb_lint_1.5g P50,varianta_main P90,variantb_lint_1.5g P90,Unit
Task Path,:layer_0:module_0_22:compileDebugKotlin,3125,2677,3176,2754,3470,3216,ms
Task Path,:layer_0:module_0_23:compileDebugKotlin,3022,2585,3068,2622,3445,3110,ms
Task Path,:layer_0:module_0_24:compileDebugKotlin,2898,2598,3092,2664,3438,3058,ms
Task Path,:layer_0:module_0_25:compileDebugKotlin,2904,2685,2919,2693,3548,3069,ms
Task Path,:layer_0:module_0_26:compileDebugKotlin,3101,2926,3107,2808,3908,3344,ms
Task Path,:layer_0:module_0_27:compileDebugKotlin,2968,2666,3018,2502,3472,3058,ms
Task Path,:layer_0:module_0_28:compileDebugKotlin,2927,2623,2920,2507,3344,3457,ms
Task Path,:layer_0:module_0_103:lintAnalyzeDebug,8528,10257,8210,10151,12082,11566,ms
Task Path,:layer_0:module_0_29:compileDebugKotlin,3094,2626,3022,2582,3629,3050,ms
Task Path,:layer_0:module_0_3:compileDebugKotlin,3061,2483,3019,2506,3910,2827,ms
Task Path,:layer_0:module_0_30:compileDebugKotlin,2985,2447,2934,2492,3483,2852,ms
Task Path,:layer_0:module_0_31:compileDebugKotlin,2836,2520,2824,2581,3456,2930,ms
Task Path,:layer_0:module_0_32:compileDebugKotlin,2814,2464,2778,2358,3288,2831,ms
Task Path,:layer_0:module_0_33:compileDebugKotlin,2795,2390,2670,2395,3489,2826,ms
Task Path,:layer_0:module_0_34:compileDebugKotlin,2827,2542,2696,2590,3471,2791,ms
Task Path,:layer_0:module_0_35:compileDebugKotlin,2637,2494,2641,2556,3256,2801,ms
Task Path,:layer_0:module_0_104:lintAnalyzeDebug,7703,9654,7678,9532,8529,11790,ms
Task Path,:layer_0:module_0_36:compileDebugKotlin,2727,2366,2811,2389,3227,2631,ms
Task Path,:layer_0:module_0_37:compileDebugKotlin,2719,2554,2740,2468,3495,2759,ms
Task Path,:layer_0:module_0_38:compileDebugKotlin,2800,2647,2724,2479,3188,4108,ms
Task Path,:layer_0:module_0_39:compileDebugKotlin,2745,2463,2713,2378,3306,2785,ms
Task Path,:layer_0:module_0_4:compileDebugKotlin,2782,2659,2776,2505,3320,3386,ms
Task Path,:layer_0:module_0_40:compileDebugKotlin,2739,2889,2649,2639,3190,3894,ms
Task Path,:layer_0:module_0_105:lintAnalyzeDebug,7522,8976,7170,8771,9047,10675,ms
Task Path,:layer_0:module_0_41:compileDebugKotlin,2840,2401,2897,2282,3488,3050,ms
Task Path,:layer_0:module_0_42:compileDebugKotlin,2670,2256,2714,2179,2983,2707,ms
Task Path,:layer_0:module_0_43:compileDebugKotlin,2540,2570,2494,2293,3099,4698,ms
Task Path,:layer_0:module_0_44:compileDebugKotlin,2641,2677,2687,2426,3217,4594,ms
Task Path,:layer_0:module_0_45:compileDebugKotlin,2556,2291,2584,2184,2954,2712,ms
Task Path,:layer_0:module_0_46:compileDebugKotlin,2606,2208,2635,2259,2984,2577,ms
Task Path,:layer_0:module_0_47:compileDebugKotlin,2583,2205,2619,2220,3165,2831,ms
Task Path,:layer_0:module_0_49:compileDebugKotlin,2726,2540,2657,2292,3595,4474,ms
Task Path,:layer_0:module_0_48:compileDebugKotlin,2732,2417,2826,2263,3223,2867,ms
Task Path,:layer_0:module_0_5:compileDebugKotlin,2740,2502,2583,2304,3462,3669,ms
Task Path,:layer_0:module_0_106:lintAnalyzeDebug,7103,8544,6718,8366,8413,10665,ms
Task Path,:layer_0:module_0_50:compileDebugKotlin,2675,2453,2595,2325,3876,3781,ms
Task Path,:layer_0:module_0_51:compileDebugKotlin,2433,2418,2468,2296,2795,3247,ms
Task Path,:layer_0:module_0_52:compileDebugKotlin,2582,2322,2630,2266,2989,2990,ms
Task Path,:layer_0:module_0_53:compileDebugKotlin,2619,2329,2655,2303,3251,3106,ms
Task Path,:layer_0:module_0_54:compileDebugKotlin,2855,2084,2773,2111,3781,2420,ms
Task Path,:layer_0:module_0_55:compileDebugKotlin,2569,2085,2459,2024,3418,2422,ms
Task Path,:layer_0:module_0_56:compileDebugKotlin,2481,2211,2316,2252,3324,2484,ms
Task Path,:layer_0:module_0_57:compileDebugKotlin,2432,2359,2443,2376,2854,2653,ms
Task Path,:layer_0:module_0_58:compileDebugKotlin,2394,2029,2356,1987,2885,2376,ms
Task Path,:layer_0:module_0_107:lintAnalyzeDebug,7568,8323,7056,8148,11121,10385,ms
Task Path,:layer_0:module_0_59:compileDebugKotlin,2543,2209,2565,2107,3051,2658,ms
Task Path,:layer_0:module_0_6:compileDebugKotlin,2532,2178,2519,2129,3149,2820,ms
Task Path,:layer_0:module_0_60:compileDebugKotlin,2463,2230,2538,2171,2906,2555,ms
Task Path,:layer_0:module_0_61:compileDebugKotlin,2355,2083,2271,2118,2786,2547,ms
Task Path,:layer_0:module_0_62:compileDebugKotlin,2373,2052,2372,2037,2885,2472,ms
Task Path,:layer_0:module_0_63:compileDebugKotlin,2388,2077,2396,2051,3004,2573,ms
Task Path,:layer_0:module_0_108:lintAnalyzeDebug,7219,7746,6694,7593,9350,9840,ms
Task Path,:layer_0:module_0_64:compileDebugKotlin,2657,2003,2613,2007,3603,2361,ms
Task Path,:layer_0:module_0_65:compileDebugKotlin,2763,2245,2594,2277,3889,2582,ms
Task Path,:layer_0:module_0_66:compileDebugKotlin,2633,2255,2532,2315,3771,2549,ms
Task Path,:layer_0:module_0_67:compileDebugKotlin,2219,1935,2171,1984,2652,2453,ms
Task Path,:layer_0:module_0_69:compileDebugKotlin,2235,2022,2166,2099,2699,2383,ms
Task Path,:layer_0:module_0_68:compileDebugKotlin,2237,1970,2243,2018,2865,2362,ms
Task Path,:layer_0:module_0_7:compileDebugKotlin,2198,2009,2106,1997,2740,2508,ms
Task Path,:layer_0:module_0_109:lintAnalyzeDebug,7048,7520,6533,7091,9899,9956,ms
Task Path,:layer_0:module_0_71:compileDebugKotlin,2336,2084,2358,2091,2756,2513,ms
Task Path,:layer_0:module_0_70:compileDebugKotlin,2402,2097,2338,2149,2970,2525,ms
Task Path,:layer_0:module_0_72:compileDebugKotlin,2356,2065,2408,2073,2863,2418,ms
Task Path,:layer_0:module_0_73:compileDebugKotlin,2333,2054,2300,2079,3152,2407,ms
Task Path,:layer_0:module_0_74:compileDebugKotlin,2469,2198,2513,2128,2857,2984,ms
Task Path,:layer_0:module_0_75:compileDebugKotlin,2181,2159,2103,2078,3008,3152,ms
Task Path,:layer_0:module_0_11:lintAnalyzeDebug,6669,6995,6497,6710,7745,7955,ms
Task Path,:layer_0:module_0_76:compileDebugKotlin,2159,2032,2110,1903,2548,2445,ms
Task Path,:layer_0:module_0_77:compileDebugKotlin,2226,1978,2136,1999,2621,2317,ms
Task Path,:layer_0:module_0_78:compileDebugKotlin,2349,2162,2347,2105,2811,2845,ms
Task Path,:layer_0:module_0_79:compileDebugKotlin,2279,2176,2234,2025,2817,2802,ms
Task Path,:layer_0:module_0_8:compileDebugKotlin,2260,1928,2343,2007,2765,2326,ms
Task Path,:layer_0:module_0_80:compileDebugKotlin,2153,1903,2087,1963,2615,2266,ms
Task Path,:layer_0:module_0_110:lintAnalyzeDebug,6483,6847,6348,6529,7901,8833,ms
Task Path,:layer_0:module_0_81:compileDebugKotlin,2166,1909,2055,1975,2708,2239,ms
Task Path,:layer_0:module_0_82:compileDebugKotlin,2240,2041,2120,2092,2726,2350,ms
Task Path,:layer_0:module_0_83:compileDebugKotlin,2443,1996,2388,2000,3376,2375,ms
Task Path,:layer_0:module_0_84:compileDebugKotlin,2451,1979,2314,2066,3388,2280,ms
Task Path,:layer_0:module_0_85:compileDebugKotlin,2354,2075,2300,2008,3162,2742,ms
Task Path,:layer_0:module_0_86:compileDebugKotlin,2134,2096,2008,2055,3169,3060,ms
Task Path,:layer_0:module_0_111:lintAnalyzeDebug,6076,6603,5922,6450,7214,7846,ms
Task Path,:layer_0:module_0_87:compileDebugKotlin,2125,1957,2131,1901,2527,2701,ms
Task Path,:layer_0:module_0_88:compileDebugKotlin,2113,1903,2021,1887,2629,2445,ms
Task Path,:layer_0:module_0_89:compileDebugKotlin,2231,2085,2221,2045,2514,2475,ms
Task Path,:layer_0:module_0_9:compileDebugKotlin,2296,2200,2222,2141,2943,2925,ms
Task Path,:layer_0:module_0_90:compileDebugKotlin,2149,1939,2117,1941,2741,2220,ms
Task Path,:layer_0:module_0_91:compileDebugKotlin,2073,1878,1960,1921,2772,2188,ms
Task Path,:layer_0:module_0_112:lintAnalyzeDebug,6004,6502,5891,6182,7087,8034,ms
Task Path,:layer_0:module_0_92:compileDebugKotlin,2180,1954,2165,1824,2698,2528,ms
Task Path,:layer_0:module_0_93:compileDebugKotlin,2358,1963,2306,1897,2967,2145,ms
Task Path,:layer_0:module_0_94:compileDebugKotlin,2141,1998,2158,1990,2660,2359,ms
Task Path,:layer_0:module_0_95:compileDebugKotlin,2202,2160,2102,2148,2858,2482,ms
Task Path,:layer_0:module_0_97:compileDebugKotlin,2116,1887,2065,1887,2462,2280,ms
Task Path,:layer_0:module_0_96:compileDebugKotlin,2163,1901,2088,1941,2772,2279,ms
Task Path,:layer_0:module_0_113:lintAnalyzeDebug,5785,6590,5529,6155,7430,7763,ms
Task Path,:layer_0:module_0_98:compileDebugKotlin,2076,1993,2141,1997,2496,2266,ms
Task Path,:layer_0:module_0_99:compileDebugKotlin,2111,1927,2106,1962,2507,2215,ms
Task Path,:layer_0:module_0_114:lintAnalyzeDebug,5733,6405,5610,6050,6532,7662,ms
Task Path,:layer_1:module_1_133:compileDebugKotlin,3365,2901,3378,2931,4087,3262,ms
Task Path,:layer_1:module_1_135:compileDebugKotlin,2605,2093,2653,2074,3379,2431,ms
Task Path,:layer_1:module_1_134:compileDebugKotlin,3181,2791,3264,2819,4083,3296,ms
Task Path,:layer_1:module_1_137:compileDebugKotlin,3194,2833,3169,2448,4359,6162,ms
Task Path,:layer_1:module_1_136:compileDebugKotlin,3414,2739,3309,2815,3999,3092,ms
Task Path,:layer_1:module_1_138:compileDebugKotlin,2918,2527,2874,2278,3899,4914,ms
