Category,Metric,varianta_baseline Mean,variantb_kotlin-2.4.10 Mean,varianta_baseline P50,variantb_kotlin-2.4.10 P50,varianta_baseline P90,variantb_kotlin-2.4.10 P90,Unit
Build,Build time,284826,289659,287720,289488,309706,307925,ms
Build,Configuration time,39371,40329,39848,40699,42496,45402,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,3,4,4,4,6,6,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,31,29,30,28,41,43,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,43,42,39,38,65,62,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3694,3747,2980,3009,5425,5627,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,443,441,376,380,659,652,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,41,42,42,43,48,53,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,4,4,4,4,6,8,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,12,12,11,11,20,20,ms
Task Type,com.android.build.gradle.tasks.MergeResources,88,89,35,35,62,61,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,11,11,6,6,12,12,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,47,48,33,33,58,58,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,16,16,14,14,26,26,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,27,28,25,25,44,45,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,2642,2692,2314,2358,3857,3924,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,129,131,120,121,196,201,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,20,20,18,18,30,30,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,10,11,5,5,12,12,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,17,16,14,16,24,27,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,10,12,10,11,18,20,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,6,7,5,6,11,12,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,6,6,5,5,10,10,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,23,25,17,17,29,28,ms
Task Type,com.android.build.gradle.tasks.CompileNavigationXmlTask,72,69,61,56,139,139,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,19,17,20,18,27,23,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,5,5,3,4,10,10,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,27,28,21,22,37,36,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,11,11,10,9,17,17,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,318,356,314,370,432,490,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,253,266,249,253,344,423,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,188,63,44,40,76,89,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,9,8,7,7,16,15,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,174,173,177,169,229,228,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,61,63,53,55,84,85,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2124,2042,2028,1999,2919,2409,ms
Task Type,dagger.hilt.android.plugin.task.HiltSyncTask,0,0,0,0,0,0,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,259,248,258,232,338,342,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,32,33,6,6,12,12,ms
