Category,Metric,varianta_kotlin_2.2.0 Mean,variantb_k2_kotlin_2.2.0 Mean,varianta_kotlin_2.2.0 P50,variantb_k2_kotlin_2.2.0 P50,varianta_kotlin_2.2.0 P90,variantb_k2_kotlin_2.2.0 P90,Unit
Task Path,:layer_0:module_0_34:kspDebugKotlin,3374,4457,3269,4456,4047,5280,ms
Task Path,:layer_0:module_0_31:compileDebugKotlin,3563,4132,3475,4144,4040,4672,ms
Task Path,:layer_0:module_0_32:compileDebugKotlin,3442,3928,3415,3953,3791,4534,ms
Task Path,:layer_0:module_0_33:compileDebugKotlin,3385,3782,3365,3830,3821,4248,ms
Task Path,:layer_0:module_0_34:compileDebugKotlin,3284,3645,3270,3659,3631,4094,ms
Task Path,:layer_0:module_0_36:kspDebugKotlin,3155,3993,3054,3971,3568,4663,ms
Task Path,:layer_0:module_0_35:kspDebugKotlin,3371,4450,3308,4330,3891,5153,ms
Task Path,:layer_0:module_0_37:kspDebugKotlin,3110,3933,3065,3783,3783,4494,ms
Task Path,:layer_0:module_0_38:kspDebugKotlin,3256,3997,3150,3867,3984,4748,ms
Task Path,:layer_0:module_0_36:compileDebugKotlin,3065,3416,3077,3337,3443,3879,ms
Task Path,:layer_0:module_0_35:compileDebugKotlin,3223,3422,3182,3394,3643,3814,ms
Task Path,:layer_0:module_0_37:compileDebugKotlin,3216,3571,3175,3515,3576,4080,ms
Task Path,:layer_0:module_0_38:compileDebugKotlin,3079,3422,3046,3388,3393,3947,ms
Task Path,:layer_0:module_0_39:kspDebugKotlin,2640,3640,2548,3504,3109,4391,ms
Task Path,:layer_0:module_0_4:kspDebugKotlin,2962,3984,2891,3911,3380,4640,ms
Task Path,:layer_0:module_0_41:kspDebugKotlin,3112,4265,3061,4062,3546,5063,ms
Task Path,:layer_0:module_0_40:kspDebugKotlin,3647,5266,3505,5168,4188,5992,ms
Task Path,:layer_0:module_0_39:compileDebugKotlin,2959,3724,2924,3746,3486,4091,ms
Task Path,:layer_0:module_0_4:compileDebugKotlin,3056,3727,3021,3676,3472,4283,ms
Task Path,:layer_0:module_0_41:compileDebugKotlin,3150,3581,3161,3500,3602,4252,ms
Task Path,:layer_0:module_0_40:compileDebugKotlin,2998,3114,3018,3072,3467,3634,ms
Task Path,:layer_0:module_0_42:kspDebugKotlin,2494,3531,2485,3547,2843,4082,ms
Task Path,:layer_0:module_0_43:kspDebugKotlin,2782,3725,2707,3622,3406,4447,ms
Task Path,:layer_0:module_0_44:kspDebugKotlin,3122,4234,3065,4178,3723,5024,ms
Task Path,:layer_0:module_0_45:kspDebugKotlin,3629,5060,3621,5104,4201,5834,ms
Task Path,:layer_0:module_0_42:compileDebugKotlin,2747,3771,2639,3832,3394,4585,ms
Task Path,:layer_0:module_0_43:compileDebugKotlin,2821,3926,2790,3899,3200,4732,ms
Task Path,:layer_0:module_0_44:compileDebugKotlin,2704,3554,2695,3520,3054,4150,ms
Task Path,:layer_0:module_0_45:compileDebugKotlin,2535,3067,2524,3076,2907,3526,ms
Task Path,:layer_0:module_0_46:kspDebugKotlin,2799,3624,2816,3469,3387,4446,ms
Task Path,:layer_0:module_0_6:kspDebugKotlin,3050,3763,3060,3743,3606,4402,ms
Task Path,:layer_0:module_0_5:kspDebugKotlin,3390,4350,3368,4387,4028,4885,ms
Task Path,:layer_0:module_0_7:kspDebugKotlin,3138,3966,3124,3973,3635,4444,ms
Task Path,:layer_0:module_0_46:compileDebugKotlin,2649,3328,2591,3345,3123,3788,ms
Task Path,:layer_0:module_0_5:compileDebugKotlin,2905,3144,2791,3093,3204,3742,ms
Task Path,:layer_0:module_0_6:compileDebugKotlin,2792,3222,2676,3193,3172,3639,ms
Task Path,:layer_0:module_0_7:compileDebugKotlin,2870,3130,2722,3076,3356,3669,ms
Task Path,:layer_0:module_0_8:kspDebugKotlin,3248,3533,3114,3447,4001,4535,ms
Task Path,:layer_0:module_0_8:compileDebugKotlin,2829,3192,2757,3209,3391,3745,ms
Task Path,:layer_0:module_0_9:kspDebugKotlin,3091,3328,3086,3244,3915,4161,ms
Task Path,:layer_1:module_1_47:kspDebugKotlin,3483,4041,3478,4004,4001,4567,ms
Task Path,:layer_0:module_0_9:compileDebugKotlin,2938,3264,2943,3295,3408,3862,ms
Task Path,:layer_1:module_1_47:compileDebugKotlin,3455,3767,3551,3828,4069,4295,ms
Task Path,:layer_1:module_1_48:kspDebugKotlin,3692,4264,3650,4235,4309,4761,ms
Task Path,:layer_1:module_1_48:compileDebugKotlin,3211,3263,3162,3182,3755,3888,ms
Task Path,:layer_1:module_1_49:kspDebugKotlin,3863,4223,3826,4257,4657,4984,ms
Task Path,:layer_1:module_1_51:kspDebugKotlin,3917,4328,3842,4388,4719,5007,ms
Task Path,:layer_1:module_1_50:kspDebugKotlin,4595,5117,4484,5185,5197,5835,ms
Task Path,:layer_1:module_1_49:compileDebugKotlin,3410,3524,3391,3521,4214,4094,ms
Task Path,:layer_1:module_1_51:compileDebugKotlin,3117,3379,3066,3363,3743,3843,ms
Task Path,:layer_1:module_1_50:compileDebugKotlin,3205,3479,3158,3477,3792,4003,ms
Task Path,:layer_1:module_1_52:kspDebugKotlin,4218,4698,4066,4714,4947,5640,ms
Task Path,:layer_1:module_1_52:compileDebugKotlin,3450,3441,3407,3466,4129,3839,ms
Task Path,:layer_1:module_1_53:kspDebugKotlin,4072,3936,3949,3874,4879,4740,ms
Task Path,:layer_1:module_1_54:kspDebugKotlin,3971,3781,3905,3747,4857,4344,ms
Task Path,:layer_1:module_1_55:kspDebugKotlin,4479,4672,4397,4644,5190,5258,ms
Task Path,:layer_1:module_1_54:compileDebugKotlin,3018,3223,3079,3219,3476,3877,ms
Task Path,:layer_1:module_1_53:compileDebugKotlin,3292,3357,3245,3348,3759,3806,ms
Task Path,:layer_1:module_1_56:kspDebugKotlin,4159,4125,4147,4192,4790,4775,ms
Task Path,:layer_1:module_1_55:compileDebugKotlin,3363,3339,3353,3385,3897,3947,ms
Task Path,:layer_1:module_1_56:compileDebugKotlin,3217,3274,3222,3246,3893,3865,ms
Task Path,:layer_1:module_1_57:kspDebugKotlin,4054,4150,4088,4142,4664,4926,ms
Task Path,:layer_1:module_1_58:kspDebugKotlin,3974,4046,3948,3980,4768,4763,ms
Task Path,:layer_1:module_1_59:kspDebugKotlin,3873,4187,3860,4126,4486,4796,ms
Task Path,:layer_1:module_1_57:compileDebugKotlin,3153,3454,3243,3410,3761,4246,ms
Task Path,:layer_1:module_1_58:compileDebugKotlin,2980,3389,2945,3357,3550,4058,ms
Task Path,:layer_1:module_1_60:kspDebugKotlin,4198,4990,4161,4966,4911,5708,ms
Task Path,:layer_1:module_1_59:compileDebugKotlin,2922,3491,2969,3441,3438,4052,ms
Task Path,:layer_1:module_1_60:compileDebugKotlin,2734,2936,2741,2963,3438,3389,ms
Task Path,:layer_1:module_1_61:kspDebugKotlin,3493,4025,3527,4042,4332,4794,ms
Task Path,:layer_1:module_1_62:kspDebugKotlin,3664,3883,3575,3877,4588,4605,ms
Task Path,:layer_1:module_1_63:kspDebugKotlin,3577,3926,3539,3892,4413,4670,ms
Task Path,:layer_1:module_1_61:compileDebugKotlin,2804,3028,2712,3072,3499,3368,ms
Task Path,:layer_1:module_1_64:kspDebugKotlin,3585,4134,3633,4069,4134,4868,ms
Task Path,:layer_1:module_1_62:compileDebugKotlin,2700,3032,2646,3070,3211,3465,ms
Task Path,:layer_1:module_1_63:compileDebugKotlin,2554,2875,2463,2903,3159,3363,ms
Task Path,:layer_1:module_1_64:compileDebugKotlin,2489,2891,2378,2888,3064,3290,ms
Task Path,:layer_1:module_1_66:kspDebugKotlin,3279,3801,3246,3746,3925,4550,ms
Task Path,:layer_1:module_1_65:kspDebugKotlin,3685,4405,3692,4466,4462,4921,ms
Task Path,:layer_1:module_1_67:kspDebugKotlin,3083,3779,3035,3766,3590,4380,ms
Task Path,:layer_1:module_1_68:kspDebugKotlin,3303,3998,3264,3899,3766,4791,ms
Task Path,:layer_1:module_1_65:compileDebugKotlin,2467,2830,2376,2876,3143,3388,ms
Task Path,:layer_1:module_1_66:compileDebugKotlin,2419,2786,2288,2748,2931,3292,ms
Task Path,:layer_1:module_1_67:compileDebugKotlin,2378,2767,2313,2818,2766,3308,ms
Task Path,:layer_1:module_1_68:compileDebugKotlin,2196,2608,2174,2649,2630,3172,ms
Task Path,:layer_1:module_1_69:kspDebugKotlin,2998,3639,2940,3566,3437,4392,ms
Task Path,:layer_1:module_1_70:kspDebugKotlin,3478,4269,3434,4262,3854,4866,ms
Task Path,:layer_1:module_1_71:kspDebugKotlin,3082,3740,3098,3707,3720,4281,ms
Task Path,:layer_1:module_1_72:kspDebugKotlin,3359,3920,3307,3936,3818,4618,ms
Task Path,:layer_1:module_1_69:compileDebugKotlin,2254,2631,2215,2685,2771,3106,ms
