Category,Metric,varianta_gradle_9_1_0 Mean,variantb_jdk_25_parallel Mean,varianta_gradle_9_1_0 P50,variantb_jdk_25_parallel P50,varianta_gradle_9_1_0 P90,variantb_jdk_25_parallel P90,Unit
Task Path,:feature:status:kspDebugKotlin,2979,3096,2990,2900,3418,4331,ms
Task Path,:feature:timer:kspDebugKotlin,3375,3653,3431,3390,3830,4915,ms
Task Path,:feature:weather:kspDebugKotlin,3174,3612,3154,3213,3595,4949,ms
Task Path,:feature:document:compileDebugKotlin,2004,2083,1895,1924,2790,2659,ms
Task Path,:feature:status:compileDebugKotlin,2441,2528,2329,2268,3107,4201,ms
Task Path,:feature:weather:compileDebugKotlin,2517,2521,2497,2393,3099,3426,ms
Task Path,:feature:timer:compileDebugKotlin,2960,2777,2983,2699,3512,3632,ms
Task Path,:feature:note:kspDebugKotlin,3741,3647,3738,3533,4552,4259,ms
Task Path,:feature:photo:kspDebugKotlin,3416,3362,3332,3246,4150,3978,ms
Task Path,:feature:note:compileDebugKotlin,2217,2145,2183,2042,2646,2837,ms
Task Path,:feature:photo:compileDebugKotlin,2233,2070,2199,2069,2671,2404,ms
Task Path,:domain:account-contact:kspDebugKotlin,3453,3359,3407,3317,3908,3941,ms
Task Path,:feature:push-contact:kspDebugKotlin,3187,3085,3203,3090,3758,3495,ms
Task Path,:feature:push-contact:compileDebugKotlin,2104,1937,2127,1907,2512,2386,ms
Task Path,:domain:account-contact:compileDebugKotlin,2229,2092,2227,2090,2592,2415,ms
Task Path,:feature:event:kspDebugKotlin,3286,3158,3292,3208,3809,3512,ms
Task Path,:feature:file:kspDebugKotlin,3239,3074,3193,2995,3740,3628,ms
Task Path,:feature:event:compileDebugKotlin,2149,2021,2098,1953,2840,2478,ms
Task Path,:feature:file:compileDebugKotlin,2058,1956,1982,1936,2535,2312,ms
Task Path,:domain:analytics-contact:kspDebugKotlin,3483,3223,3372,3248,4185,3667,ms
Task Path,:feature:forecast:kspDebugKotlin,3469,3201,3353,3152,4095,3460,ms
Task Path,:domain:analytics-contact:compileDebugKotlin,2131,1960,2096,1911,2600,2366,ms
Task Path,:feature:forecast:compileDebugKotlin,2192,1980,2116,1960,2753,2380,ms
Task Path,:feature:map:kspDebugKotlin,3125,2814,3124,2740,3670,3399,ms
Task Path,:feature:podcast:kspDebugKotlin,3246,2926,3206,2872,3728,3422,ms
Task Path,:feature:map:compileDebugKotlin,2021,1973,1988,1958,2541,2294,ms
Task Path,:feature:podcast:compileDebugKotlin,2024,2072,1970,2138,2558,2476,ms
Task Path,:feature:video:kspDebugKotlin,3446,3386,3361,3415,4001,3902,ms
Task Path,:feature:todo:kspDebugKotlin,3396,3153,3395,3103,3884,3648,ms
Task Path,:feature:video:compileDebugKotlin,2197,2013,2198,2008,2626,2456,ms
Task Path,:feature:todo:compileDebugKotlin,1947,1898,1905,1902,2439,2342,ms
Task Path,:feature:audio:kspDebugKotlin,3490,3351,3491,3399,4007,3817,ms
Task Path,:feature:metric:kspDebugKotlin,3096,2945,3121,2976,3664,3360,ms
Task Path,:feature:metric:compileDebugKotlin,2002,1878,1981,1864,2415,2151,ms
Task Path,:feature:audio:compileDebugKotlin,2131,2146,2149,2115,2625,2543,ms
Task Path,:domain:cart-contact:kspDebugKotlin,3209,2985,3211,3002,3722,3364,ms
Task Path,:domain:comment-contact:kspDebugKotlin,3131,2846,3181,2814,3593,3195,ms
Task Path,:domain:cart-contact:compileDebugKotlin,2071,1893,2115,1861,2388,2210,ms
Task Path,:domain:comment-contact:compileDebugKotlin,1955,1797,1947,1745,2334,2100,ms
Task Path,:domain:checkout-contact:kspDebugKotlin,3062,2753,3078,2763,3684,3325,ms
Task Path,:feature:alarm:kspDebugKotlin,3116,2849,3173,2935,3661,3279,ms
Task Path,:domain:checkout-contact:compileDebugKotlin,2001,1780,1984,1758,2664,2086,ms
Task Path,:feature:alarm:compileDebugKotlin,1909,1708,1864,1678,2434,2030,ms
Task Path,:feature:gallery:kspDebugKotlin,3190,2866,3278,2828,3900,3306,ms
Task Path,:feature:list:kspDebugKotlin,3156,2856,3177,2741,3755,3430,ms
Task Path,:feature:list:compileDebugKotlin,2041,1806,2006,1720,2603,2297,ms
Task Path,:feature:gallery:compileDebugKotlin,2113,1917,2093,1885,2700,2367,ms
Task Path,:domain:contact-contact:kspDebugKotlin,3159,2890,3076,2892,3893,3471,ms
Task Path,:feature:task:kspDebugKotlin,3226,3112,3134,3126,3831,3529,ms
Task Path,:domain:contact-contact:compileDebugKotlin,1759,1614,1743,1585,2080,1903,ms
Task Path,:feature:task:compileDebugKotlin,1766,1729,1725,1685,2143,2081,ms
Task Path,:domain:group-contact:kspDebugKotlin,2876,2860,2848,2894,3390,3206,ms
Task Path,:domain:identity-contact:kspDebugKotlin,2849,2799,2768,2804,3287,3156,ms
Task Path,:domain:group-contact:compileDebugKotlin,1674,1665,1622,1658,1995,1868,ms
Task Path,:domain:identity-contact:compileDebugKotlin,1726,1644,1672,1626,2114,1870,ms
Task Path,:domain:feed-contact:kspDebugKotlin,2907,2744,2828,2789,3613,3120,ms
Task Path,:domain:location-contact:kspDebugKotlin,2767,2682,2732,2658,3218,3007,ms
Task Path,:domain:location-contact:compileDebugKotlin,1759,1573,1733,1589,2183,1823,ms
Task Path,:domain:feed-contact:compileDebugKotlin,1712,1659,1667,1645,2117,1906,ms
Task Path,:domain:log-contact:kspDebugKotlin,2771,2726,2742,2730,3218,3011,ms
Task Path,:domain:login-contact:kspDebugKotlin,3016,2969,2968,2922,3387,3278,ms
Task Path,:domain:log-contact:compileDebugKotlin,1691,1682,1677,1627,2038,2042,ms
Task Path,:domain:login-contact:compileDebugKotlin,1981,1910,1976,1855,2406,2431,ms
Task Path,:domain:message-contact:kspDebugKotlin,2851,2850,2848,2760,3362,3301,ms
Task Path,:domain:network-contact:kspDebugKotlin,2973,2865,2909,2796,3524,3426,ms
Task Path,:domain:message-contact:compileDebugKotlin,1860,1720,1797,1666,2423,2240,ms
Task Path,:domain:network-contact:compileDebugKotlin,1930,1832,1886,1739,2458,2205,ms
Task Path,:domain:notification-contact:kspDebugKotlin,3224,3019,3217,2959,3644,3603,ms
Task Path,:domain:post-contact:kspDebugKotlin,3311,3127,3310,3125,3861,3639,ms
Task Path,:domain:notification-contact:compileDebugKotlin,1651,1568,1622,1466,1992,2088,ms
Task Path,:domain:post-contact:compileDebugKotlin,1812,1752,1769,1715,2252,2162,ms
Task Path,:domain:profile-contact:kspDebugKotlin,2815,2818,2800,2831,3316,3397,ms
Task Path,:domain:report-contact:kspDebugKotlin,2803,2684,2794,2659,3364,3089,ms
Task Path,:domain:profile-contact:compileDebugKotlin,1645,1578,1599,1554,1959,1902,ms
Task Path,:domain:report-contact:compileDebugKotlin,1687,1608,1644,1595,2088,1803,ms
Task Path,:domain:search-contact:kspDebugKotlin,2776,2567,2806,2552,3310,2893,ms
Task Path,:domain:session-contact:kspDebugKotlin,2783,2619,2722,2631,3363,2915,ms
Task Path,:domain:search-contact:compileDebugKotlin,1626,1583,1563,1577,1965,1771,ms
Task Path,:domain:session-contact:compileDebugKotlin,1628,1543,1588,1514,1979,1745,ms
Task Path,:domain:setting-contact:kspDebugKotlin,2723,2657,2656,2621,3239,2945,ms
Task Path,:domain:share-contact:kspDebugKotlin,2667,2548,2636,2606,3166,2878,ms
Task Path,:domain:setting-contact:compileDebugKotlin,1609,1562,1580,1523,1985,1901,ms
Task Path,:domain:share-contact:compileDebugKotlin,1579,1497,1504,1472,1938,1789,ms
Task Path,:domain:status-contact:kspDebugKotlin,2642,2575,2539,2559,3147,2899,ms
Task Path,:domain:sync-contact:kspDebugKotlin,3042,2949,2996,2893,3670,3490,ms
Task Path,:domain:status-contact:compileDebugKotlin,1676,1557,1526,1445,2295,2011,ms
Task Path,:domain:sync-contact:compileDebugKotlin,1961,1845,1913,1766,2475,2369,ms
Task Path,:domain:user-contact:kspDebugKotlin,3082,3007,3047,2988,3698,3484,ms
Task Path,:repository:audio-contact:kspDebugKotlin,2896,2673,2851,2662,3330,3033,ms
Task Path,:domain:user-contact:compileDebugKotlin,1779,1663,1720,1553,2392,2123,ms
Task Path,:repository:audio-contact:compileDebugKotlin,1467,1404,1420,1344,1837,1765,ms
Task Path,:repository:calendar-contact:kspDebugKotlin,2641,2468,2605,2463,3080,2840,ms
Task Path,:repository:contact-login:kspDebugKotlin,2700,2570,2748,2593,3061,2807,ms
Task Path,:repository:contact-login:compileDebugKotlin,1396,1337,1367,1363,1679,1595,ms
Task Path,:repository:calendar-contact:compileDebugKotlin,1492,1374,1432,1352,1843,1557,ms
Task Path,:repository:alarm-contact:kspDebugKotlin,2718,2543,2659,2533,3267,2917,ms
Task Path,:repository:article-contact:kspDebugKotlin,2539,2393,2502,2428,2976,2666,ms
Task Path,:repository:article-contact:compileDebugKotlin,1551,1428,1473,1405,1928,1680,ms
Task Path,:repository:alarm-contact:compileDebugKotlin,1607,1501,1554,1486,1955,1702,ms
Task Path,:repository:document-contact:kspDebugKotlin,2320,2193,2298,2158,2874,2585,ms
Task Path,:repository:event-contact:kspDebugKotlin,2368,2259,2276,2176,2879,2647,ms
Task Path,:repository:document-contact:compileDebugKotlin,1492,1482,1472,1443,1774,1740,ms
Task Path,:repository:event-contact:compileDebugKotlin,1494,1432,1457,1379,1785,1694,ms
Task Path,:repository:file-contact:kspDebugKotlin,2459,2385,2360,2354,2862,2748,ms
Task Path,:repository:forecast-contact:kspDebugKotlin,2712,2581,2666,2551,3217,3069,ms
Task Path,:repository:file-contact:compileDebugKotlin,1445,1400,1440,1352,1783,1737,ms
Task Path,:repository:forecast-contact:compileDebugKotlin,1384,1376,1398,1332,1653,1766,ms
Task Path,:repository:gallery-contact:kspDebugKotlin,2243,2296,2225,2281,2773,2917,ms
Task Path,:repository:list-contact:kspDebugKotlin,2523,2416,2516,2372,3072,2884,ms
Task Path,:repository:gallery-contact:compileDebugKotlin,1456,1443,1352,1330,2048,1990,ms
Task Path,:repository:list-contact:compileDebugKotlin,1524,1506,1443,1430,1902,1866,ms
Task Path,:repository:map-contact:kspDebugKotlin,2590,2488,2603,2472,3132,2843,ms
Task Path,:repository:media-contact:kspDebugKotlin,2798,2704,2739,2675,3509,3127,ms
