Category,Metric,varianta_gradle_9_1_0 Mean,variantb_jdk_25 Mean,varianta_gradle_9_1_0 P50,variantb_jdk_25 P50,varianta_gradle_9_1_0 P90,variantb_jdk_25 P90,Unit
Task Path,:feature:status:compileDebugKotlin,2508,2244,2468,2182,3309,2691,ms
Task Path,:feature:document:kspDebugKotlin,3250,3220,3217,3166,3904,3623,ms
Task Path,:feature:timer:compileDebugKotlin,3093,2801,3032,2705,3713,3498,ms
Task Path,:feature:weather:compileDebugKotlin,2642,2414,2769,2413,3220,2988,ms
Task Path,:feature:document:compileDebugKotlin,2081,1898,1887,1840,2901,2224,ms
Task Path,:feature:note:kspDebugKotlin,3671,3709,3728,3708,4310,4331,ms
Task Path,:feature:note:compileDebugKotlin,2206,2290,2206,2317,2643,2834,ms
Task Path,:domain:account-contact:kspDebugKotlin,3462,3568,3480,3538,3889,4028,ms
Task Path,:feature:photo:kspDebugKotlin,3359,3673,3309,3638,3948,4048,ms
Task Path,:feature:push-contact:kspDebugKotlin,3138,3271,3171,3260,3589,3781,ms
Task Path,:domain:account-contact:compileDebugKotlin,2215,2283,2192,2273,2597,2639,ms
Task Path,:feature:photo:compileDebugKotlin,2168,2205,2136,2162,2643,2695,ms
Task Path,:feature:push-contact:compileDebugKotlin,2060,2132,2162,2146,2475,2452,ms
Task Path,:feature:event:kspDebugKotlin,3328,3277,3305,3220,3972,3819,ms
Task Path,:feature:file:kspDebugKotlin,3228,3123,3227,3076,3740,3502,ms
Task Path,:feature:event:compileDebugKotlin,2189,2100,2109,2052,2838,2480,ms
Task Path,:feature:forecast:kspDebugKotlin,3437,3318,3336,3231,4004,3869,ms
Task Path,:domain:analytics-contact:kspDebugKotlin,3548,3341,3451,3349,4204,3878,ms
Task Path,:feature:file:compileDebugKotlin,2098,2041,2007,1991,2687,2382,ms
Task Path,:feature:forecast:compileDebugKotlin,2155,2045,2073,1986,2663,2411,ms
Task Path,:feature:map:kspDebugKotlin,3060,2941,3056,2934,3700,3531,ms
Task Path,:domain:analytics-contact:compileDebugKotlin,2059,1990,2021,1942,2583,2363,ms
Task Path,:feature:podcast:kspDebugKotlin,3215,3076,3131,3109,3825,3522,ms
Task Path,:feature:map:compileDebugKotlin,2056,1987,2096,1925,2661,2451,ms
Task Path,:feature:podcast:compileDebugKotlin,1968,2187,1913,2172,2394,2679,ms
Task Path,:feature:todo:kspDebugKotlin,3339,3441,3294,3431,3964,4124,ms
Task Path,:feature:video:kspDebugKotlin,3338,3567,3246,3542,4035,4140,ms
Task Path,:feature:todo:compileDebugKotlin,1953,2066,1956,2048,2267,2495,ms
Task Path,:feature:video:compileDebugKotlin,2093,2159,2077,2042,2451,2617,ms
Task Path,:feature:audio:kspDebugKotlin,3317,3525,3340,3504,3825,4113,ms
Task Path,:feature:metric:kspDebugKotlin,2991,3090,2932,3074,3469,3535,ms
Task Path,:feature:audio:compileDebugKotlin,2142,2182,2066,2130,2685,2528,ms
Task Path,:feature:metric:compileDebugKotlin,1856,1944,1792,1920,2251,2280,ms
Task Path,:domain:cart-contact:kspDebugKotlin,3110,3241,3037,3216,3621,3769,ms
Task Path,:domain:comment-contact:kspDebugKotlin,3015,3067,3010,3051,3647,3522,ms
Task Path,:domain:cart-contact:compileDebugKotlin,1881,1963,1864,1947,2179,2311,ms
Task Path,:domain:comment-contact:compileDebugKotlin,1779,1836,1749,1803,2142,2163,ms
Task Path,:feature:alarm:kspDebugKotlin,2914,3012,2911,3005,3290,3450,ms
Task Path,:domain:checkout-contact:kspDebugKotlin,2991,3100,3038,3131,3514,3536,ms
Task Path,:feature:alarm:compileDebugKotlin,1856,1868,1839,1797,2150,2197,ms
Task Path,:domain:checkout-contact:compileDebugKotlin,1922,1864,1948,1842,2270,2208,ms
Task Path,:feature:gallery:kspDebugKotlin,3116,3057,3129,3002,3634,3548,ms
Task Path,:feature:list:kspDebugKotlin,3088,3041,3058,2989,3606,3539,ms
Task Path,:feature:gallery:compileDebugKotlin,2050,2077,2035,2040,2582,2578,ms
