Category,Metric,varianta_2.2.10 Mean,variantb_2.2.20 Mean,varianta_2.2.10 P50,variantb_2.2.20 P50,varianta_2.2.10 P90,variantb_2.2.20 P90,Unit
Build,Build time,360189,363518,359379,361534,375017,379325,ms
Build,Configuration time,43379,44011,42911,43688,46514,46617,ms
Gradle process state,Gradle-Process-gcTime,0.14,0.14,0.14,0.14,0.15,0.15,
Kotlin process state,Kotlin-Process-gcTime,0.26,0.26,0.26,0.25,0.28,0.27,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3139,3150,2661,2654,5488,5440,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2445,2444,2375,2419,2764,2779,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3664,3715,3469,3519,4826,4901,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4163,4229,2339,2458,10146,10106,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1209,1207,1151,1172,1542,1490,ms
Task Path,:build-logic:convention:compileKotlin,6362,6706,6334,6681,6654,7004,ms
Task Path,:app:app:parseDebugLocalResources,1695,1606,1239,1118,3464,3351,ms
Task Path,:app:app:mergeDebugResources,4051,4009,3710,3651,5573,5941,ms
Task Path,:app:app:processDebugResources,2445,2444,2375,2419,2764,2779,ms
Task Path,:core:account:kspDebugKotlin,7933,7986,7923,7957,8343,8347,ms
Task Path,:core:cart:kspDebugKotlin,6614,6725,6577,6680,6978,7140,ms
Task Path,:core:analytics:kspDebugKotlin,6962,7069,6943,7044,7338,7439,ms
Task Path,:core:checkout:kspDebugKotlin,5016,5109,4966,5107,5459,5426,ms
Task Path,:core:checkout:compileDebugKotlin,6416,6502,6398,6474,6771,6837,ms
Task Path,:core:account:compileDebugKotlin,6730,6830,6728,6796,7103,7315,ms
Task Path,:core:cart:compileDebugKotlin,9969,10102,9907,10080,10571,10942,ms
Task Path,:core:analytics:compileDebugKotlin,9965,10124,9932,10149,10579,10648,ms
Task Path,:core:account:compileDebugJavaWithJavac,2443,2422,3671,3650,4126,4304,ms
Task Path,:core:comment:kspDebugKotlin,6739,6666,6737,6688,7135,7253,ms
