Category,Metric,varianta_9.0.0-rc1 Mean,variantb_8.14.2 Mean,varianta_9.0.0-rc1 P50,variantb_8.14.2 P50,varianta_9.0.0-rc1 P90,variantb_8.14.2 P90,Unit
Build,Build time,879322,877705,879811,879080,908316,903297,ms
Build,Configuration time,68293,70777,67978,70843,70672,73187,ms
Gradle process state,Gradle-Process-capacity,4.98,5.0,5.0,5.0,5.0,5.0,
Gradle process state,Gradle-Process-gcTime,0.37,0.37,0.37,0.37,0.38,0.39,
Gradle process state,Gradle-Process-max,5.0,5.0,5.0,5.0,5.0,5.0,
Gradle process state,Gradle-Process-uptime,14.63,14.6,14.64,14.63,15.11,15.03,
Gradle process state,Gradle-Process-usage,3.78,3.9,3.75,3.94,4.6,4.62,
Kotlin process state,Kotlin-Process-capacity,3.66,3.95,3.72,4.0,4.44,4.0,
Kotlin process state,Kotlin-Process-gcTime,0.96,0.91,0.95,0.91,1.01,0.95,
Kotlin process state,Kotlin-Process-max,5.0,4.0,5.0,4.0,5.0,4.0,
Kotlin process state,Kotlin-Process-uptime,14.44,13.33,14.45,13.29,14.91,13.74,
Kotlin process state,Kotlin-Process-usage,1.71,1.14,1.35,1.09,3.34,1.67,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,0,0,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,35,31,36,31,44,36,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,34,33,33,34,44,41,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2543,2547,2262,2230,3712,3657,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,616,617,478,482,747,743,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,50,50,48,49,60,60,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,7,7,6,6,12,12,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,10,8,1,1,5,5,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,3,3,1,1,3,3,ms
Task Type,com.android.build.gradle.tasks.GenerateResValues,3,3,2,2,7,7,ms
