Category,Metric,varianta_gradle_8_13 Mean,variantb_gradle_8_14_rc2 Mean,varianta_gradle_8_13 P50,variantb_gradle_8_14_rc2 P50,varianta_gradle_8_13 P90,variantb_gradle_8_14_rc2 P90,Unit
Build,Build time,215687,215076,215252,213252,222627,224655,ms
Build,Configuration time,41485,41833,41265,41431,42951,44401,ms
Gradle process state,Gradle-Process-gcTime,0.13,0.13,0.13,0.12,0.14,0.14,
Kotlin process state,Kotlin-Process-gcTime,0.09,0.09,0.09,0.09,0.1,0.11,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3934,3918,2804,2804,10565,10090,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1495,1487,1314,1346,2356,2222,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3713,3672,3017,2969,6625,6497,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,9969,9855,1234,1262,40480,39356,ms
Task Type,com.android.build.gradle.internal.tasks.JacocoTask,1311,1269,1189,1110,1867,1937,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1845,1902,1775,1807,2892,3041,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,2962,3009,2863,2828,4661,4670,ms
Task Path,:build-logic:convention:compileKotlin,12185,12298,12064,12065,12680,13023,ms
Task Path,:app:checkDemoDebugAarMetadata,1251,1392,1226,1289,1622,1675,ms
Task Path,:app:parseDemoDebugLocalResources,1576,1778,1184,1476,3867,3960,ms
Task Path,:app:mergeDemoDebugResources,5093,5118,5079,5117,5752,5589,ms
Task Path,:app:processDemoDebugResources,2187,2161,2176,2130,2479,2342,ms
Task Path,:core:common:kspKotlin,12435,12387,12344,12319,13096,13351,ms
Task Path,:core:analytics:kspDemoDebugKotlin,3491,3547,3417,3471,3900,3920,ms
Task Path,:core:model:compileKotlin,14416,14252,14468,14226,14953,14970,ms
Task Path,:ui-test-hilt-manifest:kspDemoDebugKotlin,6663,6616,6670,6622,7128,7209,ms
Task Path,:core:common:compileKotlin,2589,2506,2617,2496,2779,2806,ms
Task Path,:core:common:compileJava,1583,1612,1578,1596,1819,1771,ms
Task Path,:core:analytics:compileDemoDebugKotlin,2963,2930,2949,2938,3230,3167,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugKotlin,4144,4098,4185,4092,4442,4422,ms
Task Path,:core:analytics:compileDemoDebugJavaWithJavac,2500,2383,2529,2407,2797,2630,ms
Task Path,:core:network:kspDemoDebugKotlin,3739,3680,3695,3708,3985,3933,ms
Task Path,:core:datastore-proto:compileDemoDebugKotlin,4669,4616,4612,4565,5064,5052,ms
Task Path,:core:database:kspDemoDebugKotlin,10593,10675,10564,10566,11252,11387,ms
Task Path,:core:database:kspProdDebugKotlin,8656,8668,8680,8625,9182,9072,ms
Task Path,:core:datastore-proto:compileDemoDebugJavaWithJavac,1528,1520,1522,1521,1704,1682,ms
Task Path,:core:datastore:kspDemoDebugKotlin,3181,3144,3131,3146,3487,3450,ms
Task Path,:core:network:compileDemoDebugKotlin,5944,5951,5896,5917,6374,6492,ms
Task Path,:core:datastore:compileDemoDebugKotlin,3712,3667,3706,3644,4056,4086,ms
Task Path,:core:notifications:kspDemoDebugKotlin,3461,3414,3447,3426,3862,3816,ms
Task Path,:core:notifications:compileDemoDebugKotlin,1780,1766,1783,1708,2030,2128,ms
Task Path,:core:database:compileProdDebugKotlin,11270,11154,11323,11074,11852,11914,ms
Task Path,:core:database:compileDemoDebugKotlin,11606,11413,11480,11395,12369,12018,ms
Task Path,:core:data:kspDemoDebugKotlin,4852,4696,4679,4605,5568,5412,ms
Task Path,:core:data:compileDemoDebugKotlin,8912,7943,7532,6564,13089,12786,ms
Task Path,:core:data:transformDemoDebugClassesWithAsm,3296,3218,3433,3426,4431,4324,ms
Task Path,:core:designsystem:compileDemoDebugKotlin,17953,17805,18027,17563,19632,19444,ms
Task Path,:core:designsystem:bundleLibCompileToJarDemoDebug,1674,1287,1039,877,3637,3615,ms
