Category,Metric,varianta_gradle_9_2_0 Mean,variantb_gradle_9_1_0 Mean,varianta_gradle_9_2_0 P50,variantb_gradle_9_1_0 P50,varianta_gradle_9_2_0 P90,variantb_gradle_9_1_0 P90,Unit
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2135,2107,2097,2050,2386,2384,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,4,4,4,4,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,7,6,7,7,11,11,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,40,39,37,37,56,56,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,161,162,161,161,197,203,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,978,888,940,870,1332,1241,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4007,4127,2287,2238,9631,10049,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1083,1164,1050,1089,1329,1426,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsMergeTask,118,134,108,118,182,222,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,837,863,809,820,1116,1158,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,3,3,3,3,6,6,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,18,18,18,18,24,22,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,793,808,783,795,949,965,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,2,2,2,2,3,3,ms
