Category,Metric,varianta_main_4g Mean,variantb_main_7g Mean,varianta_main_4g P50,variantb_main_7g P50,varianta_main_4g P90,variantb_main_7g P90,Unit
Build,Build time,43763,43532,43325,43105,47924,45090,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,8640,8734,8605,8466,12321,12735,ms
Task Path,:build-logic:convention:compileKotlin,12115,12309,12042,12110,13155,13961,ms
Task Path,:core:model:compileKotlin,5166,5159,5083,5182,5572,5264,ms
All processes cpu,Max,96.5,96.5,97.0,96.5,97,98,%
All processes memory,Max,4.25,3.97,4.15,3.96,4.86,4.16,Gb
Build process cpu,Max,82.9,83.0,83.0,83.0,84,84,%
Build processes memory,Max,1.92,1.53,1.84,1.54,2.54,1.72,Gb
Build child processes cpu,Max,86.9,88.0,87.0,88.0,89,91,%
Build child processes memory,Max,1.29,1.41,1.3,1.41,1.31,1.43,Gb
