Category,Metric,varianta_k2_kotlin_2.2.0 Mean,variantb_k2_increase_memory_gradle Mean,varianta_k2_kotlin_2.2.0 P50,variantb_k2_increase_memory_gradle P50,varianta_k2_kotlin_2.2.0 P90,variantb_k2_increase_memory_gradle P90,Unit
:layer_0:module_0_3:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,38.24,40.54,40,41,57,56,ms
:layer_0:module_0_3:compileDebugKotlin,Load current classpath snapshot,7.16,8.16,7,8,11,13,ms
:layer_0:module_0_3:compileDebugKotlin,Compiler IR lowering,432.16,485.94,436,493,571,636,ms
:layer_0:module_0_3:compileDebugKotlin,Spent time before task action,74.3,87.52,78,81,98,111,ms
:layer_0:module_0_3:compileDebugKotlin,Task action before worker execution,28.0,31.14,29,31,36,42,ms
:layer_0:module_0_3:compileDebugKotlin,Start gradle worker,3.32,3.0,3,3,7,6,ms
:layer_0:module_0_3:compileDebugKotlin,Run compilation in Gradle worker,3878.66,4119.42,3752,4033,4474,4575,ms
:layer_0:module_0_3:compileDebugKotlin,Compiler backend,327.16,380.24,339,369,416,536,ms
:layer_0:module_0_3:compileDebugKotlin,Run compilation,3853.08,4094.2,3722,4010,4453,4554,ms
:layer_0:module_0_3:compileDebugKotlin,Connect to Kotlin daemon,20.7,20.66,18,21,27,29,ms
:layer_0:module_0_3:compileDebugKotlin,Compiler code analysis,1206.92,1231.76,1203,1230,1414,1378,ms
:layer_0:module_0_3:compileDebugKotlin,Total Gradle task time,4050.4,4312.12,3911,4233,4707,4755,ms
:layer_0:module_0_3:compileDebugKotlin,Calculate output size,2.44,3.06,2,2,5,7,ms
:layer_0:module_0_3:compileDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:layer_0:module_0_3:compileDebugKotlin,Code generation lines per second,602,523,592,514,769,638,
:layer_0:module_0_3:compileDebugKotlin,Number of cache hits when loading classpath entry snapshots,97,97,97,97,97,97,
:layer_0:module_0_3:compileDebugKotlin,Total size of the cache directory,567.2,567.2,567,567,567,567,KB
:layer_0:module_0_3:compileDebugKotlin,Analysis lines per second,369,362,367,359,424,415,
:layer_0:module_0_3:compileDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:layer_0:module_0_3:compileDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:layer_0:module_0_3:compileDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:layer_0:module_0_3:compileDebugKotlin,Number of classpath entries,98,98,98,98,98,98,
:layer_0:module_0_3:compileDebugKotlin,Size of classpath snapshot,5.5,5.5,6,6,6,6,MB
:layer_0:module_0_3:compileDebugKotlin,Size of shrunk classpath snapshot,22.9,22.9,23,23,23,23,KB
:layer_0:module_0_3:compileDebugKotlin,Number of lines analyzed,442,442,442,442,442,442,
:layer_0:module_0_3:compileDebugKotlin,ABI snapshot size,18.0,18.0,18,18,18,18,B
:layer_0:module_0_3:compileDebugKotlin,Clear jar cache,2.56,2.53,2,2,6,5,ms
:layer_0:module_0_3:compileDebugKotlin,Save shrunk current classpath snapshot,3.13,2.63,3,3,7,4,ms
:layer_0:module_0_3:compileDebugKotlin,Clear output,3.5,3.0,4,2,5,6,ms
:layer_0:module_0_3:compileDebugKotlin,Clear outputs on rebuild,2.0,3.5,2,4,2,6,ms
:layer_0:module_0_30:compileDebugKotlin,Sources compilation round,3225.04,3354.94,3196,3285,3752,4024,ms
:layer_0:module_0_30:compileDebugKotlin,Shrink and save current classpath snapshot after compilation,39.62,41.22,38,47,57,57,ms
:layer_0:module_0_30:compileDebugKotlin,Compiler initialization time,59.28,66.1,61,61,77,97,ms
:layer_0:module_0_30:compileDebugKotlin,Update caches,10.92,10.94,10,10,16,18,ms
:layer_0:module_0_30:compileDebugKotlin,Incremental compilation in daemon,3385.42,3524.58,3344,3467,3948,4163,ms
:layer_0:module_0_30:compileDebugKotlin,Compiler code generation,738.3,772.74,743,759,896,1011,ms
:layer_0:module_0_30:compileDebugKotlin,Compiler translation to IR,1032.86,1072.18,1015,1074,1236,1228,ms
:layer_0:module_0_30:compileDebugKotlin,Remove duplicate classes,5.38,5.08,5,5,9,7,ms
:layer_0:module_0_30:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,31.38,33.2,30,36,48,47,ms
:layer_0:module_0_30:compileDebugKotlin,Load current classpath snapshot,6.16,5.54,6,5,11,10,ms
:layer_0:module_0_30:compileDebugKotlin,Compiler IR lowering,424.38,444.62,420,428,529,602,ms
:layer_0:module_0_30:compileDebugKotlin,Spent time before task action,90.5,97.88,84,98,111,135,ms
:layer_0:module_0_30:compileDebugKotlin,Task action before worker execution,32.18,32.1,32,33,43,42,ms
:layer_0:module_0_30:compileDebugKotlin,Start gradle worker,3.0,3.32,2,3,7,7,ms
:layer_0:module_0_30:compileDebugKotlin,Run compilation in Gradle worker,3442.6,3592.8,3381,3566,4035,4228,ms
:layer_0:module_0_30:compileDebugKotlin,Compiler backend,313.5,327.54,308,318,382,448,ms
:layer_0:module_0_30:compileDebugKotlin,Run compilation,3418.94,3555.64,3366,3495,4010,4194,ms
:layer_0:module_0_30:compileDebugKotlin,Connect to Kotlin daemon,20.44,32.92,17,19,26,39,ms
:layer_0:module_0_30:compileDebugKotlin,Compiler code analysis,1074.64,1114.72,1064,1087,1318,1415,ms
:layer_0:module_0_30:compileDebugKotlin,Total Gradle task time,3612.06,3779.44,3581,3718,4217,4443,ms
:layer_0:module_0_30:compileDebugKotlin,Calculate output size,2.18,1.86,1,1,4,4,ms
:layer_0:module_0_30:compileDebugKotlin,Store build info,4.0,2.0,4,2,4,3,ms
:layer_0:module_0_30:compileDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:layer_0:module_0_30:compileDebugKotlin,Code generation lines per second,657,642,638,625,815,822,
:layer_0:module_0_30:compileDebugKotlin,Number of cache hits when loading classpath entry snapshots,97,97,97,97,97,97,
:layer_0:module_0_30:compileDebugKotlin,Total size of the cache directory,566.1,566.1,566,566,566,566,KB
:layer_0:module_0_30:compileDebugKotlin,Analysis lines per second,455,440,446,436,586,576,
:layer_0:module_0_30:compileDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:layer_0:module_0_30:compileDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:layer_0:module_0_30:compileDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:layer_0:module_0_30:compileDebugKotlin,Number of classpath entries,98,98,98,98,98,98,
:layer_0:module_0_30:compileDebugKotlin,Size of classpath snapshot,5.5,5.5,6,6,6,6,MB
:layer_0:module_0_30:compileDebugKotlin,Size of shrunk classpath snapshot,25.1,25.1,25,25,25,25,KB
:layer_0:module_0_30:compileDebugKotlin,Number of lines analyzed,475,475,475,475,475,475,
:layer_0:module_0_30:compileDebugKotlin,ABI snapshot size,18.0,18.0,18,18,18,18,B
:layer_0:module_0_30:compileDebugKotlin,Save shrunk current classpath snapshot,2.2,2.67,2,3,3,3,ms
:layer_0:module_0_30:compileDebugKotlin,Clear output,2.5,5.0,3,5,3,5,ms
:layer_0:module_0_30:compileDebugKotlin,Clear jar cache,1.7,1.7,2,1,3,4,ms
:layer_0:module_0_31:compileDebugKotlin,Sources compilation round,3584.98,3664.18,3507,3671,4103,4157,ms
:layer_0:module_0_31:compileDebugKotlin,Shrink and save current classpath snapshot after compilation,47.36,53.16,45,47,70,69,ms
:layer_0:module_0_31:compileDebugKotlin,Compiler initialization time,82.16,86.64,86,86,103,106,ms
:layer_0:module_0_31:compileDebugKotlin,Update caches,9.84,10.9,11,10,14,16,ms
:layer_0:module_0_31:compileDebugKotlin,Incremental compilation in daemon,3775.76,3875.68,3706,3875,4338,4330,ms
:layer_0:module_0_31:compileDebugKotlin,Compiler code generation,825.54,848.56,843,847,1071,1135,ms
:layer_0:module_0_31:compileDebugKotlin,Compiler translation to IR,1124.8,1125.06,1089,1120,1386,1310,ms
:layer_0:module_0_31:compileDebugKotlin,Remove duplicate classes,4.74,4.78,5,5,7,8,ms
:layer_0:module_0_31:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,39.56,45.3,37,38,58,59,ms
:layer_0:module_0_31:compileDebugKotlin,Load current classpath snapshot,5.3,5.38,5,6,9,8,ms
:layer_0:module_0_31:compileDebugKotlin,Compiler IR lowering,467.96,475.16,460,461,633,667,ms
:layer_0:module_0_31:compileDebugKotlin,Spent time before task action,74.38,64.92,67,66,100,85,ms
:layer_0:module_0_31:compileDebugKotlin,Task action before worker execution,21.48,22.04,22,24,31,32,ms
:layer_0:module_0_31:compileDebugKotlin,Start gradle worker,2.2,2.1,2,1,4,4,ms
:layer_0:module_0_31:compileDebugKotlin,Run compilation in Gradle worker,3832.56,3930.4,3781,3913,4368,4441,ms
:layer_0:module_0_31:compileDebugKotlin,Compiler backend,357.14,372.82,338,350,503,537,ms
:layer_0:module_0_31:compileDebugKotlin,Run compilation,3812.66,3911.28,3761,3898,4356,4411,ms
:layer_0:module_0_31:compileDebugKotlin,Connect to Kotlin daemon,14.14,12.86,14,13,22,18,ms
:layer_0:module_0_31:compileDebugKotlin,Compiler code analysis,1215.32,1266.98,1220,1276,1439,1533,ms
:layer_0:module_0_31:compileDebugKotlin,Total Gradle task time,3994.38,4085.24,3966,4067,4493,4597,ms
:layer_0:module_0_31:compileDebugKotlin,Calculate output size,2.16,2.3,1,1,4,5,ms
:layer_0:module_0_31:compileDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:layer_0:module_0_31:compileDebugKotlin,Code generation lines per second,597,587,558,556,812,824,
:layer_0:module_0_31:compileDebugKotlin,Number of cache hits when loading classpath entry snapshots,97,97,97,97,97,97,
:layer_0:module_0_31:compileDebugKotlin,Total size of the cache directory,575.3,575.3,575,575,575,575,KB
:layer_0:module_0_31:compileDebugKotlin,Analysis lines per second,398,380,386,369,459,482,
:layer_0:module_0_31:compileDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:layer_0:module_0_31:compileDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:layer_0:module_0_31:compileDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:layer_0:module_0_31:compileDebugKotlin,Number of classpath entries,98,98,98,98,98,98,
:layer_0:module_0_31:compileDebugKotlin,Size of classpath snapshot,5.5,5.5,6,6,6,6,MB
:layer_0:module_0_31:compileDebugKotlin,Size of shrunk classpath snapshot,22.7,22.7,23,23,23,23,KB
:layer_0:module_0_31:compileDebugKotlin,Number of lines analyzed,471,471,471,471,471,471,
:layer_0:module_0_31:compileDebugKotlin,ABI snapshot size,18.0,18.0,18,18,18,18,B
:layer_0:module_0_31:compileDebugKotlin,Clear jar cache,2.73,3.21,2,3,6,6,ms
:layer_0:module_0_31:compileDebugKotlin,Clear output,4.2,1.5,5,2,6,2,ms
:layer_0:module_0_31:compileDebugKotlin,Save shrunk current classpath snapshot,3.27,2.64,3,3,6,5,ms
:layer_0:module_0_31:compileDebugKotlin,Store build info,3.0,4.0,3,4,3,6,ms
:layer_0:module_0_31:compileDebugKotlin,Clear outputs on rebuild,4.0,2.67,4,2,4,5,ms
:layer_0:module_0_32:compileDebugKotlin,Sources compilation round,3322.32,3337.3,3347,3358,3919,3895,ms
:layer_0:module_0_32:compileDebugKotlin,Shrink and save current classpath snapshot after compilation,52.8,50.98,52,48,74,71,ms
:layer_0:module_0_32:compileDebugKotlin,Compiler initialization time,69.34,68.08,63,66,91,92,ms
:layer_0:module_0_32:compileDebugKotlin,Update caches,11.4,14.4,11,10,17,18,ms
:layer_0:module_0_32:compileDebugKotlin,Incremental compilation in daemon,3542.9,3545.8,3535,3562,4150,4158,ms
:layer_0:module_0_32:compileDebugKotlin,Compiler code generation,793.24,805.06,812,794,1017,1065,ms
:layer_0:module_0_32:compileDebugKotlin,Compiler translation to IR,1003.78,1035.5,985,1028,1199,1214,ms
:layer_0:module_0_32:compileDebugKotlin,Remove duplicate classes,5.42,5.84,5,5,10,10,ms
:layer_0:module_0_32:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,43.4,41.34,40,40,61,57,ms
:layer_0:module_0_32:compileDebugKotlin,Load current classpath snapshot,6.1,6.78,6,6,11,12,ms
:layer_0:module_0_32:compileDebugKotlin,Compiler IR lowering,427.78,445.08,413,436,591,643,ms
:layer_0:module_0_32:compileDebugKotlin,Clear jar cache,2.41,2.45,2,2,5,4,ms
:layer_0:module_0_32:compileDebugKotlin,Spent time before task action,85.08,90.42,75,84,128,128,ms
:layer_0:module_0_32:compileDebugKotlin,Task action before worker execution,29.16,40.38,27,31,42,46,ms
:layer_0:module_0_32:compileDebugKotlin,Start gradle worker,2.96,3.44,2,3,7,7,ms
:layer_0:module_0_32:compileDebugKotlin,Run compilation in Gradle worker,3598.2,3603.92,3572,3614,4192,4222,ms
:layer_0:module_0_32:compileDebugKotlin,Compiler backend,364.9,359.54,358,344,536,492,ms
:layer_0:module_0_32:compileDebugKotlin,Run compilation,3569.0,3577.86,3557,3591,4176,4196,ms
:layer_0:module_0_32:compileDebugKotlin,Connect to Kotlin daemon,24.7,21.0,17,16,29,31,ms
:layer_0:module_0_32:compileDebugKotlin,Compiler code analysis,1116.72,1091.26,1101,1050,1346,1306,ms
:layer_0:module_0_32:compileDebugKotlin,Total Gradle task time,3781.0,3818.88,3793,3811,4398,4427,ms
:layer_0:module_0_32:compileDebugKotlin,Calculate output size,3.1,2.44,2,1,7,7,ms
:layer_0:module_0_32:compileDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:layer_0:module_0_32:compileDebugKotlin,Code generation lines per second,647,633,602,616,903,808,
:layer_0:module_0_32:compileDebugKotlin,Number of cache hits when loading classpath entry snapshots,97,97,97,97,97,97,
:layer_0:module_0_32:compileDebugKotlin,Total size of the cache directory,574.2,574.2,574,574,574,574,KB
:layer_0:module_0_32:compileDebugKotlin,Analysis lines per second,446,456,444,465,540,533,
:layer_0:module_0_32:compileDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:layer_0:module_0_32:compileDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:layer_0:module_0_32:compileDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:layer_0:module_0_32:compileDebugKotlin,Number of classpath entries,98,98,98,98,98,98,
:layer_0:module_0_32:compileDebugKotlin,Size of classpath snapshot,5.5,5.5,6,6,6,6,MB
:layer_0:module_0_32:compileDebugKotlin,Size of shrunk classpath snapshot,23.5,23.5,24,24,24,24,KB
:layer_0:module_0_32:compileDebugKotlin,Number of lines analyzed,489,489,489,489,489,489,
:layer_0:module_0_32:compileDebugKotlin,ABI snapshot size,18.0,18.0,18,18,18,18,B
:layer_0:module_0_32:compileDebugKotlin,Save shrunk current classpath snapshot,3.53,3.0,3,3,7,6,ms
:layer_0:module_0_32:compileDebugKotlin,Store build info,3.8,3.5,3,4,6,5,ms
:layer_0:module_0_32:compileDebugKotlin,Clear output,3.67,1.67,4,1,6,3,ms
:layer_0:module_0_33:compileDebugKotlin,Sources compilation round,3250.8,3289.72,3216,3308,3864,3702,ms
:layer_0:module_0_33:compileDebugKotlin,Shrink and save current classpath snapshot after compilation,49.26,46.02,48,46,69,69,ms
:layer_0:module_0_33:compileDebugKotlin,Compiler initialization time,58.92,67.36,57,61,81,86,ms
:layer_0:module_0_33:compileDebugKotlin,Update caches,10.56,10.08,10,10,15,16,ms
:layer_0:module_0_33:compileDebugKotlin,Incremental compilation in daemon,3447.66,3482.66,3438,3522,4064,3920,ms
:layer_0:module_0_33:compileDebugKotlin,Compiler code generation,808.34,846.2,813,827,1007,1103,ms
:layer_0:module_0_33:compileDebugKotlin,Compiler translation to IR,1002.3,1019.96,986,1030,1214,1181,ms
:layer_0:module_0_33:compileDebugKotlin,Remove duplicate classes,4.44,5.12,5,5,8,9,ms
:layer_0:module_0_33:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,41.08,37.66,38,37,62,59,ms
:layer_0:module_0_33:compileDebugKotlin,Load current classpath snapshot,5.46,6.0,6,6,9,9,ms
:layer_0:module_0_33:compileDebugKotlin,Compiler IR lowering,451.4,489.46,450,498,603,682,ms
:layer_0:module_0_33:compileDebugKotlin,Save shrunk current classpath snapshot,3.13,2.42,3,2,6,5,ms
:layer_0:module_0_33:compileDebugKotlin,Spent time before task action,81.32,83.56,79,80,112,120,ms
:layer_0:module_0_33:compileDebugKotlin,Task action before worker execution,26.6,34.96,26,31,37,43,ms
:layer_0:module_0_33:compileDebugKotlin,Start gradle worker,3.14,8.65,3,3,6,8,ms
:layer_0:module_0_33:compileDebugKotlin,Run compilation in Gradle worker,3526.66,3541.38,3534,3578,4136,3964,ms
:layer_0:module_0_33:compileDebugKotlin,Compiler backend,356.36,356.38,330,353,485,471,ms
:layer_0:module_0_33:compileDebugKotlin,Run compilation,3497.8,3518.66,3501,3546,4116,3946,ms
:layer_0:module_0_33:compileDebugKotlin,Connect to Kotlin daemon,24.2,18.44,17,16,26,27,ms
:layer_0:module_0_33:compileDebugKotlin,Compiler code analysis,1049.62,1017.02,1066,1007,1302,1161,ms
:layer_0:module_0_33:compileDebugKotlin,Total Gradle task time,3703.34,3742.46,3729,3755,4357,4226,ms
:layer_0:module_0_33:compileDebugKotlin,Calculate output size,2.78,2.36,2,1,6,6,ms
:layer_0:module_0_33:compileDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:layer_0:module_0_33:compileDebugKotlin,Code generation lines per second,574,546,543,534,798,715,
:layer_0:module_0_33:compileDebugKotlin,Number of cache hits when loading classpath entry snapshots,97,97,97,97,97,97,
:layer_0:module_0_33:compileDebugKotlin,Total size of the cache directory,572.8,572.8,573,573,573,573,KB
:layer_0:module_0_33:compileDebugKotlin,Analysis lines per second,432,440,415,439,551,515,
:layer_0:module_0_33:compileDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:layer_0:module_0_33:compileDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:layer_0:module_0_33:compileDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:layer_0:module_0_33:compileDebugKotlin,Number of classpath entries,98,98,98,98,98,98,
:layer_0:module_0_33:compileDebugKotlin,Size of classpath snapshot,5.5,5.5,6,6,6,6,MB
:layer_0:module_0_33:compileDebugKotlin,Size of shrunk classpath snapshot,22.9,22.9,23,23,23,23,KB
:layer_0:module_0_33:compileDebugKotlin,Number of lines analyzed,442,442,442,442,442,442,
:layer_0:module_0_33:compileDebugKotlin,ABI snapshot size,18.0,18.0,18,18,18,18,B
:layer_0:module_0_33:compileDebugKotlin,Clear jar cache,2.25,1.73,2,1,7,4,ms
:layer_0:module_0_33:compileDebugKotlin,Clear output,4.0,,4,,6,,ms
:layer_0:module_0_33:compileDebugKotlin,Clear outputs on rebuild,2.0,1.0,2,1,2,1,ms
:layer_0:module_0_33:compileDebugKotlin,Store build info,3.0,,3,,3,,ms
:layer_0:module_0_34:compileDebugKotlin,Sources compilation round,3200.04,3138.2,3152,3100,3701,3611,ms
:layer_0:module_0_34:compileDebugKotlin,Shrink and save current classpath snapshot after compilation,36.48,37.46,38,39,53,54,ms
:layer_0:module_0_34:compileDebugKotlin,Compiler initialization time,65.12,57.42,62,56,83,75,ms
:layer_0:module_0_34:compileDebugKotlin,Update caches,9.66,8.94,10,8,13,14,ms
:layer_0:module_0_34:compileDebugKotlin,Incremental compilation in daemon,3364.1,3311.5,3300,3274,3913,3772,ms
:layer_0:module_0_34:compileDebugKotlin,Compiler code generation,831.6,829.9,799,802,1087,1023,ms
:layer_0:module_0_34:compileDebugKotlin,Compiler translation to IR,1049.44,1075.2,1023,1064,1281,1261,ms
:layer_0:module_0_34:compileDebugKotlin,Remove duplicate classes,3.94,3.96,4,4,6,7,ms
:layer_0:module_0_34:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,29.46,30.24,29,30,42,47,ms
:layer_0:module_0_34:compileDebugKotlin,Load current classpath snapshot,4.54,4.82,5,5,8,8,ms
:layer_0:module_0_34:compileDebugKotlin,Compiler IR lowering,489.26,515.58,467,517,688,713,ms
:layer_0:module_0_34:compileDebugKotlin,Clear jar cache,1.89,1.38,2,1,4,2,ms
:layer_0:module_0_34:compileDebugKotlin,Spent time before task action,81.02,79.7,79,80,109,110,ms
:layer_0:module_0_34:compileDebugKotlin,Task action before worker execution,28.4,33.68,26,28,40,42,ms
:layer_0:module_0_34:compileDebugKotlin,Start gradle worker,3.22,2.98,3,2,6,6,ms
:layer_0:module_0_34:compileDebugKotlin,Run compilation in Gradle worker,3418.72,3383.14,3339,3334,3967,3840,ms
:layer_0:module_0_34:compileDebugKotlin,Compiler backend,341.66,313.68,333,311,444,410,ms
:layer_0:module_0_34:compileDebugKotlin,Run compilation,3393.82,3345.96,3326,3312,3944,3808,ms
:layer_0:module_0_34:compileDebugKotlin,Connect to Kotlin daemon,20.68,33.58,16,19,26,119,ms
:layer_0:module_0_34:compileDebugKotlin,Compiler code analysis,960.72,894.36,974,904,1181,1061,ms
:layer_0:module_0_34:compileDebugKotlin,Total Gradle task time,3591.58,3550.56,3488,3498,4243,4044,ms
:layer_0:module_0_34:compileDebugKotlin,Calculate output size,1.72,2.32,1,1,4,6,ms
:layer_0:module_0_34:compileDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:layer_0:module_0_34:compileDebugKotlin,Code generation lines per second,590,589,589,587,735,745,
:layer_0:module_0_34:compileDebugKotlin,Number of cache hits when loading classpath entry snapshots,97,97,97,97,97,97,
:layer_0:module_0_34:compileDebugKotlin,Total size of the cache directory,575.3,575.3,575,575,575,575,KB
:layer_0:module_0_34:compileDebugKotlin,Analysis lines per second,500,537,483,521,629,661,
:layer_0:module_0_34:compileDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:layer_0:module_0_34:compileDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:layer_0:module_0_34:compileDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:layer_0:module_0_34:compileDebugKotlin,Number of classpath entries,98,98,98,98,98,98,
:layer_0:module_0_34:compileDebugKotlin,Size of classpath snapshot,5.5,5.5,6,6,6,6,MB
:layer_0:module_0_34:compileDebugKotlin,Size of shrunk classpath snapshot,22.7,22.7,23,23,23,23,KB
:layer_0:module_0_34:compileDebugKotlin,Number of lines analyzed,471,471,471,471,471,471,
:layer_0:module_0_34:compileDebugKotlin,ABI snapshot size,18.0,18.0,18,18,18,18,B
:layer_0:module_0_34:compileDebugKotlin,Clear outputs on rebuild,2.33,1.0,3,1,3,1,ms
:layer_0:module_0_34:compileDebugKotlin,Save shrunk current classpath snapshot,2.45,3.43,3,3,4,4,ms
:layer_0:module_0_34:compileDebugKotlin,Clear output,7.0,1.75,7,2,9,3,ms
:layer_0:module_0_34:compileDebugKotlin,Store build info,3.67,,3,,6,,ms
:layer_0:module_0_35:compileDebugKotlin,Sources compilation round,3024.26,3058.02,2994,3017,3406,3532,ms
:layer_0:module_0_35:compileDebugKotlin,Shrink and save current classpath snapshot after compilation,40.48,40.12,41,41,56,57,ms
:layer_0:module_0_35:compileDebugKotlin,Compiler initialization time,62.76,68.58,59,67,95,87,ms
:layer_0:module_0_35:compileDebugKotlin,Update caches,9.96,9.96,10,10,15,15,ms
:layer_0:module_0_35:compileDebugKotlin,Incremental compilation in daemon,3195.4,3233.56,3157,3169,3666,3724,ms
:layer_0:module_0_35:compileDebugKotlin,Compiler code generation,691.9,703.42,700,697,891,892,ms
:layer_0:module_0_35:compileDebugKotlin,Compiler translation to IR,1026.36,1041.6,1025,1024,1176,1216,ms
:layer_0:module_0_35:compileDebugKotlin,Remove duplicate classes,4.62,4.12,4,4,8,7,ms
:layer_0:module_0_35:compileDebugKotlin,Shrink current classpath snapshot non-incrementally,32.34,32.58,31,34,45,47,ms
:layer_0:module_0_35:compileDebugKotlin,Load current classpath snapshot,5.56,5.06,6,5,9,9,ms
:layer_0:module_0_35:compileDebugKotlin,Compiler IR lowering,400.72,395.94,416,373,508,534,ms
:layer_0:module_0_35:compileDebugKotlin,Spent time before task action,62.46,70.38,64,68,85,94,ms
:layer_0:module_0_35:compileDebugKotlin,Task action before worker execution,22.62,25.5,23,25,35,39,ms
:layer_0:module_0_35:compileDebugKotlin,Start gradle worker,2.0,2.52,1,1,4,7,ms
:layer_0:module_0_35:compileDebugKotlin,Run compilation in Gradle worker,3245.06,3284.74,3199,3220,3713,3776,ms
:layer_0:module_0_35:compileDebugKotlin,Compiler backend,290.72,307.04,291,301,351,418,ms
:layer_0:module_0_35:compileDebugKotlin,Run compilation,3221.28,3263.22,3184,3197,3688,3763,ms
:layer_0:module_0_35:compileDebugKotlin,Connect to Kotlin daemon,19.8,17.28,14,15,20,24,ms
:layer_0:module_0_35:compileDebugKotlin,Compiler code analysis,945.42,941.64,951,951,1152,1099,ms
:layer_0:module_0_35:compileDebugKotlin,Total Gradle task time,3383.48,3443.92,3359,3375,3815,3953,ms
:layer_0:module_0_35:compileDebugKotlin,Calculate output size,2.54,2.38,1,1,6,5,ms
:layer_0:module_0_35:compileDebugKotlin,Total compiler iteration,1,1,1,1,1,1,
:layer_0:module_0_35:compileDebugKotlin,Code generation lines per second,714,704,681,684,885,961,
:layer_0:module_0_35:compileDebugKotlin,Number of cache hits when loading classpath entry snapshots,97,97,97,97,97,97,
:layer_0:module_0_35:compileDebugKotlin,Total size of the cache directory,573.7,573.7,574,574,574,574,KB
:layer_0:module_0_35:compileDebugKotlin,Analysis lines per second,517,514,501,501,635,610,
:layer_0:module_0_35:compileDebugKotlin,Number of times classpath snapshot is loaded,1,1,1,1,1,1,
:layer_0:module_0_35:compileDebugKotlin,Number of cache misses when loading classpath entry snapshots,1,1,1,1,1,1,
:layer_0:module_0_35:compileDebugKotlin,Number of times classpath snapshot is shrunk and saved after compilation,1,1,1,1,1,1,
:layer_0:module_0_35:compileDebugKotlin,Number of classpath entries,98,98,98,98,98,98,
:layer_0:module_0_35:compileDebugKotlin,Size of classpath snapshot,5.5,5.5,6,6,6,6,MB
:layer_0:module_0_35:compileDebugKotlin,Size of shrunk classpath snapshot,24.9,24.9,25,25,25,25,KB
:layer_0:module_0_35:compileDebugKotlin,Number of lines analyzed,477,477,477,477,477,477,
:layer_0:module_0_35:compileDebugKotlin,ABI snapshot size,18.0,18.0,18,18,18,18,B
:layer_0:module_0_35:compileDebugKotlin,Clear jar cache,2.33,2.33,2,2,4,4,ms
:layer_0:module_0_35:compileDebugKotlin,Save shrunk current classpath snapshot,2.92,2.75,3,3,6,3,ms
:layer_0:module_0_35:compileDebugKotlin,Clear outputs on rebuild,2.33,3.0,2,3,3,3,ms
:layer_0:module_0_35:compileDebugKotlin,Store build info,6.67,4.0,7,4,10,5,ms
:layer_0:module_0_36:compileDebugKotlin,Sources compilation round,3005.72,3060.94,3028,3055,3301,3456,ms
:layer_0:module_0_36:compileDebugKotlin,Shrink and save current classpath snapshot after compilation,45.7,43.34,43,46,63,61,ms
:layer_0:module_0_36:compileDebugKotlin,Compiler initialization time,76.46,75.46,78,70,105,110,ms
:layer_0:module_0_36:compileDebugKotlin,Update caches,8.56,8.88,8,8,13,14,ms
:layer_0:module_0_36:compileDebugKotlin,Incremental compilation in daemon,3178.24,3234.54,3185,3205,3517,3633,ms
:layer_0:module_0_36:compileDebugKotlin,Compiler code generation,624.3,675.86,589,643,836,978,ms
:layer_0:module_0_36:compileDebugKotlin,Compiler translation to IR,1053.78,1060.44,1061,1056,1239,1227,ms
