Category,Metric,varianta_main_6g Mean,variantb_main_4g Mean,varianta_main_6g P50,variantb_main_4g P50,varianta_main_6g P90,variantb_main_4g P90,Unit
Build,Build time,23490,22904,23633,22794,25146,24714,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,0,1,1,1,3,7,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,0,0,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,2,2,1,2,6,9,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,4,4,4,3,9,8,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,357,359,36,37,1736,1828,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,398,393,31,32,2362,2431,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,209,200,11,11,444,404,ms
Task Type,org.gradle.api.tasks.bundling.Jar,11,10,12,11,17,19,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,14,24,5,21,46,56,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,8,6,5,6,31,12,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,218,76,16,5,629,582,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,13,8,2,2,5,5,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,10,18,7,18,22,41,ms
Task Type,com.android.build.gradle.tasks.MergeResources,18,21,9,9,19,24,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,40,28,27,27,121,54,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,3,3,4,3,8,7,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,1,2,1,1,4,4,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,2,4,2,2,4,5,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,6,10,6,6,9,11,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,13,12,16,11,19,18,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,2,3,2,2,5,5,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,4,5,5,5,7,8,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,21,26,21,17,32,89,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,3,2,3,2,7,5,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,2,3,3,3,4,6,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,2,2,2,2,5,5,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,49,55,53,53,75,94,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,49,45,18,20,95,90,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,17,17,9,9,18,20,ms
Task Type,com.google.protobuf.gradle.ProtobufExtract,17,14,5,4,62,50,ms
Task Type,com.android.build.gradle.tasks.GenerateBuildConfig,4,4,4,5,9,7,ms
Task Type,androidx.room.gradle.RoomGradlePlugin$RoomSchemaCopyTask,1,1,1,1,2,3,ms
Task Type,com.google.protobuf.gradle.GenerateProtoTask,19,19,18,22,48,30,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,5,7,5,5,8,11,ms
Task Type,com.android.build.gradle.internal.coverage.JacocoPropertiesTask,3,2,3,2,7,9,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,4,4,5,4,9,9,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,10,11,10,10,17,16,ms
Task Type,com.android.build.gradle.internal.tasks.L8DexDesugarLibTask,63,61,64,63,90,101,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,9,12,9,11,17,20,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,47,54,44,39,107,156,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,2,2,1,1,5,4,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,5,3,3,3,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,3,3,3,3,5,8,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,2,3,3,2,5,7,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,2,4,3,3,6,9,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,1,1,0,0,2,3,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,517,495,587,462,1231,1279,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,52,44,68,35,76,77,ms
Task Type,com.android.build.gradle.internal.tasks.JacocoTask,40,33,37,28,67,62,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,91,78,7,6,23,13,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,761,705,580,459,1824,1735,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,1651,1631,1446,1320,2506,2629,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,2,1,2,2,5,4,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,9,7,7,7,14,12,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,1,1,1,1,4,4,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,1,1,1,1,3,3,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,0,0,0,1,1,2,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,0,0,1,0,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,7,6,6,5,13,10,ms
Task Type,com.android.build.gradle.tasks.BundleAar,12,10,9,9,26,18,ms
Task Path,:app:mergeExtDexDemoDebug,1157,1084,1126,1028,1363,1361,ms
Task Path,:core:domain:compileDemoDebugKotlin,1130,1157,1089,1125,1361,1310,ms
Task Path,:feature:interests:kspDemoDebugKotlin,2350,2424,2297,2420,2658,2722,ms
Task Path,:feature:search:kspDemoDebugKotlin,2366,2438,2326,2495,2651,2660,ms
Task Path,:feature:foryou:kspDemoDebugKotlin,2509,2635,2444,2603,2797,2970,ms
Task Path,:feature:interests:compileDemoDebugKotlin,1670,1782,1679,1743,1730,2249,ms
Task Path,:feature:foryou:compileDemoDebugKotlin,2746,2659,2769,2641,2998,3127,ms
Task Path,:feature:foryou:kspProdDebugKotlin,2908,2545,2903,2516,3243,2834,ms
Task Path,:feature:search:compileDemoDebugKotlin,3006,2824,2977,2834,3313,3318,ms
Task Path,:feature:interests:kspProdDebugKotlin,2587,2321,2692,2420,3022,2436,ms
Task Path,:feature:foryou:compileProdDebugKotlin,3087,2709,3191,2705,3340,3054,ms
Task Path,:feature:interests:compileProdDebugKotlin,2449,2241,2422,2085,3167,2997,ms
