Category,Metric,varianta_main Mean,variantb_UseCompactObjectHeaders Mean,varianta_main P50,variantb_UseCompactObjectHeaders P50,varianta_main P90,variantb_UseCompactObjectHeaders P90,Unit
Task Path,:core:weather:kspDebugKotlin,1653,1837,1550,1788,2313,2431,ms
Task Path,:core:user-contact:compileDebugKotlin,3354,3326,3345,3269,4159,4192,ms
Task Path,:feature:article-contact:kspDebugKotlin,1924,1961,1788,1939,2685,2559,ms
Task Path,:core:video:compileDebugKotlin,3504,3422,3322,3263,4576,4509,ms
Task Path,:feature:audio-contact:kspDebugKotlin,1869,1927,1857,1951,2254,2349,ms
Task Path,:core:weather:compileDebugKotlin,3499,3504,3275,3336,4660,4511,ms
Task Path,:feature:article-contact:compileDebugKotlin,3400,3619,3200,3525,4621,4773,ms
Task Path,:feature:audio-contact:compileDebugKotlin,3705,3541,3693,3558,4475,4423,ms
Task Path,:feature:alarm-contact:kspDebugKotlin,2415,2467,2392,2511,3103,3266,ms
Task Path,:feature:analytics-contact:kspDebugKotlin,2237,2350,2214,2367,2923,2804,ms
Task Path,:feature:calendar-contact:kspDebugKotlin,1947,1967,2000,1997,2455,2662,ms
Task Path,:feature:cart-login:kspDebugKotlin,1636,1630,1563,1576,2329,2285,ms
Task Path,:feature:analytics-contact:compileDebugKotlin,3767,3786,3664,3790,4590,4651,ms
Task Path,:feature:alarm-contact:compileDebugKotlin,3752,3644,3614,3560,4811,4480,ms
Task Path,:feature:calendar-contact:compileDebugKotlin,3221,3365,3077,3354,4395,4217,ms
Task Path,:feature:cart-login:compileDebugKotlin,3204,3278,3147,3273,4003,3985,ms
Task Path,:feature:checkout-login:kspDebugKotlin,1459,1536,1499,1444,1850,2009,ms
Task Path,:feature:document-contact:kspDebugKotlin,1590,1672,1582,1623,1992,2219,ms
Task Path,:feature:event-contact:kspDebugKotlin,1591,1683,1639,1677,1966,2172,ms
Task Path,:feature:file-contact:kspDebugKotlin,1379,1570,1388,1519,1720,2049,ms
Task Path,:feature:document-contact:compileDebugKotlin,3243,3444,3314,3395,3755,4243,ms
Task Path,:feature:checkout-login:compileDebugKotlin,3293,3426,3350,3379,3903,4076,ms
Task Path,:feature:file-contact:compileDebugKotlin,3073,3118,3043,3040,3804,4065,ms
Task Path,:feature:event-contact:compileDebugKotlin,3178,3269,3121,3216,3773,3956,ms
Task Path,:feature:group-contact:kspDebugKotlin,1613,1799,1528,1770,2101,2450,ms
Task Path,:feature:gallery-contact:kspDebugKotlin,1986,2085,1920,2114,2646,2609,ms
Task Path,:feature:identity-login:kspDebugKotlin,1561,1643,1502,1645,2022,2007,ms
Task Path,:feature:group-login:kspDebugKotlin,2164,2274,2084,2196,2671,3046,ms
Task Path,:feature:group-contact:compileDebugKotlin,3268,3228,3266,3247,3899,4085,ms
Task Path,:feature:identity-login:compileDebugKotlin,3063,2997,3017,2906,3877,3847,ms
Task Path,:feature:gallery-contact:compileDebugKotlin,3075,3187,3159,3118,3592,3907,ms
Task Path,:feature:group-login:compileDebugKotlin,2994,3061,2885,2960,3549,3836,ms
Task Path,:feature:list-contact:kspDebugKotlin,1491,1528,1460,1514,1974,2073,ms
Task Path,:feature:location-contact:kspDebugKotlin,1628,1666,1552,1653,2167,2204,ms
Task Path,:feature:location-login:kspDebugKotlin,1760,1697,1690,1635,2306,2317,ms
Task Path,:feature:login-login:kspDebugKotlin,1542,1537,1582,1544,1960,2007,ms
Task Path,:feature:list-contact:compileDebugKotlin,3081,2987,3097,3029,3829,3699,ms
Task Path,:feature:location-contact:compileDebugKotlin,3054,3002,2958,2838,3706,3677,ms
Task Path,:feature:location-login:compileDebugKotlin,2940,2968,2907,2940,3615,3954,ms
Task Path,:feature:login-login:compileDebugKotlin,2932,2867,2760,2840,3682,3650,ms
Task Path,:feature:map-contact:kspDebugKotlin,1486,1521,1452,1519,2124,2126,ms
Task Path,:feature:media-contact:kspDebugKotlin,1683,1663,1707,1578,2174,2280,ms
Task Path,:feature:message-login:kspDebugKotlin,1585,1626,1541,1529,2041,2239,ms
Task Path,:feature:message-contact:kspDebugKotlin,1646,1554,1632,1540,2124,1995,ms
Task Path,:feature:message-login:compileDebugKotlin,2804,2790,2724,2765,3562,3360,ms
Task Path,:feature:media-contact:compileDebugKotlin,3037,2957,2965,2810,3847,3628,ms
Task Path,:feature:map-contact:compileDebugKotlin,2996,2937,2945,2885,3742,3680,ms
Task Path,:feature:message-contact:compileDebugKotlin,2988,2876,2909,2817,3983,3425,ms
Task Path,:feature:metric-contact:kspDebugKotlin,1450,1470,1519,1459,1838,1983,ms
Task Path,:feature:network-login:kspDebugKotlin,1579,1578,1578,1461,2000,2192,ms
Task Path,:feature:news-contact:kspDebugKotlin,2010,2102,2005,2079,2481,2713,ms
Task Path,:feature:note-contact:kspDebugKotlin,1588,1794,1588,1747,2053,2297,ms
Task Path,:feature:network-login:compileDebugKotlin,2934,3005,2761,2909,3732,3884,ms
Task Path,:feature:metric-contact:compileDebugKotlin,2852,2806,2951,2671,3587,3510,ms
Task Path,:feature:note-contact:compileDebugKotlin,2843,2910,2734,2973,3535,3547,ms
Task Path,:feature:news-contact:compileDebugKotlin,2912,2886,2803,2876,3590,3550,ms
Task Path,:feature:notification-login:kspDebugKotlin,1439,1499,1376,1472,1960,2004,ms
Task Path,:feature:playlist-contact:kspDebugKotlin,1493,1578,1380,1567,2046,2116,ms
Task Path,:feature:podcast-contact:kspDebugKotlin,1618,1752,1579,1709,2054,2274,ms
Task Path,:feature:profile-login:kspDebugKotlin,1549,1643,1478,1588,2021,2241,ms
Task Path,:feature:notification-login:compileDebugKotlin,2745,2999,2754,2938,3323,3869,ms
Task Path,:feature:playlist-contact:compileDebugKotlin,2954,3050,2806,3085,3809,3768,ms
Task Path,:feature:podcast-contact:compileDebugKotlin,2986,3102,2815,3058,3858,4007,ms
Task Path,:feature:profile-login:compileDebugKotlin,2928,3041,2821,3115,3800,3768,ms
Task Path,:feature:push-login:kspDebugKotlin,1481,1603,1453,1538,2041,2087,ms
Task Path,:feature:report-contact:kspDebugKotlin,1515,1546,1459,1512,2059,1961,ms
Task Path,:feature:search-contact:kspDebugKotlin,1506,1625,1477,1551,2015,2175,ms
Task Path,:feature:session-contact:kspDebugKotlin,1583,1678,1519,1638,2286,2220,ms
Task Path,:feature:push-login:compileDebugKotlin,2818,2999,2794,2927,3640,3784,ms
Task Path,:feature:session-contact:compileDebugKotlin,2999,2920,2977,2799,3620,3646,ms
Task Path,:feature:report-contact:compileDebugKotlin,3037,3140,3087,3020,3725,4051,ms
Task Path,:feature:search-contact:compileDebugKotlin,3070,3059,3002,2933,3743,3684,ms
Task Path,:feature:setting-contact:kspDebugKotlin,1603,1581,1563,1579,2051,2044,ms
Task Path,:feature:session-login:kspDebugKotlin,2040,2051,1996,2055,2766,2632,ms
Task Path,:feature:setting-login:kspDebugKotlin,1533,1563,1549,1562,2128,2037,ms
Task Path,:feature:share-contact:kspDebugKotlin,2030,2042,2057,2063,2537,2442,ms
Task Path,:feature:setting-login:compileDebugKotlin,3054,2939,2911,2910,4157,3518,ms
Task Path,:feature:setting-contact:compileDebugKotlin,3082,2972,2999,2919,4069,3750,ms
Task Path,:feature:session-login:compileDebugKotlin,3027,2720,2967,2778,4178,3395,ms
Task Path,:feature:share-contact:compileDebugKotlin,2824,2712,2765,2740,3515,3143,ms
Task Path,:feature:status-contact:kspDebugKotlin,1962,2017,1913,2037,2623,2571,ms
Task Path,:feature:sync-contact:kspDebugKotlin,1614,1607,1612,1575,2154,2018,ms
Task Path,:feature:sync-login:kspDebugKotlin,1530,1490,1551,1484,2000,2068,ms
Task Path,:feature:task-contact:kspDebugKotlin,1552,1568,1455,1513,2100,1948,ms
Task Path,:feature:status-contact:compileDebugKotlin,2787,2755,2798,2707,3361,3298,ms
Task Path,:feature:sync-contact:compileDebugKotlin,2977,2765,2877,2762,3596,3378,ms
Task Path,:feature:sync-login:compileDebugKotlin,2771,2789,2741,2780,3422,3457,ms
Task Path,:feature:task-contact:compileDebugKotlin,2802,2795,2718,2713,3483,3432,ms
