Category,Metric,varianta_9.3.1 Mean,variantb_9.4.0-rc-1 Mean,varianta_9.3.1 P50,variantb_9.4.0-rc-1 P50,varianta_9.3.1 P90,variantb_9.4.0-rc-1 P90,Unit
Task Path,:domain:document:kspDebugKotlin,4139,4098,4120,4074,4879,4962,ms
Task Path,:domain:article:compileDebugKotlin,3249,3014,3210,2905,3897,3741,ms
Task Path,:domain:audio:compileDebugKotlin,3209,3193,3168,3155,3827,3814,ms
Task Path,:domain:calendar:compileDebugKotlin,3307,3269,3279,3251,3824,3926,ms
Task Path,:domain:document:compileDebugKotlin,3023,2920,3048,2878,3433,3460,ms
Task Path,:domain:file:kspDebugKotlin,4025,4118,4066,4166,4642,4843,ms
Task Path,:domain:event:kspDebugKotlin,4662,4698,4683,4766,5347,5583,ms
Task Path,:domain:gallery:kspDebugKotlin,4115,4108,4112,4010,4971,4963,ms
Task Path,:domain:forecast:kspDebugKotlin,5123,5150,5235,5083,5928,6331,ms
Task Path,:domain:event:compileDebugKotlin,3027,3019,2900,3007,3542,3609,ms
Task Path,:domain:file:compileDebugKotlin,3053,2944,3008,2961,3614,3363,ms
Task Path,:domain:gallery:compileDebugKotlin,2909,2930,2903,2907,3407,3512,ms
Task Path,:domain:forecast:compileDebugKotlin,2952,3061,2903,3058,3641,3546,ms
Task Path,:domain:map:kspDebugKotlin,3937,3844,3818,3786,5036,4618,ms
Task Path,:domain:list:kspDebugKotlin,3928,3983,3902,3952,4704,4686,ms
Task Path,:domain:media:kspDebugKotlin,3994,3968,3891,3900,4971,4687,ms
Task Path,:domain:news:kspDebugKotlin,3845,3944,3772,3917,4607,4867,ms
Task Path,:domain:map:compileDebugKotlin,2924,2750,2924,2703,3456,3310,ms
Task Path,:domain:news:compileDebugKotlin,2780,2862,2764,2751,3223,3518,ms
Task Path,:domain:media:compileDebugKotlin,2832,2860,2778,2818,3344,3283,ms
Task Path,:domain:list:compileDebugKotlin,2916,2738,2974,2666,3437,3352,ms
Task Path,:domain:playlist:kspDebugKotlin,3858,3855,3751,3857,4527,4648,ms
Task Path,:domain:note:kspDebugKotlin,4188,4510,4145,4492,4877,5176,ms
Task Path,:domain:podcast:kspDebugKotlin,3839,3922,3740,3921,4615,4738,ms
Task Path,:domain:photo:kspDebugKotlin,4442,4521,4444,4502,5135,5359,ms
Task Path,:domain:playlist:compileDebugKotlin,2905,2819,2866,2796,3406,3350,ms
Task Path,:domain:note:compileDebugKotlin,2640,2653,2589,2576,3131,3248,ms
Task Path,:domain:photo:compileDebugKotlin,2735,2637,2759,2622,3225,3086,ms
Task Path,:domain:podcast:compileDebugKotlin,2713,2790,2657,2791,3285,3221,ms
Task Path,:domain:task:kspDebugKotlin,3811,3918,3787,3960,4700,4678,ms
Task Path,:domain:push-contact:kspDebugKotlin,4264,4492,4096,4381,5313,5538,ms
Task Path,:domain:timer:kspDebugKotlin,3872,3975,3884,3902,4653,4783,ms
Task Path,:domain:todo:kspDebugKotlin,3930,4019,3931,3889,4674,4681,ms
Task Path,:domain:task:compileDebugKotlin,2646,2625,2590,2707,3255,3239,ms
Task Path,:domain:push-contact:compileDebugKotlin,2603,2571,2568,2536,3144,3136,ms
Task Path,:domain:timer:compileDebugKotlin,2782,2812,2768,2770,3225,3400,ms
Task Path,:domain:todo:compileDebugKotlin,2660,2728,2642,2653,3191,3279,ms
Task Path,:domain:video:kspDebugKotlin,3693,3898,3629,3808,4464,4684,ms
Task Path,:domain:weather:kspDebugKotlin,3297,3498,3240,3454,4023,4216,ms
Task Path,:repository:calendar-contact:kspDebugKotlin,3540,3541,3486,3473,4202,4304,ms
Task Path,:repository:audio-contact:kspDebugKotlin,3437,3527,3356,3603,4187,4275,ms
Task Path,:domain:weather:compileDebugKotlin,2427,2364,2427,2261,2995,3087,ms
Task Path,:domain:video:compileDebugKotlin,2631,2677,2692,2606,3184,3534,ms
Task Path,:repository:audio-contact:compileDebugKotlin,2543,2481,2522,2487,2970,2997,ms
Task Path,:repository:calendar-contact:compileDebugKotlin,2459,2353,2373,2320,3025,2824,ms
Task Path,:repository:article-contact:kspDebugKotlin,3530,3535,3472,3460,4180,4253,ms
Task Path,:repository:account-contact:kspDebugKotlin,3832,3943,3831,3856,4458,4890,ms
Task Path,:repository:analytics-contact:kspDebugKotlin,3634,3759,3569,3697,4272,4633,ms
Task Path,:repository:alarm-contact:kspDebugKotlin,4291,4378,4297,4387,5211,5281,ms
Task Path,:repository:article-contact:compileDebugKotlin,2514,2429,2496,2340,2928,2934,ms
Task Path,:repository:analytics-contact:compileDebugKotlin,2557,2477,2517,2436,3069,2926,ms
Task Path,:repository:account-contact:compileDebugKotlin,2495,2361,2432,2316,3072,2926,ms
Task Path,:repository:alarm-contact:compileDebugKotlin,2613,2561,2554,2520,3266,3033,ms
Task Path,:repository:checkout-contact:kspDebugKotlin,3299,3446,3264,3352,4101,3992,ms
Task Path,:repository:comment-contact:kspDebugKotlin,3256,3289,3213,3246,3804,4050,ms
Task Path,:repository:document-contact:kspDebugKotlin,3319,3270,3263,3214,4034,3825,ms
Task Path,:repository:cart-contact:kspDebugKotlin,3769,3838,3668,3814,4474,4459,ms
Task Path,:repository:comment-contact:compileDebugKotlin,2408,2306,2406,2285,2827,2656,ms
Task Path,:repository:checkout-contact:compileDebugKotlin,2406,2397,2379,2367,2790,2732,ms
Task Path,:repository:cart-contact:compileDebugKotlin,2291,2311,2302,2281,2632,2813,ms
Task Path,:repository:document-contact:compileDebugKotlin,2254,2209,2232,2150,2720,2670,ms
Task Path,:repository:event-contact:kspDebugKotlin,3097,3021,2972,3056,3891,3421,ms
Task Path,:repository:feed-contact:kspDebugKotlin,3184,3206,3175,3131,3691,3682,ms
Task Path,:repository:file-contact:kspDebugKotlin,3208,3191,3160,3176,3749,3639,ms
Task Path,:repository:forecast-contact:kspDebugKotlin,3254,3175,3251,3143,3689,3794,ms
Task Path,:repository:event-contact:compileDebugKotlin,2190,2150,2147,2083,2798,2663,ms
Task Path,:repository:feed-contact:compileDebugKotlin,2440,2459,2409,2423,3008,3041,ms
Task Path,:repository:file-contact:compileDebugKotlin,2504,2433,2441,2419,3051,2960,ms
Task Path,:repository:forecast-contact:compileDebugKotlin,2367,2350,2312,2261,2925,2890,ms
Task Path,:repository:group-contact:kspDebugKotlin,3107,3114,3051,3014,3561,3781,ms
Task Path,:repository:identity-contact:kspDebugKotlin,3111,3063,3048,2979,3579,3688,ms
Task Path,:repository:list-contact:kspDebugKotlin,3215,3209,3137,3223,3703,3834,ms
Task Path,:repository:gallery-contact:kspDebugKotlin,3495,3396,3545,3314,4197,4111,ms
Task Path,:repository:group-contact:compileDebugKotlin,2352,2347,2279,2245,2828,2873,ms
Task Path,:repository:identity-contact:compileDebugKotlin,2219,2186,2111,2171,2762,2625,ms
Task Path,:repository:gallery-contact:compileDebugKotlin,2188,2104,2110,2073,2704,2577,ms
Task Path,:repository:list-contact:compileDebugKotlin,2306,2252,2256,2239,2844,2724,ms
Task Path,:repository:location-contact:kspDebugKotlin,3066,2980,3001,2938,3630,3514,ms
Task Path,:repository:log-contact:kspDebugKotlin,3082,3053,3062,3006,3443,3440,ms
Task Path,:repository:map-contact:kspDebugKotlin,3256,3278,3217,3171,3669,3835,ms
Task Path,:repository:login-contact:kspDebugKotlin,3319,3289,3223,3276,3864,3765,ms
Task Path,:repository:location-contact:compileDebugKotlin,2280,2213,2230,2136,2709,2755,ms
Task Path,:repository:log-contact:compileDebugKotlin,2421,2381,2379,2377,2888,2786,ms
Task Path,:repository:map-contact:compileDebugKotlin,2334,2331,2364,2259,2756,2756,ms
Task Path,:repository:login-contact:compileDebugKotlin,2168,2204,2160,2179,2561,2493,ms
Task Path,:repository:message-contact:kspDebugKotlin,3038,3037,2966,2976,3574,3596,ms
Task Path,:repository:media-contact:kspDebugKotlin,3316,3294,3263,3311,3954,3871,ms
Task Path,:repository:metric-contact:kspDebugKotlin,3347,3162,3310,3110,4169,3816,ms
Task Path,:repository:network-contact:kspDebugKotlin,3194,3157,3165,3050,3910,3867,ms
Task Path,:repository:message-contact:compileDebugKotlin,2428,2280,2408,2210,2990,2720,ms
Task Path,:repository:media-contact:compileDebugKotlin,2268,2148,2228,2091,2934,2606,ms
Task Path,:repository:metric-contact:compileDebugKotlin,2247,2274,2162,2218,2836,2884,ms
Task Path,:repository:network-contact:compileDebugKotlin,2292,2302,2283,2327,2880,2716,ms
Task Path,:repository:news-contact:kspDebugKotlin,3558,3553,3517,3456,4137,4205,ms
Task Path,:repository:note-contact:kspDebugKotlin,3184,3194,3154,3144,3706,4026,ms
Task Path,:repository:photo-contact:kspDebugKotlin,3023,3113,3014,3026,3642,3734,ms
Task Path,:repository:notification-contact:kspDebugKotlin,3217,3311,3186,3203,3663,3873,ms
Task Path,:repository:news-contact:compileDebugKotlin,2197,2213,2125,2195,2770,2717,ms
Task Path,:repository:note-contact:compileDebugKotlin,2264,2263,2226,2184,2813,2752,ms
