Category,Metric,varianta_agp_8.12 Mean,variantb_agp_9-alpha02 Mean,varianta_agp_8.12 P50,variantb_agp_9-alpha02 P50,varianta_agp_8.12 P90,variantb_agp_9-alpha02 P90,Unit
Build,Build time,376749,370775,370493,368749,408203,386005,ms
Build,Configuration time,44062,42016,42078,41085,50919,46348,ms
Gradle process state,Gradle-Process-gcTime,0.14,0.14,0.14,0.13,0.16,0.15,
Kotlin process state,Kotlin-Process-gcTime,0.29,0.28,0.29,0.28,0.33,0.31,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3404,3335,3010,2973,5450,5286,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3724,3614,3479,3386,5112,4892,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2548,2153,2525,2135,3127,2527,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,1010,941,1004,909,1183,1160,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4913,4597,2678,2833,11699,11061,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1476,1404,1432,1385,1867,1837,ms
Task Path,:build-logic:convention:compileKotlin,6546,6368,6391,6358,7092,6591,ms
Task Path,:core:cart:kspDebugKotlin,7986,7494,7837,7526,9289,7790,ms
Task Path,:core:contact:kspDebugKotlin,6530,6377,6349,6363,7740,6638,ms
Task Path,:core:checkout:kspDebugKotlin,7092,6843,6903,6839,8359,7152,ms
Task Path,:core:identity:kspDebugKotlin,6209,6128,6119,6152,7266,6518,ms
Task Path,:core:checkout:compileDebugKotlin,7677,7599,7628,7504,8164,8145,ms
Task Path,:core:contact:compileDebugKotlin,8111,8073,7980,8014,8825,8606,ms
Task Path,:core:identity:compileDebugKotlin,9548,9539,9399,9443,10872,10165,ms
Task Path,:core:cart:compileDebugKotlin,9956,9958,9769,9892,10770,10557,ms
Task Path,:core:checkout:compileDebugJavaWithJavac,3077,3263,3177,3244,3532,3777,ms
Task Path,:core:login:kspDebugKotlin,5132,5067,4999,5095,5895,5855,ms
