Category,Metric,varianta_9.0.0 Mean,variantb_9.1.0-rc-1 Mean,varianta_9.0.0 P50,variantb_9.1.0-rc-1 P50,varianta_9.0.0 P90,variantb_9.1.0-rc-1 P90,Unit
Build,Build time,204263,209029,201901,209785,217722,217381,ms
Build,Configuration time,44207,36483,43210,36064,49812,39044,ms
Gradle process state,Gradle-Process-gcTime,0.07,0.07,0.07,0.08,0.08,0.08,
Kotlin process state,Kotlin-Process-gcTime,0.12,0.13,0.12,0.13,0.13,0.14,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2567,2563,2292,2319,3657,3802,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,1121,634,1104,617,1284,774,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2130,2303,2131,2317,2304,2434,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3340,3548,3111,3421,4123,4368,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,1130,676,1145,655,1360,861,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1558,923,1633,921,1869,1065,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1705,980,1661,985,2285,1246,ms
Task Path,:build-logic:convention:compileKotlin,6458,6572,6407,6546,6709,6924,ms
Task Path,:app:app:mergeDebugResources,5515,3479,5306,3412,7104,3861,ms
Task Path,:app:app:processDebugResources,2130,2303,2131,2317,2304,2434,ms
Task Path,:core:contact:kspDebugKotlin,4574,4568,4469,4557,4985,5040,ms
Task Path,:core:comment:kspDebugKotlin,7340,6176,7267,6191,7743,6631,ms
Task Path,:core:checkout:kspDebugKotlin,7476,6562,7441,6621,7825,6999,ms
Task Path,:core:cart:kspDebugKotlin,7512,7577,7454,7635,7891,8054,ms
Task Path,:core:contact:compileDebugKotlin,5531,5478,5497,5453,5811,5841,ms
Task Path,:core:checkout:compileDebugKotlin,5526,5583,5451,5548,5837,6035,ms
Task Path,:core:comment:compileDebugKotlin,5535,5542,5518,5537,5843,5957,ms
Task Path,:core:cart:compileDebugKotlin,5528,5590,5512,5535,5784,5971,ms
Task Path,:core:location:kspDebugKotlin,4089,4333,3988,4301,4554,4791,ms
Task Path,:core:feed:kspDebugKotlin,4121,4492,4070,4576,4470,5052,ms
Task Path,:core:login:kspDebugKotlin,4082,4042,4024,4001,4400,4533,ms
Task Path,:core:identity:kspDebugKotlin,4632,4859,4574,4840,5163,5297,ms
Task Path,:core:location:compileDebugKotlin,3704,3802,3668,3812,3999,4137,ms
Task Path,:core:feed:compileDebugKotlin,3700,3954,3682,3920,4088,4523,ms
Task Path,:core:login:compileDebugKotlin,3699,3727,3704,3620,4012,4210,ms
Task Path,:core:identity:compileDebugKotlin,3635,3871,3625,3907,3904,4210,ms
Task Path,:core:network:kspDebugKotlin,3603,3924,3584,3886,3946,4253,ms
Task Path,:core:post:kspDebugKotlin,3579,4030,3564,4019,3985,4379,ms
Task Path,:core:profile:kspDebugKotlin,3828,4138,3770,4133,4293,4602,ms
Task Path,:core:push:kspDebugKotlin,3484,3706,3478,3707,3808,4095,ms
Task Path,:core:network:compileDebugKotlin,3180,3311,3130,3334,3590,3759,ms
Task Path,:core:post:compileDebugKotlin,3109,3043,3077,2955,3421,3499,ms
Task Path,:core:push:compileDebugKotlin,3003,2844,2988,2885,3302,3136,ms
Task Path,:core:profile:compileDebugKotlin,3070,2949,3066,2952,3522,3250,ms
Task Path,:feature:account:kspDebugKotlin,3573,3945,3563,3953,3968,4243,ms
Task Path,:core:search:kspDebugKotlin,3840,4076,3808,4072,4283,4394,ms
Task Path,:core:user:kspDebugKotlin,3601,4247,3555,4267,3896,4498,ms
Task Path,:feature:message:kspDebugKotlin,3526,3772,3484,3754,3836,4112,ms
Task Path,:core:user:compileDebugKotlin,2870,2738,2841,2696,3153,3054,ms
Task Path,:feature:account:compileDebugKotlin,2771,2697,2748,2706,3165,3183,ms
Task Path,:core:search:compileDebugKotlin,2811,3378,2790,3351,3203,3693,ms
Task Path,:feature:message:compileDebugKotlin,2924,2867,2904,2851,3179,3199,ms
Task Path,:feature:group:kspDebugKotlin,3322,3400,3296,3374,3805,3838,ms
Task Path,:feature:log:kspDebugKotlin,3300,3398,3292,3325,3678,3771,ms
Task Path,:feature:analytics:kspDebugKotlin,3277,3460,3223,3404,3696,3843,ms
Task Path,:feature:notification:kspDebugKotlin,3278,3817,3164,3792,3717,4264,ms
Task Path,:feature:group:compileDebugKotlin,2773,2646,2723,2700,3136,3045,ms
Task Path,:feature:log:compileDebugKotlin,2703,2618,2678,2631,2999,3006,ms
Task Path,:feature:analytics:compileDebugKotlin,2733,2621,2685,2548,3079,3006,ms
Task Path,:feature:notification:compileDebugKotlin,2686,2481,2687,2466,2886,2805,ms
Task Path,:feature:setting:kspDebugKotlin,3508,3565,3484,3593,4026,3973,ms
Task Path,:feature:share:kspDebugKotlin,3353,3585,3312,3586,3757,3838,ms
Task Path,:feature:status:kspDebugKotlin,3200,3323,3201,3326,3739,3639,ms
Task Path,:feature:sync:kspDebugKotlin,3199,3388,3148,3393,3641,3732,ms
Task Path,:feature:share:compileDebugKotlin,3061,2703,3043,2753,3365,3073,ms
Task Path,:feature:status:compileDebugKotlin,2885,2622,2910,2628,3214,2922,ms
Task Path,:feature:setting:compileDebugKotlin,2994,2375,3024,2314,3241,2686,ms
Task Path,:feature:sync:compileDebugKotlin,2925,2517,2948,2479,3307,2819,ms
Task Path,:feature:task:kspDebugKotlin,3298,3812,3232,3829,3786,4119,ms
Task Path,:feature:report:kspDebugKotlin,3230,3743,3207,3753,3703,4153,ms
Task Path,:feature:metric:kspDebugKotlin,3024,3682,2988,3651,3480,4212,ms
Task Path,:feature:session:kspDebugKotlin,2920,3326,2889,3366,3281,3713,ms
Task Path,:feature:metric:compileDebugKotlin,2389,2241,2386,2152,2659,2668,ms
Task Path,:feature:report:compileDebugKotlin,2420,2278,2369,2244,2736,2663,ms
Task Path,:feature:task:compileDebugKotlin,2457,2689,2420,2700,2770,3127,ms
Task Path,:feature:session:compileDebugKotlin,2307,2376,2311,2395,2476,2743,ms
Task Path,:domain:document:kspDebugKotlin,2920,3452,2863,3436,3249,3736,ms
Task Path,:domain:event:kspDebugKotlin,2821,3521,2798,3472,3268,3969,ms
Task Path,:domain:file:kspDebugKotlin,2912,3540,2873,3431,3289,4308,ms
Task Path,:domain:alarm:kspDebugKotlin,3005,3481,2924,3483,3470,4024,ms
Task Path,:domain:document:compileDebugKotlin,2211,2393,2188,2384,2578,2924,ms
Task Path,:domain:alarm:compileDebugKotlin,2294,2591,2298,2580,2552,2813,ms
Task Path,:domain:calendar:kspDebugKotlin,3101,3460,3090,3386,3402,3938,ms
Task Path,:domain:article:kspDebugKotlin,3045,3356,3048,3370,3378,3681,ms
Task Path,:domain:file:compileDebugKotlin,2276,2368,2226,2310,2642,2888,ms
Task Path,:domain:calendar:compileDebugKotlin,2347,2667,2351,2683,2662,3147,ms
Task Path,:domain:article:compileDebugKotlin,2234,2561,2186,2536,2466,2926,ms
Task Path,:domain:event:compileDebugKotlin,2397,2572,2411,2621,2683,3141,ms
Task Path,:domain:list:kspDebugKotlin,3084,3617,3157,3696,3525,4100,ms
