Category,Metric,varianta_baseline Mean,variantb_agp-9.4.0 Mean,varianta_baseline P50,variantb_agp-9.4.0 P50,varianta_baseline P90,variantb_agp-9.4.0 P90,Unit
Build,Build time,262897,263692,267392,267417,287645,287170,ms
Build,Configuration time,45175,44723,46000,44429,50628,50601,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,4,4,5,5,6,6,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,36,30,31,29,65,41,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,59,57,55,54,91,94,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3479,3510,3045,3100,5110,5171,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,647,645,460,458,764,764,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,52,42,50,41,80,52,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,6,5,6,6,11,11,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,40,42,16,17,28,31,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,12,13,11,11,20,21,ms
Task Type,com.android.build.gradle.tasks.MergeResources,106,104,35,36,62,62,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,12,12,10,10,19,19,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,102,103,28,29,53,54,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,27,27,23,24,42,43,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,2556,2567,2267,2248,3500,3492,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,106,108,91,94,161,165,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,20,20,18,18,30,30,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,12,13,8,8,16,16,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,22,16,18,15,27,29,ms
