Category,Metric,varianta_2.2.20 Mean,variantb_2.3.0-beta2 Mean,varianta_2.2.20 P50,variantb_2.3.0-beta2 P50,varianta_2.2.20 P90,variantb_2.3.0-beta2 P90,Unit
Task Path,:feature:map:compileDebugKotlin,3090,3025,3144,3039,3501,3468,ms
Task Path,:feature:list:compileDebugKotlin,3263,3238,3227,3286,3830,4092,ms
Task Path,:feature:media:kspDebugKotlin,4116,4119,4101,4102,4674,4777,ms
Task Path,:feature:metric:kspDebugKotlin,4081,3924,4073,4025,4662,4589,ms
Task Path,:feature:news:kspDebugKotlin,4221,4173,4130,4151,5162,4919,ms
Task Path,:feature:metric:compileDebugKotlin,3015,2959,3027,2990,3603,3401,ms
Task Path,:feature:media:compileDebugKotlin,3194,2988,3191,3044,3630,3418,ms
Task Path,:feature:note:kspDebugKotlin,5095,5139,4831,4931,5971,5840,ms
Task Path,:feature:news:compileDebugKotlin,3078,3149,3067,3104,3802,4081,ms
Task Path,:feature:note:compileDebugKotlin,3067,3130,3075,3024,3570,3698,ms
Task Path,:feature:playlist:kspDebugKotlin,4180,4006,4146,4061,5042,4672,ms
Task Path,:feature:photo:kspDebugKotlin,4920,4836,4870,4751,5674,5564,ms
Task Path,:feature:todo:kspDebugKotlin,4606,4716,4449,4668,5424,5578,ms
Task Path,:feature:playlist:compileDebugKotlin,3191,3197,3094,3193,3973,3791,ms
Task Path,:feature:calendar:kspDebugKotlin,4464,4464,4613,4497,5224,5116,ms
Task Path,:feature:photo:compileDebugKotlin,3070,3192,2878,3280,4128,3981,ms
Task Path,:feature:todo:compileDebugKotlin,3034,3223,3034,3228,3669,3628,ms
Task Path,:feature:calendar:compileDebugKotlin,2956,3111,2876,3106,3465,3559,ms
Task Path,:feature:event:kspDebugKotlin,5120,5220,5120,5123,6048,6112,ms
Task Path,:domain:account-contact:kspDebugKotlin,4779,4963,4833,4966,5503,6017,ms
Task Path,:feature:forecast:kspDebugKotlin,5319,5328,5326,5175,5919,6046,ms
Task Path,:feature:event:compileDebugKotlin,2906,2842,2918,2828,3175,3267,ms
Task Path,:domain:account-contact:compileDebugKotlin,2858,2900,2871,2883,3338,3273,ms
Task Path,:feature:forecast:compileDebugKotlin,2774,2743,2799,2752,3131,3100,ms
Task Path,:feature:push-contact:kspDebugKotlin,4830,5117,4838,5122,5629,5734,ms
Task Path,:feature:task:kspDebugKotlin,4141,4235,4307,4258,5054,4856,ms
Task Path,:feature:push-contact:compileDebugKotlin,2766,2792,2823,2824,3317,3101,ms
Task Path,:feature:task:compileDebugKotlin,2724,2726,2776,2643,3257,3097,ms
Task Path,:feature:timer:kspDebugKotlin,4185,4156,4213,4137,4630,4965,ms
Task Path,:feature:weather:kspDebugKotlin,3983,4024,3922,4033,4774,4501,ms
Task Path,:feature:weather:compileDebugKotlin,2515,2543,2500,2574,2970,2941,ms
Task Path,:feature:timer:compileDebugKotlin,2636,2649,2644,2627,3004,3152,ms
Task Path,:feature:video:kspDebugKotlin,4368,4280,4327,4310,5392,4854,ms
Task Path,:feature:podcast:kspDebugKotlin,4106,4095,4012,3989,4809,4795,ms
Task Path,:feature:video:compileDebugKotlin,2742,2699,2624,2697,3322,3090,ms
Task Path,:feature:podcast:compileDebugKotlin,2936,2890,2900,2908,3468,3370,ms
Task Path,:domain:analytics-contact:kspDebugKotlin,4363,4479,4368,4464,5373,5353,ms
Task Path,:feature:status:kspDebugKotlin,4307,4277,4256,4427,5008,4999,ms
Task Path,:domain:analytics-contact:compileDebugKotlin,2748,2671,2688,2694,3232,3107,ms
Task Path,:feature:status:compileDebugKotlin,2779,2740,2747,2725,3359,3205,ms
Task Path,:domain:cart-contact:kspDebugKotlin,4808,4907,4818,5038,5861,5799,ms
Task Path,:domain:contact-contact:kspDebugKotlin,3855,3870,3708,3844,4943,4667,ms
Task Path,:domain:cart-contact:compileDebugKotlin,2648,2682,2623,2752,3179,3000,ms
Task Path,:domain:contact-contact:compileDebugKotlin,2470,2392,2377,2354,3345,2984,ms
Task Path,:domain:checkout-contact:kspDebugKotlin,3948,3958,3920,3959,4737,4873,ms
Task Path,:domain:comment-contact:kspDebugKotlin,3840,3887,3837,3737,4570,4820,ms
Task Path,:domain:checkout-contact:compileDebugKotlin,2451,2403,2457,2367,2853,3015,ms
Task Path,:domain:comment-contact:compileDebugKotlin,2670,2564,2577,2568,3500,3107,ms
Task Path,:domain:feed-contact:kspDebugKotlin,3654,3647,3689,3696,4128,4061,ms
Task Path,:domain:group-contact:kspDebugKotlin,3600,3520,3610,3595,4083,3877,ms
Task Path,:domain:feed-contact:compileDebugKotlin,2496,2371,2400,2358,3156,2928,ms
Task Path,:domain:group-contact:compileDebugKotlin,2411,2287,2436,2243,2924,2873,ms
Task Path,:domain:identity-contact:kspDebugKotlin,3793,3597,3764,3586,4506,4109,ms
Task Path,:domain:location-contact:kspDebugKotlin,3796,3698,3747,3689,4392,3996,ms
Task Path,:domain:identity-contact:compileDebugKotlin,2680,2518,2670,2473,3225,2894,ms
Task Path,:domain:location-contact:compileDebugKotlin,2597,2492,2533,2498,3300,2866,ms
Task Path,:feature:document:kspDebugKotlin,3750,3627,3725,3631,4447,4109,ms
Task Path,:domain:message-contact:kspDebugKotlin,3564,3525,3558,3446,4372,4355,ms
Task Path,:domain:network-contact:kspDebugKotlin,3756,3661,3718,3707,4417,4409,ms
Task Path,:feature:document:compileDebugKotlin,2471,2387,2407,2329,3155,2803,ms
Task Path,:domain:message-contact:compileDebugKotlin,2474,2269,2402,2245,3030,2801,ms
Task Path,:domain:notification-contact:kspDebugKotlin,3934,3972,4069,4095,4625,4577,ms
Task Path,:domain:network-contact:compileDebugKotlin,2393,2249,2405,2286,2805,2773,ms
Task Path,:domain:notification-contact:compileDebugKotlin,2394,2279,2324,2212,2902,3044,ms
Task Path,:domain:log-contact:kspDebugKotlin,3865,3738,3856,3756,4724,4515,ms
Task Path,:domain:login-contact:kspDebugKotlin,3980,3782,4001,3765,4819,4658,ms
Task Path,:domain:login-contact:compileDebugKotlin,2426,2347,2427,2405,2897,2783,ms
Task Path,:domain:post-contact:kspDebugKotlin,4294,4134,4171,4019,5120,5026,ms
Task Path,:domain:log-contact:compileDebugKotlin,2514,2461,2516,2465,3011,3058,ms
Task Path,:domain:profile-contact:kspDebugKotlin,3423,3273,3359,3185,3880,3960,ms
Task Path,:domain:post-contact:compileDebugKotlin,2258,2085,2278,2096,2578,2475,ms
Task Path,:domain:profile-contact:compileDebugKotlin,2216,2047,2153,2067,2606,2435,ms
Task Path,:domain:report-contact:kspDebugKotlin,3567,3368,3493,3341,4247,3744,ms
Task Path,:domain:search-contact:kspDebugKotlin,3506,3319,3521,3263,4224,3865,ms
Task Path,:domain:report-contact:compileDebugKotlin,2352,2214,2335,2130,2661,2668,ms
Task Path,:domain:search-contact:compileDebugKotlin,2319,2190,2303,2129,2754,2712,ms
Task Path,:domain:session-contact:kspDebugKotlin,3415,3171,3386,3164,4227,3898,ms
Task Path,:domain:setting-contact:kspDebugKotlin,3490,3166,3446,3235,4392,3676,ms
Task Path,:domain:session-contact:compileDebugKotlin,2238,2090,2193,2075,2919,2491,ms
Task Path,:domain:setting-contact:compileDebugKotlin,2166,2029,2094,1972,2828,2504,ms
Task Path,:domain:share-contact:kspDebugKotlin,3971,3813,4073,3811,4616,4463,ms
Task Path,:domain:status-contact:kspDebugKotlin,3984,3837,4002,3896,4696,4317,ms
Task Path,:domain:share-contact:compileDebugKotlin,2234,2100,2166,2076,2804,2525,ms
Task Path,:domain:status-contact:compileDebugKotlin,2091,1951,2090,1870,2550,2338,ms
Task Path,:domain:sync-contact:kspDebugKotlin,3684,3443,3662,3371,4479,4191,ms
Task Path,:domain:user-contact:kspDebugKotlin,3766,3448,3844,3379,4412,4068,ms
Task Path,:domain:sync-contact:compileDebugKotlin,2336,2072,2228,2057,3185,2677,ms
Task Path,:domain:user-contact:compileDebugKotlin,2407,2063,2201,2058,3451,2437,ms
Task Path,:repository:contact-login:kspDebugKotlin,4253,3998,4383,3897,5035,4772,ms
Task Path,:repository:podcast-contact:kspDebugKotlin,3747,3462,3718,3354,4714,4392,ms
Task Path,:repository:contact-login:compileDebugKotlin,2063,2016,2006,1980,2742,2403,ms
Task Path,:repository:podcast-contact:compileDebugKotlin,2235,2155,2175,2062,2872,2672,ms
Task Path,:repository:weather-contact:kspDebugKotlin,3323,3260,3250,3159,3852,3964,ms
Task Path,:repository:forecast-contact:kspDebugKotlin,3071,2938,3050,2837,3734,3459,ms
Task Path,:repository:weather-contact:compileDebugKotlin,1992,1945,1895,1945,2699,2416,ms
Task Path,:repository:forecast-contact:compileDebugKotlin,1914,1853,1855,1837,2463,2373,ms
Task Path,:repository:gallery-contact:kspDebugKotlin,3632,3484,3637,3495,3935,4210,ms
Task Path,:repository:map-contact:kspDebugKotlin,3102,3042,3081,3032,3572,3423,ms
Task Path,:repository:gallery-contact:compileDebugKotlin,2108,2022,2087,1949,2550,2565,ms
Task Path,:repository:map-contact:compileDebugKotlin,2019,1893,1973,1858,2526,2250,ms
Task Path,:model:analytics-login:kspDebugKotlin,3071,3000,3061,2947,3484,3908,ms
Task Path,:repository:metric-contact:kspDebugKotlin,3322,3159,3274,3074,3939,3976,ms
Task Path,:model:analytics-login:compileDebugKotlin,2062,2009,2017,2075,2612,2541,ms
Task Path,:repository:metric-contact:compileDebugKotlin,1881,1881,1783,1849,2517,2298,ms
Task Path,:repository:note-contact:kspDebugKotlin,3109,2985,3035,2892,3746,3712,ms
Task Path,:repository:photo-contact:kspDebugKotlin,3147,3044,3237,3015,3697,3449,ms
Task Path,:repository:note-contact:compileDebugKotlin,1797,1693,1736,1632,2089,2120,ms
Task Path,:repository:photo-contact:compileDebugKotlin,2129,2068,2131,2044,2554,2574,ms
Task Path,:repository:timer-contact:kspDebugKotlin,3180,3072,3133,3011,3871,3659,ms
Task Path,:repository:todo-contact:kspDebugKotlin,3873,3597,3824,3576,4700,4275,ms
Task Path,:repository:timer-contact:compileDebugKotlin,1934,1867,1918,1832,2371,2277,ms
Task Path,:repository:todo-contact:compileDebugKotlin,1899,1853,1886,1855,2347,2195,ms
Task Path,:repository:video-contact:kspDebugKotlin,3152,3030,3061,2957,3965,3531,ms
Task Path,:repository:alarm-contact:kspDebugKotlin,4018,3801,4017,3769,4567,4460,ms
Task Path,:repository:video-contact:compileDebugKotlin,1814,1742,1846,1746,2095,2075,ms
Task Path,:repository:alarm-contact:compileDebugKotlin,1805,1853,1788,1773,2266,2324,ms
Task Path,:repository:article-contact:kspDebugKotlin,3221,3031,3208,2977,3755,3543,ms
Task Path,:repository:audio-contact:kspDebugKotlin,3174,3118,3161,3149,3777,3625,ms
Task Path,:model:checkout-login:kspDebugKotlin,2936,3004,2925,2930,3612,3678,ms
Task Path,:repository:audio-contact:compileDebugKotlin,1984,1896,1892,1879,2513,2316,ms
Task Path,:repository:article-contact:compileDebugKotlin,1934,2002,1893,1918,2334,2506,ms
Task Path,:repository:document-contact:kspDebugKotlin,2916,2917,2885,2916,3502,3459,ms
