Category,Metric,varianta_baseline Mean,variantb_gradle-9.6.0 Mean,varianta_baseline P50,variantb_gradle-9.6.0 P50,varianta_baseline P90,variantb_gradle-9.6.0 P90,Unit
Build,Build time,271269,274904,270452,275492,288783,300299,ms
Build,Configuration time,39154,38616,39954,39316,43014,43956,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3325,3538,2843,2838,5369,5333,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,2550,2551,2208,2227,3661,3669,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1967,2120,1903,2022,2290,2818,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1652,1407,1661,1387,2057,2042,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,5278,5136,1091,1177,15155,14822,ms
Task Path,:build-logic:convention:compileKotlin,8389,8324,8437,8334,8758,8909,ms
Task Path,:app:app:parseDebugLocalResources,1651,1714,1276,1315,3413,3539,ms
Task Path,:core:contact:kspDebugKotlin,7423,7337,7484,7385,8175,8265,ms
Task Path,:core:cart:kspDebugKotlin,8343,8309,8408,8246,9067,9429,ms
Task Path,:core:checkout:kspDebugKotlin,8109,8064,8170,8187,8757,9107,ms
Task Path,:core:comment:kspDebugKotlin,7821,7778,7863,7864,8488,8780,ms
Task Path,:core:contact:compileDebugKotlin,8562,14286,8509,14304,9470,15595,ms
Task Path,:core:checkout:compileDebugKotlin,8496,14255,8549,14280,9402,15783,ms
Task Path,:core:cart:compileDebugKotlin,8915,14651,8956,14747,10018,16500,ms
Task Path,:core:comment:compileDebugKotlin,8449,14173,8478,14172,9297,15683,ms
Task Path,:core:feed:kspDebugKotlin,2741,2876,2725,2958,3359,3522,ms
Task Path,:core:identity:kspDebugKotlin,4281,4192,4420,4123,5044,4981,ms
Task Path,:core:group:kspDebugKotlin,4023,3897,4160,3887,4959,4614,ms
Task Path,:core:location:kspDebugKotlin,4110,3958,4128,3997,5077,4702,ms
Task Path,:core:feed:compileDebugKotlin,6626,7026,6727,6901,7240,8022,ms
Task Path,:core:group:compileDebugKotlin,6047,5644,6080,5602,7046,6873,ms
Task Path,:core:identity:compileDebugKotlin,5748,5485,5640,5535,6872,6486,ms
Task Path,:core:location:compileDebugKotlin,5381,5269,5364,5160,6203,6613,ms
Task Path,:core:login:kspDebugKotlin,3091,2936,3023,2931,3640,3623,ms
Task Path,:core:message:kspDebugKotlin,3412,3469,3413,3476,3973,4307,ms
Task Path,:core:network:kspDebugKotlin,3402,3316,3451,3298,3854,4071,ms
Task Path,:core:notification:kspDebugKotlin,3429,3456,3470,3399,3959,4074,ms
Task Path,:core:login:compileDebugKotlin,5372,5494,5499,5473,6251,6605,ms
Task Path,:core:message:compileDebugKotlin,4980,5060,4851,4965,5895,5998,ms
Task Path,:core:post:kspDebugKotlin,2998,2777,2913,2691,3603,3619,ms
Task Path,:core:network:compileDebugKotlin,4969,5005,4944,5006,6053,5950,ms
Task Path,:core:notification:compileDebugKotlin,4902,4779,4866,4708,5740,5765,ms
Task Path,:core:post:compileDebugKotlin,4746,4818,4800,4660,5426,6283,ms
Task Path,:core:profile:kspDebugKotlin,3178,3170,3164,3138,3789,3892,ms
Task Path,:core:push:kspDebugKotlin,3039,2960,2977,2995,3820,3579,ms
Task Path,:core:search:kspDebugKotlin,3214,3277,3181,3336,3760,3980,ms
Task Path,:core:setting:kspDebugKotlin,3843,3914,3842,3987,4681,4615,ms
Task Path,:core:profile:compileDebugKotlin,5036,5100,4994,5041,6202,6339,ms
Task Path,:core:push:compileDebugKotlin,4869,4812,4930,4702,5911,5812,ms
Task Path,:core:search:compileDebugKotlin,4585,4829,4562,4852,5562,5706,ms
Task Path,:core:setting:compileDebugKotlin,3946,4137,3862,4071,4813,5173,ms
Task Path,:core:share:kspDebugKotlin,2921,2851,2973,2870,3483,3732,ms
Task Path,:core:user:kspDebugKotlin,2837,2844,2846,2836,3500,3578,ms
Task Path,:core:sync:kspDebugKotlin,3818,3832,3895,3787,4785,4579,ms
Task Path,:feature:map:kspDebugKotlin,2474,2573,2454,2573,3255,3489,ms
Task Path,:core:share:compileDebugKotlin,4211,4279,4211,4395,4919,5176,ms
Task Path,:core:user:compileDebugKotlin,3979,4173,3954,4105,4620,5159,ms
Task Path,:core:sync:compileDebugKotlin,3826,3906,3847,3813,4389,4538,ms
Task Path,:feature:map:compileDebugKotlin,3350,3424,3432,3273,3785,4829,ms
Task Path,:feature:metric:kspDebugKotlin,2205,2256,2204,2179,3025,3131,ms
Task Path,:feature:account:kspDebugKotlin,2467,2439,2386,2278,3196,3251,ms
Task Path,:feature:alarm:kspDebugKotlin,2508,2499,2487,2389,3140,3392,ms
Task Path,:feature:analytics:kspDebugKotlin,2616,2548,2556,2458,3424,3261,ms
Task Path,:feature:calendar:kspDebugKotlin,2453,2525,2446,2415,3046,3358,ms
Task Path,:feature:account:compileDebugKotlin,3378,3374,3317,3279,4010,4100,ms
Task Path,:feature:alarm:compileDebugKotlin,3436,3411,3478,3315,4041,4150,ms
Task Path,:feature:analytics:compileDebugKotlin,3222,3205,3089,3092,3928,4003,ms
Task Path,:feature:document:kspDebugKotlin,1998,2005,1893,2052,2557,2427,ms
Task Path,:feature:calendar:compileDebugKotlin,3486,3345,3527,3229,3956,4048,ms
Task Path,:feature:event:kspDebugKotlin,3124,3148,3080,3058,3790,4040,ms
Task Path,:feature:list:kspDebugKotlin,2459,2524,2514,2324,2987,3515,ms
Task Path,:feature:file:kspDebugKotlin,2432,2474,2466,2477,3095,3154,ms
Task Path,:feature:document:compileDebugKotlin,3391,3401,3349,3335,4271,4210,ms
Task Path,:feature:event:compileDebugKotlin,3209,3168,3206,3077,3919,3987,ms
Task Path,:feature:list:compileDebugKotlin,3308,3182,3083,3098,4322,3860,ms
Task Path,:feature:file:compileDebugKotlin,3168,3188,3087,3212,4032,3800,ms
Task Path,:feature:metric:compileDebugKotlin,3151,2862,3203,2904,3905,3422,ms
Task Path,:feature:note:kspDebugKotlin,2973,2963,3047,3060,3684,3566,ms
Task Path,:feature:report:kspDebugKotlin,2366,2303,2302,2261,3088,2837,ms
