Category,Metric,varianta_k2_kotlin_2.2.0 Mean,variantb_k2_increase_memory_gradle Mean,varianta_k2_kotlin_2.2.0 P50,variantb_k2_increase_memory_gradle P50,varianta_k2_kotlin_2.2.0 P90,variantb_k2_increase_memory_gradle P90,Unit
Task Path,:layer_0:module_0_34:kspDebugKotlin,4333,4380,4323,4300,4927,5004,ms
Task Path,:layer_0:module_0_32:compileDebugKotlin,3781,3818,3793,3811,4398,4427,ms
Task Path,:layer_0:module_0_31:compileDebugKotlin,3994,4085,3966,4067,4493,4597,ms
Task Path,:layer_0:module_0_34:compileDebugKotlin,3591,3550,3488,3498,4243,4044,ms
Task Path,:layer_0:module_0_33:compileDebugKotlin,3703,3742,3729,3755,4357,4226,ms
Task Path,:layer_0:module_0_37:kspDebugKotlin,3848,3915,3803,3867,4398,4580,ms
Task Path,:layer_0:module_0_36:kspDebugKotlin,3914,3992,3838,3881,4488,4642,ms
Task Path,:layer_0:module_0_35:kspDebugKotlin,4414,4446,4276,4367,5187,5070,ms
Task Path,:layer_0:module_0_38:kspDebugKotlin,3870,3901,3784,3848,4518,4399,ms
Task Path,:layer_0:module_0_36:compileDebugKotlin,3379,3437,3346,3385,3761,3965,ms
Task Path,:layer_0:module_0_38:compileDebugKotlin,3325,3427,3270,3372,3821,3853,ms
Task Path,:layer_0:module_0_37:compileDebugKotlin,3438,3501,3400,3496,3973,3926,ms
Task Path,:layer_0:module_0_35:compileDebugKotlin,3383,3443,3359,3375,3815,3953,ms
Task Path,:layer_0:module_0_39:kspDebugKotlin,3577,3718,3587,3560,4165,4553,ms
Task Path,:layer_0:module_0_4:kspDebugKotlin,4071,4089,3982,4086,4714,4843,ms
Task Path,:layer_0:module_0_41:kspDebugKotlin,4247,4335,4166,4315,4958,5055,ms
Task Path,:layer_0:module_0_40:kspDebugKotlin,5174,5408,5104,5271,5948,6256,ms
Task Path,:layer_0:module_0_39:compileDebugKotlin,3679,3806,3707,3823,4382,4437,ms
Task Path,:layer_0:module_0_41:compileDebugKotlin,3597,3645,3533,3557,4046,4219,ms
Task Path,:layer_0:module_0_4:compileDebugKotlin,3721,3835,3694,3768,4190,4551,ms
Task Path,:layer_0:module_0_40:compileDebugKotlin,3106,3230,3053,3154,3460,3846,ms
Task Path,:layer_0:module_0_42:kspDebugKotlin,3420,3445,3434,3388,3859,4083,ms
Task Path,:layer_0:module_0_43:kspDebugKotlin,3715,3691,3599,3701,4444,4487,ms
Task Path,:layer_0:module_0_44:kspDebugKotlin,4188,4150,4190,4076,4919,5013,ms
Task Path,:layer_0:module_0_45:kspDebugKotlin,4981,4899,4916,4892,5838,5634,ms
Task Path,:layer_0:module_0_42:compileDebugKotlin,3731,3702,3896,3771,4532,4284,ms
Task Path,:layer_0:module_0_43:compileDebugKotlin,3890,3726,3919,3695,4565,4312,ms
Task Path,:layer_0:module_0_44:compileDebugKotlin,3488,3502,3403,3497,4152,4004,ms
Task Path,:layer_0:module_0_45:compileDebugKotlin,3079,3071,3134,3046,3602,3709,ms
Task Path,:layer_0:module_0_46:kspDebugKotlin,3538,3577,3353,3445,4363,4760,ms
Task Path,:layer_0:module_0_6:kspDebugKotlin,3753,3921,3677,3776,4500,4700,ms
Task Path,:layer_0:module_0_5:kspDebugKotlin,4440,4494,4488,4562,5054,5229,ms
Task Path,:layer_0:module_0_7:kspDebugKotlin,3923,4023,3883,3930,4507,4661,ms
Task Path,:layer_0:module_0_46:compileDebugKotlin,3236,3264,3287,3285,3583,3744,ms
Task Path,:layer_0:module_0_6:compileDebugKotlin,3147,3206,3104,3207,3625,3856,ms
Task Path,:layer_0:module_0_5:compileDebugKotlin,3065,3192,2953,3158,3693,3720,ms
Task Path,:layer_0:module_0_7:compileDebugKotlin,3107,3182,3071,3186,3704,3760,ms
Task Path,:layer_0:module_0_8:kspDebugKotlin,3582,3742,3489,3795,4159,4832,ms
Task Path,:layer_0:module_0_9:kspDebugKotlin,3430,3557,3450,3475,3962,4323,ms
Task Path,:layer_0:module_0_8:compileDebugKotlin,3239,3209,3262,3177,3939,3974,ms
Task Path,:layer_1:module_1_47:kspDebugKotlin,4241,4190,4207,4199,5007,5067,ms
Task Path,:layer_0:module_0_9:compileDebugKotlin,3359,3170,3338,3283,3888,3858,ms
Task Path,:layer_1:module_1_47:compileDebugKotlin,3783,3527,3803,3641,4432,4241,ms
Task Path,:layer_1:module_1_48:kspDebugKotlin,4396,4151,4422,4162,5451,4959,ms
Task Path,:layer_1:module_1_49:kspDebugKotlin,4081,3827,4146,3848,4806,4529,ms
Task Path,:layer_1:module_1_48:compileDebugKotlin,3358,3081,3262,3119,3971,3882,ms
Task Path,:layer_1:module_1_50:kspDebugKotlin,4896,4826,4860,4847,5670,5782,ms
Task Path,:layer_1:module_1_49:compileDebugKotlin,3541,3404,3523,3480,4111,3914,ms
Task Path,:layer_1:module_1_51:kspDebugKotlin,4264,4202,4139,4152,5233,4900,ms
Task Path,:layer_1:module_1_50:compileDebugKotlin,3505,3309,3487,3330,3972,3875,ms
Task Path,:layer_1:module_1_51:compileDebugKotlin,3302,3264,3302,3237,3656,3946,ms
Task Path,:layer_1:module_1_52:kspDebugKotlin,4469,4428,4528,4353,5290,5353,ms
Task Path,:layer_1:module_1_53:kspDebugKotlin,3917,3885,3810,3882,5024,4782,ms
Task Path,:layer_1:module_1_54:kspDebugKotlin,3810,3754,3847,3771,4245,4512,ms
Task Path,:layer_1:module_1_52:compileDebugKotlin,3410,3233,3405,3240,3780,3937,ms
Task Path,:layer_1:module_1_53:compileDebugKotlin,3350,3120,3294,3070,3887,3765,ms
Task Path,:layer_1:module_1_54:compileDebugKotlin,3176,2964,3162,2909,3711,3793,ms
Task Path,:layer_1:module_1_55:kspDebugKotlin,4779,4416,4633,4379,5589,5234,ms
Task Path,:layer_1:module_1_56:kspDebugKotlin,4175,3988,4234,3987,4855,4636,ms
Task Path,:layer_1:module_1_55:compileDebugKotlin,3451,3095,3470,3083,4010,3783,ms
Task Path,:layer_1:module_1_57:kspDebugKotlin,4071,3866,4120,3838,4524,4595,ms
Task Path,:layer_1:module_1_56:compileDebugKotlin,3338,3062,3309,2981,3906,3807,ms
Task Path,:layer_1:module_1_58:kspDebugKotlin,4037,3773,4066,3882,4852,4360,ms
Task Path,:layer_1:module_1_57:compileDebugKotlin,3506,3171,3503,3222,4187,4145,ms
Task Path,:layer_1:module_1_58:compileDebugKotlin,3351,3085,3368,3014,3963,3781,ms
Task Path,:layer_1:module_1_59:kspDebugKotlin,4190,3888,4204,3943,4777,4529,ms
Task Path,:layer_1:module_1_61:kspDebugKotlin,3856,3750,3770,3673,4697,4573,ms
Task Path,:layer_1:module_1_60:kspDebugKotlin,4909,4651,5009,4667,5855,5408,ms
Task Path,:layer_1:module_1_59:compileDebugKotlin,3358,3119,3376,3069,3967,3917,ms
Task Path,:layer_1:module_1_62:kspDebugKotlin,3924,3804,3844,3791,4926,4681,ms
Task Path,:layer_1:module_1_61:compileDebugKotlin,2975,2864,2910,2853,3392,3361,ms
Task Path,:layer_1:module_1_60:compileDebugKotlin,2894,2689,2950,2762,3423,3170,ms
Task Path,:layer_1:module_1_62:compileDebugKotlin,2949,2777,3014,2754,3484,3560,ms
Task Path,:layer_1:module_1_63:kspDebugKotlin,3893,3709,3868,3713,4560,4417,ms
Task Path,:layer_1:module_1_63:compileDebugKotlin,2801,2644,2824,2626,3267,3307,ms
Task Path,:layer_1:module_1_64:kspDebugKotlin,4071,3807,4060,3784,4899,4485,ms
Task Path,:layer_1:module_1_66:kspDebugKotlin,3806,3459,3846,3345,4468,4311,ms
Task Path,:layer_1:module_1_65:kspDebugKotlin,4335,4002,4337,3845,5236,5051,ms
Task Path,:layer_1:module_1_64:compileDebugKotlin,2879,2628,2895,2574,3400,3064,ms
Task Path,:layer_1:module_1_67:kspDebugKotlin,3776,3333,3791,3250,4506,4155,ms
Task Path,:layer_1:module_1_66:compileDebugKotlin,2805,2480,2838,2454,3257,3042,ms
Task Path,:layer_1:module_1_65:compileDebugKotlin,2844,2515,2824,2523,3454,3101,ms
Task Path,:layer_1:module_1_67:compileDebugKotlin,2807,2477,2824,2452,3473,2985,ms
Task Path,:layer_1:module_1_69:kspDebugKotlin,3678,3279,3656,3244,4445,3868,ms
Task Path,:layer_1:module_1_68:kspDebugKotlin,3988,3436,3907,3378,4702,4227,ms
Task Path,:layer_1:module_1_71:kspDebugKotlin,3795,3359,3753,3439,4395,3933,ms
Task Path,:layer_1:module_1_70:kspDebugKotlin,4379,3879,4369,3901,5023,4575,ms
Task Path,:layer_1:module_1_69:compileDebugKotlin,2694,2365,2761,2301,3188,2877,ms
Task Path,:layer_1:module_1_68:compileDebugKotlin,2730,2387,2719,2431,3305,2817,ms
Task Path,:layer_1:module_1_70:compileDebugKotlin,2607,2455,2579,2298,3083,3146,ms
Task Path,:layer_1:module_1_71:compileDebugKotlin,2728,2528,2754,2440,3399,3039,ms
Task Path,:layer_1:module_1_72:kspDebugKotlin,3922,3735,3913,3673,4653,4549,ms
Task Path,:layer_1:module_1_73:kspDebugKotlin,3491,3328,3491,3356,4330,4051,ms
Task Path,:layer_1:module_1_74:kspDebugKotlin,3446,3265,3463,3327,3947,3853,ms
Task Path,:layer_1:module_1_72:compileDebugKotlin,2561,2473,2521,2418,3157,3043,ms
Task Path,:layer_1:module_1_75:kspDebugKotlin,3964,3768,4012,3745,4531,4339,ms
Task Path,:layer_1:module_1_73:compileDebugKotlin,2659,2570,2638,2535,3388,3193,ms
Task Path,:layer_1:module_1_74:compileDebugKotlin,2630,2485,2669,2417,3160,3045,ms
Task Path,:layer_1:module_1_75:compileDebugKotlin,2478,2286,2440,2269,3128,2843,ms
Task Path,:layer_1:module_1_76:kspDebugKotlin,3574,3420,3544,3440,4278,4037,ms
Task Path,:layer_1:module_1_76:compileDebugKotlin,2456,2358,2449,2334,2963,2864,ms
Task Path,:layer_1:module_1_77:kspDebugKotlin,3379,3160,3498,3153,4017,3679,ms
Task Path,:layer_1:module_1_78:kspDebugKotlin,3371,3062,3353,3070,4073,3565,ms
Task Path,:layer_1:module_1_79:kspDebugKotlin,3380,3053,3396,3019,3931,3451,ms
Task Path,:layer_1:module_1_78:compileDebugKotlin,2554,2294,2450,2233,3308,2823,ms
Task Path,:layer_1:module_1_77:compileDebugKotlin,2573,2322,2499,2232,3238,2668,ms
Task Path,:layer_1:module_1_79:compileDebugKotlin,2605,2437,2549,2304,3261,3093,ms
Task Path,:layer_1:module_1_80:kspDebugKotlin,4028,3942,4050,3828,4643,4509,ms
Task Path,:layer_1:module_1_80:compileDebugKotlin,2448,2530,2319,2450,3183,3155,ms
Task Path,:layer_1:module_1_81:kspDebugKotlin,3209,3236,3202,3135,3883,3689,ms
Task Path,:layer_1:module_1_82:kspDebugKotlin,3323,3201,3243,3115,4068,3828,ms
Task Path,:layer_1:module_1_83:kspDebugKotlin,3163,3072,3189,3040,3704,3663,ms
Task Path,:layer_1:module_1_81:compileDebugKotlin,2514,2453,2380,2377,3230,3137,ms
Task Path,:layer_1:module_1_84:kspDebugKotlin,3320,3303,3235,3236,3936,4036,ms
Task Path,:layer_1:module_1_83:compileDebugKotlin,2395,2382,2326,2343,2893,2859,ms
Task Path,:layer_1:module_1_82:compileDebugKotlin,2543,2410,2528,2362,2927,2887,ms
Task Path,:layer_1:module_1_84:compileDebugKotlin,2137,2381,2077,2351,2523,2855,ms
Task Path,:layer_1:module_1_85:kspDebugKotlin,3497,3783,3399,3702,4243,4474,ms
Task Path,:layer_1:module_1_86:kspDebugKotlin,3086,3312,2956,3208,3735,3992,ms
Task Path,:layer_1:module_1_87:kspDebugKotlin,2989,3178,2948,3070,3511,3858,ms
Task Path,:layer_1:module_1_88:kspDebugKotlin,3147,3128,3102,3029,4002,3874,ms
Task Path,:layer_1:module_1_85:compileDebugKotlin,2231,2492,2208,2380,2663,3144,ms
Task Path,:layer_1:module_1_86:compileDebugKotlin,2363,2549,2329,2457,2856,3409,ms
Task Path,:layer_1:module_1_87:compileDebugKotlin,2229,2268,2198,2218,2625,2866,ms
Task Path,:layer_1:module_1_88:compileDebugKotlin,2169,2167,2110,2083,2730,2624,ms
Task Path,:layer_1:module_1_89:kspDebugKotlin,2975,3026,2981,2916,3613,3675,ms
Task Path,:layer_1:module_1_91:kspDebugKotlin,3075,3046,3031,2965,3592,3680,ms
Task Path,:layer_1:module_1_90:kspDebugKotlin,3572,3516,3495,3476,4264,4064,ms
Task Path,:layer_1:module_1_92:kspDebugKotlin,3073,2965,2982,2972,3682,3415,ms
Task Path,:layer_1:module_1_89:compileDebugKotlin,2260,2296,2257,2289,2597,2713,ms
Task Path,:layer_1:module_1_91:compileDebugKotlin,2298,2212,2292,2168,2727,2764,ms
Task Path,:layer_1:module_1_90:compileDebugKotlin,2194,2204,2176,2119,2605,2786,ms
Task Path,:layer_1:module_1_92:compileDebugKotlin,2096,2140,2116,2166,2516,2690,ms
Task Path,:layer_2:module_2_100:kspDebugKotlin,3851,4011,3821,3919,4294,4800,ms
Task Path,:layer_2:module_2_101:kspDebugKotlin,3132,3220,3038,3122,3663,3886,ms
Task Path,:layer_2:module_2_102:kspDebugKotlin,3184,3348,3107,3299,3710,3963,ms
Task Path,:layer_2:module_2_100:compileDebugKotlin,2468,2653,2480,2609,2857,3037,ms
Task Path,:layer_2:module_2_103:kspDebugKotlin,3256,3381,3175,3256,3720,3977,ms
Task Path,:layer_2:module_2_101:compileDebugKotlin,2423,2551,2351,2491,2920,3126,ms
Task Path,:layer_2:module_2_102:compileDebugKotlin,2369,2550,2333,2507,2707,2958,ms
Task Path,:layer_2:module_2_103:compileDebugKotlin,2303,2489,2299,2489,2612,2730,ms
Task Path,:layer_2:module_2_104:kspDebugKotlin,3076,3078,2991,3100,3663,3609,ms
Task Path,:layer_2:module_2_105:kspDebugKotlin,3747,3876,3686,3841,4405,4477,ms
Task Path,:layer_2:module_2_106:kspDebugKotlin,3230,3284,3193,3266,3683,3731,ms
Task Path,:layer_2:module_2_107:kspDebugKotlin,3304,3345,3243,3364,3880,3879,ms
Task Path,:layer_2:module_2_104:compileDebugKotlin,2179,2223,2183,2241,2806,2879,ms
Task Path,:layer_2:module_2_106:compileDebugKotlin,2549,2607,2521,2588,3078,3055,ms
Task Path,:layer_2:module_2_107:compileDebugKotlin,2413,2446,2371,2423,2828,2831,ms
Task Path,:layer_2:module_2_105:compileDebugKotlin,2552,2603,2520,2541,2928,3023,ms
Task Path,:layer_2:module_2_108:kspDebugKotlin,2773,2773,2772,2721,3154,3299,ms
Task Path,:layer_2:module_2_108:compileDebugKotlin,2208,2181,2188,2112,2665,2685,ms
Task Path,:layer_2:module_2_109:kspDebugKotlin,2915,2783,2807,2711,3455,3222,ms
Task Path,:layer_2:module_2_111:kspDebugKotlin,3088,3071,3028,3027,3634,3533,ms
Task Path,:layer_2:module_2_110:kspDebugKotlin,3659,3611,3559,3521,4333,3998,ms
Task Path,:layer_2:module_2_109:compileDebugKotlin,2332,2415,2300,2298,2764,3005,ms
Task Path,:layer_2:module_2_112:kspDebugKotlin,2791,2982,2826,2941,3545,3783,ms
Task Path,:layer_2:module_2_110:compileDebugKotlin,2156,2296,2152,2111,2651,2913,ms
Task Path,:layer_2:module_2_111:compileDebugKotlin,2178,2253,2083,2156,2722,2854,ms
Task Path,:layer_2:module_2_112:compileDebugKotlin,2035,2192,2007,2161,2517,2746,ms
Task Path,:layer_2:module_2_113:kspDebugKotlin,2807,2904,2767,2867,3350,3514,ms
Task Path,:layer_2:module_2_114:kspDebugKotlin,2923,3021,2879,2947,3599,3611,ms
Task Path,:layer_2:module_2_115:kspDebugKotlin,3649,3845,3624,3809,4198,4222,ms
Task Path,:layer_2:module_2_113:compileDebugKotlin,2304,2434,2274,2422,2742,2938,ms
Task Path,:layer_2:module_2_114:compileDebugKotlin,2208,2289,2149,2232,2581,2718,ms
Task Path,:layer_2:module_2_116:kspDebugKotlin,3084,3231,3112,3241,3567,3850,ms
Task Path,:layer_2:module_2_115:compileDebugKotlin,2089,2174,2038,2190,2645,2684,ms
Task Path,:layer_2:module_2_116:compileDebugKotlin,2083,2339,2079,2277,2631,2970,ms
Task Path,:layer_2:module_2_117:kspDebugKotlin,2850,3044,2745,2993,3350,3625,ms
Task Path,:layer_2:module_2_118:kspDebugKotlin,2819,3065,2789,3019,3337,3751,ms
Task Path,:layer_2:module_2_119:kspDebugKotlin,3012,3156,2958,3113,3540,3849,ms
Task Path,:layer_2:module_2_117:compileDebugKotlin,2256,2389,2197,2353,2826,2876,ms
Task Path,:layer_2:module_2_118:compileDebugKotlin,2261,2350,2237,2285,2666,2702,ms
Task Path,:layer_2:module_2_119:compileDebugKotlin,2162,2221,2123,2120,2792,2765,ms
Task Path,:layer_2:module_2_120:kspDebugKotlin,3541,3614,3515,3495,4227,4405,ms
Task Path,:layer_2:module_2_120:compileDebugKotlin,2040,2083,1980,2010,2621,2646,ms
Task Path,:layer_2:module_2_121:kspDebugKotlin,2907,2881,2858,2871,3449,3508,ms
Task Path,:layer_2:module_2_122:kspDebugKotlin,2937,2986,2872,2932,3484,3502,ms
Task Path,:layer_2:module_2_123:kspDebugKotlin,3105,3025,3083,2965,3506,3452,ms
Task Path,:layer_2:module_2_121:compileDebugKotlin,2225,2248,2172,2170,2668,2686,ms
Task Path,:layer_2:module_2_124:kspDebugKotlin,2985,3036,2948,2940,3674,3690,ms
Task Path,:layer_2:module_2_122:compileDebugKotlin,2282,2236,2240,2203,2758,2754,ms
Task Path,:layer_2:module_2_123:compileDebugKotlin,2075,2099,2066,2024,2400,2612,ms
Task Path,:layer_2:module_2_124:compileDebugKotlin,1982,2057,1985,2062,2427,2406,ms
Task Path,:layer_2:module_2_126:kspDebugKotlin,2973,3190,2963,3168,3393,3759,ms
Task Path,:layer_2:module_2_125:kspDebugKotlin,3345,3531,3342,3495,3894,4059,ms
Task Path,:layer_2:module_2_127:kspDebugKotlin,2910,3096,2902,2996,3333,3766,ms
Task Path,:layer_2:module_2_126:compileDebugKotlin,2171,2182,2094,2152,2637,2498,ms
Task Path,:layer_2:module_2_127:compileDebugKotlin,2126,2110,2142,2085,2480,2600,ms
Task Path,:layer_2:module_2_128:kspDebugKotlin,2897,3091,2982,3104,3710,3737,ms
Task Path,:layer_2:module_2_125:compileDebugKotlin,2238,2243,2167,2208,2643,2587,ms
Task Path,:layer_2:module_2_128:compileDebugKotlin,1934,2159,1921,2086,2394,2759,ms
Task Path,:layer_2:module_2_129:kspDebugKotlin,2741,2966,2612,2979,3321,3427,ms
Task Path,:layer_2:module_2_130:kspDebugKotlin,3488,3794,3494,3808,3958,4420,ms
Task Path,:layer_2:module_2_131:kspDebugKotlin,3139,3351,3073,3309,3743,3925,ms
Task Path,:layer_2:module_2_129:compileDebugKotlin,2164,2285,2163,2287,2566,2812,ms
Task Path,:layer_2:module_2_132:kspDebugKotlin,3085,3109,3103,3182,3697,3726,ms
Task Path,:layer_2:module_2_130:compileDebugKotlin,2156,2185,2096,2136,2669,2604,ms
Task Path,:layer_2:module_2_131:compileDebugKotlin,2179,2243,2172,2182,2555,2784,ms
Task Path,:layer_2:module_2_132:compileDebugKotlin,2017,1988,2042,1915,2425,2544,ms
Task Path,:layer_2:module_2_133:kspDebugKotlin,2744,2791,2785,2844,3358,3289,ms
Task Path,:layer_2:module_2_133:compileDebugKotlin,2223,2232,2189,2204,2720,2892,ms
Task Path,:layer_2:module_2_134:kspDebugKotlin,3020,2995,2972,2939,3419,3517,ms
Task Path,:layer_2:module_2_135:kspDebugKotlin,3741,3704,3699,3610,4285,4431,ms
Task Path,:layer_2:module_2_136:kspDebugKotlin,3315,3297,3282,3303,3888,3917,ms
Task Path,:layer_2:module_2_134:compileDebugKotlin,2384,2288,2337,2241,2889,2690,ms
Task Path,:layer_2:module_2_135:compileDebugKotlin,2122,2160,2065,2098,2557,2617,ms
Task Path,:layer_2:module_2_136:compileDebugKotlin,2156,2226,2097,2180,2589,2578,ms
Task Path,:layer_2:module_2_137:kspDebugKotlin,2737,2919,2723,2912,3313,3314,ms
Task Path,:layer_2:module_2_137:compileDebugKotlin,1996,2125,1997,2109,2418,2427,ms
Task Path,:layer_2:module_2_138:kspDebugKotlin,2847,2986,2838,2996,3291,3512,ms
Task Path,:layer_2:module_2_93:kspDebugKotlin,2979,3119,2956,3074,3374,3583,ms
Task Path,:layer_2:module_2_94:kspDebugKotlin,2901,2988,2858,2903,3617,3752,ms
Task Path,:layer_2:module_2_138:compileDebugKotlin,2023,2174,2021,2137,2465,2572,ms
Task Path,:layer_2:module_2_93:compileDebugKotlin,2054,2094,1970,2058,2523,2430,ms
Task Path,:layer_2:module_2_95:kspDebugKotlin,3263,3458,3233,3476,3828,4002,ms
Task Path,:layer_2:module_2_94:compileDebugKotlin,2056,2234,2082,2170,2469,2743,ms
Task Path,:layer_2:module_2_95:compileDebugKotlin,2043,2226,2004,2138,2548,2709,ms
Task Path,:layer_2:module_2_96:kspDebugKotlin,3058,3259,3003,3260,3605,3803,ms
Task Path,:layer_2:module_2_97:kspDebugKotlin,2894,3140,2878,3080,3328,3726,ms
Task Path,:layer_2:module_2_98:kspDebugKotlin,2855,2857,2946,2848,3577,3542,ms
Task Path,:layer_2:module_2_99:kspDebugKotlin,2875,2833,2795,2784,3346,3481,ms
Task Path,:layer_2:module_2_97:compileDebugKotlin,2257,2181,2184,2091,2769,2628,ms
