Category,Metric,varianta_baseline Mean,variantb_agp-9.4.1 Mean,varianta_baseline P50,variantb_agp-9.4.1 P50,varianta_baseline P90,variantb_agp-9.4.1 P90,Unit
Build,Build time,251954,260348,258185,270842,278840,280216,ms
Build,Configuration time,44245,44621,45885,46561,50404,50315,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,4,4,4,4,6,6,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,36,37,32,32,57,63,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,62,60,54,55,102,90,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3316,3485,2913,3041,4895,5218,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,604,637,422,441,706,776,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,42,47,40,47,54,68,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,6,5,6,6,10,10,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,40,39,15,16,28,29,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,12,13,10,11,19,21,ms
Task Type,com.android.build.gradle.tasks.MergeResources,100,108,32,35,59,62,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,13,11,9,10,17,18,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,97,94,27,27,49,52,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,25,27,22,23,41,42,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,2446,2499,2144,2190,3412,3473,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,101,107,85,92,158,161,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,19,19,16,17,29,29,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,12,13,8,8,15,15,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,14,18,14,15,21,32,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,17,19,15,17,27,30,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,13,13,10,9,17,20,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,48,51,44,48,70,74,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,342,389,356,362,497,594,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsGeneratorTask,5715,5996,5708,6343,6882,7036,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,41,45,12,13,22,23,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,6970,7053,1199,1298,20442,20652,ms
Task Type,dagger.hilt.android.plugin.task.HiltCollectClassesTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,20,22,6,6,13,15,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,829,861,786,845,1205,1206,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,7,8,7,7,12,13,ms
Task Type,com.android.build.gradle.tasks.CompileNavigationXmlTask,40,38,37,38,68,53,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,17,18,16,16,31,29,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,6,6,5,6,10,11,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,45,48,37,39,58,63,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,23,23,19,20,31,32,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,24,25,15,16,25,26,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,531,552,536,567,736,702,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,355,386,354,366,465,553,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,34,36,33,36,46,51,ms
