Category,Metric,varianta_2.2.0 Mean,variantb_2.2.10 Mean,varianta_2.2.0 P50,variantb_2.2.10 P50,varianta_2.2.0 P90,variantb_2.2.10 P90,Unit
Build,Build time,372603,370370,372126,369916,386083,390186,ms
Build,Configuration time,41783,41606,41683,40956,46634,46418,ms
Gradle process state,Gradle-Process-gcTime,0.15,0.15,0.15,0.15,0.16,0.16,
Kotlin process state,Kotlin-Process-gcTime,0.28,0.28,0.28,0.28,0.3,0.3,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3755,3728,3306,3298,7045,6862,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3772,3752,3541,3530,5301,5216,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2543,2380,2566,2349,2968,2781,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,5366,5321,2950,2803,12843,12843,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1612,1631,1510,1605,2194,2076,ms
Task Path,:build-logic:convention:compileKotlin,6420,6388,6425,6330,6667,6643,ms
Task Path,:api:audio:parseDebugLocalResources,1462,1246,1077,990,3098,2195,ms
Task Path,:core:cart:kspDebugKotlin,7836,7750,7862,7735,8218,8211,ms
Task Path,:core:identity:kspDebugKotlin,6090,6025,6101,6066,6450,6310,ms
Task Path,:core:contact:kspDebugKotlin,6644,6600,6656,6549,6975,6981,ms
Task Path,:core:checkout:kspDebugKotlin,7125,7061,7115,7045,7489,7477,ms
Task Path,:core:checkout:compileDebugKotlin,7371,7264,7342,7205,7773,7849,ms
Task Path,:core:cart:compileDebugKotlin,8010,7951,8077,7948,8436,8518,ms
Task Path,:core:identity:compileDebugKotlin,8689,8553,8704,8468,9272,8993,ms
Task Path,:core:checkout:compileDebugJavaWithJavac,3857,3860,3812,3918,4283,4177,ms
Task Path,:core:contact:compileDebugKotlin,10900,10834,10831,10817,11906,11458,ms
Task Path,:core:login:kspDebugKotlin,5351,5315,5362,5234,5970,5935,ms
Task Path,:core:push:kspDebugKotlin,5307,5228,5298,5251,6019,5930,ms
Task Path,:feature:user:kspDebugKotlin,4936,4904,4939,4990,5412,5311,ms
Task Path,:feature:search:kspDebugKotlin,5528,5482,5566,5473,5981,6029,ms
Task Path,:core:login:compileDebugKotlin,7252,7093,7258,7139,8027,7735,ms
Task Path,:core:login:compileDebugJavaWithJavac,1081,1079,1073,1109,1235,1263,ms
Task Path,:core:push:compileDebugKotlin,7131,7076,7154,7053,7640,7729,ms
Task Path,:core:push:compileDebugJavaWithJavac,1052,1083,1059,1059,1228,1308,ms
Task Path,:feature:user:compileDebugKotlin,8324,8112,8383,7924,9151,8943,ms
Task Path,:feature:post:kspDebugKotlin,5718,5507,5689,5457,6603,6259,ms
Task Path,:feature:user:compileDebugJavaWithJavac,1133,1164,1193,1201,1463,1454,ms
Task Path,:feature:search:compileDebugKotlin,9007,8769,9012,8795,9775,9733,ms
Task Path,:feature:search:compileDebugJavaWithJavac,1392,1229,1425,1255,1597,1453,ms
Task Path,:feature:feed:kspDebugKotlin,5362,5291,5337,5152,6085,6019,ms
Task Path,:domain:group:kspDebugKotlin,4671,4583,4693,4636,5064,5059,ms
Task Path,:feature:feed:compileDebugKotlin,6247,6252,6271,6262,6785,6970,ms
Task Path,:feature:comment:kspDebugKotlin,4843,4870,4958,4857,5313,5456,ms
Task Path,:feature:feed:compileDebugJavaWithJavac,1010,1010,1020,1029,1179,1207,ms
Task Path,:feature:post:compileDebugKotlin,9353,9062,9301,8977,10628,10234,ms
Task Path,:domain:group:compileDebugKotlin,3706,3676,3725,3657,4178,4101,ms
Task Path,:feature:post:compileDebugJavaWithJavac,1129,1119,1181,1199,1493,1435,ms
Task Path,:feature:comment:compileDebugKotlin,4056,4001,4080,4036,4783,4647,ms
Task Path,:feature:profile:kspDebugKotlin,5446,5388,5542,5379,5965,5926,ms
Task Path,:domain:location:kspDebugKotlin,5197,5087,5192,5032,5851,5568,ms
Task Path,:domain:network:kspDebugKotlin,5402,5432,5482,5441,6088,6090,ms
Task Path,:repository:report:kspDebugKotlin,5074,5043,5124,4974,5533,5663,ms
Task Path,:domain:location:compileDebugKotlin,6105,6003,6051,6033,7056,6670,ms
Task Path,:feature:profile:compileDebugKotlin,6636,6581,6451,6559,7607,7553,ms
Task Path,:domain:location:compileDebugJavaWithJavac,1055,1006,1061,1008,1268,1187,ms
Task Path,:repository:report:compileDebugKotlin,6342,6325,6336,6268,7304,7170,ms
Task Path,:domain:network:compileDebugKotlin,7947,7829,7857,7704,8660,9012,ms
Task Path,:feature:profile:compileDebugJavaWithJavac,1071,1006,1050,1023,1341,1246,ms
Task Path,:domain:network:compileDebugJavaWithJavac,1164,1170,1198,1097,1394,1567,ms
Task Path,:repository:report:compileDebugJavaWithJavac,1057,1060,1059,1073,1361,1346,ms
Task Path,:domain:message:kspDebugKotlin,4788,4770,4796,4784,5276,5347,ms
Task Path,:domain:share:kspDebugKotlin,4682,4492,4692,4393,5230,5093,ms
Task Path,:domain:sync:kspDebugKotlin,5993,5936,5969,5948,6756,6372,ms
Task Path,:domain:share:compileDebugKotlin,4154,4025,4185,4046,4543,4465,ms
Task Path,:domain:message:compileDebugKotlin,6937,6835,7084,6839,7560,7511,ms
Task Path,:domain:sync:compileDebugKotlin,7432,7256,7411,7309,8162,8054,ms
Task Path,:repository:account:kspDebugKotlin,4997,4811,5036,4961,5626,5550,ms
Task Path,:repository:session:kspDebugKotlin,3787,3771,3746,3799,4298,4156,ms
Task Path,:repository:analytics:kspDebugKotlin,3427,3393,3359,3395,3780,3833,ms
Task Path,:repository:setting:kspDebugKotlin,4313,4296,4229,4237,4797,4687,ms
Task Path,:repository:setting:compileDebugKotlin,2276,2271,2191,2275,2750,2532,ms
Task Path,:repository:analytics:compileDebugKotlin,2343,2320,2308,2335,2752,2661,ms
Task Path,:repository:session:compileDebugKotlin,2848,2831,2856,2784,3101,3117,ms
Task Path,:repository:account:compileDebugKotlin,4924,5023,4910,4994,5517,5817,ms
Task Path,:model:calendar:kspDebugKotlin,4145,4132,4124,4114,4639,4585,ms
Task Path,:repository:notification:kspDebugKotlin,4438,4503,4484,4523,4878,5184,ms
Task Path,:model:metric:kspDebugKotlin,4643,4596,4690,4540,4994,5363,ms
Task Path,:model:calendar:compileDebugKotlin,3927,3929,3907,3969,4756,4639,ms
Task Path,:app:app:mergeDebugResources,5225,5248,5287,5362,5975,6114,ms
Task Path,:model:metric:compileDebugKotlin,5357,5425,5243,5380,6069,6316,ms
Task Path,:repository:notification:compileDebugKotlin,5848,5750,5700,5597,6907,6804,ms
Task Path,:model:status:kspDebugKotlin,3954,4018,4002,4060,4514,4487,ms
Task Path,:model:log:kspDebugKotlin,4093,4107,4060,4097,4677,4630,ms
Task Path,:model:event:kspDebugKotlin,4481,4451,4387,4287,5127,5124,ms
Task Path,:entity:file:kspDebugKotlin,3878,3880,3881,3827,4241,4387,ms
Task Path,:model:log:compileDebugKotlin,2698,2615,2690,2616,3195,2969,ms
Task Path,:model:status:compileDebugKotlin,4373,4243,4373,4246,4871,4741,ms
Task Path,:model:event:compileDebugKotlin,3941,3982,3853,4014,4692,4419,ms
Task Path,:entity:file:compileDebugKotlin,4040,4210,3893,4210,4553,4789,ms
Task Path,:entity:alarm:kspDebugKotlin,4150,4175,4132,4098,4617,4681,ms
Task Path,:entity:document:kspDebugKotlin,4092,4152,4087,4107,4539,4705,ms
Task Path,:model:task:kspDebugKotlin,4009,4033,3937,4064,4561,4501,ms
Task Path,:app:app:processDebugResources,2543,2380,2566,2349,2968,2781,ms
Task Path,:entity:alarm:compileDebugKotlin,4048,3902,3987,3881,4461,4264,ms
Task Path,:entity:document:compileDebugKotlin,4110,3999,4110,4031,4614,4430,ms
Task Path,:model:task:compileDebugKotlin,3906,3967,3956,3917,4523,4664,ms
Task Path,:entity:timer:kspDebugKotlin,3691,3568,3762,3551,4211,4187,ms
Task Path,:data:news:kspDebugKotlin,3901,3795,3829,3749,4497,4383,ms
Task Path,:entity:note:kspDebugKotlin,4535,4418,4542,4486,5258,4908,ms
Task Path,:entity:todo:kspDebugKotlin,4006,3924,4026,3947,4499,4338,ms
Task Path,:entity:timer:compileDebugKotlin,2249,2157,2136,1990,2813,2735,ms
Task Path,:data:news:compileDebugKotlin,3892,3833,3769,3687,4443,4526,ms
Task Path,:entity:todo:compileDebugKotlin,3571,3643,3634,3652,3926,4072,ms
Task Path,:entity:note:compileDebugKotlin,4513,4482,4485,4539,5096,4973,ms
Task Path,:data:article:kspDebugKotlin,4193,4198,4208,4221,4586,4575,ms
Task Path,:data:list:kspDebugKotlin,3360,3389,3387,3381,3914,3842,ms
Task Path,:data:map:kspDebugKotlin,3904,3918,3870,3901,4354,4432,ms
Task Path,:data:article:compileDebugKotlin,4597,4537,4551,4479,5265,5148,ms
Task Path,:data:forecast:kspDebugKotlin,4421,4362,4434,4335,4726,4860,ms
Task Path,:data:weather:kspDebugKotlin,4006,3873,3988,3820,4535,4444,ms
Task Path,:api:audio:kspDebugKotlin,3805,3749,3779,3800,4341,4262,ms
Task Path,:data:forecast:compileDebugKotlin,3938,3922,3952,3879,4411,4767,ms
Task Path,:data:map:compileDebugKotlin,4912,4932,4864,4931,5644,5515,ms
Task Path,:data:weather:compileDebugKotlin,4655,4506,4675,4485,5256,5257,ms
Task Path,:api:audio:compileDebugKotlin,2204,2363,2095,2405,2742,2692,ms
Task Path,:data:list:compileDebugKotlin,2395,2432,2431,2394,2689,2925,ms
Task Path,:api:photo:kspDebugKotlin,3558,3489,3555,3490,4196,4045,ms
Task Path,:api:gallery:kspDebugKotlin,3679,3612,3555,3613,4152,3901,ms
Task Path,:api:podcast:kspDebugKotlin,3468,3437,3371,3436,4090,3924,ms
Task Path,:api:photo:compileDebugKotlin,1797,1775,1738,1724,2174,2111,ms
Task Path,:api:media:kspDebugKotlin,3160,3065,3095,3126,3776,3473,ms
Task Path,:api:podcast:compileDebugKotlin,3292,3249,3297,3202,3691,3715,ms
Task Path,:api:gallery:compileDebugKotlin,4023,4013,4015,3993,4322,4513,ms
Task Path,:api:media:compileDebugKotlin,2078,2031,2115,1992,2310,2328,ms
Task Path,:api:video:kspDebugKotlin,3583,3557,3533,3481,4291,4354,ms
Task Path,:api:video:compileDebugKotlin,4069,3829,3979,3823,4708,4240,ms
Task Path,:presentation:checkout-contact:kspDebugKotlin,3012,3070,2953,2984,3701,4021,ms
Task Path,:presentation:contact-contact:kspDebugKotlin,3575,3644,3489,3508,4298,4813,ms
