Category,Metric,varianta_9.0.0-rc1 Mean,variantb_8.14.2 Mean,varianta_9.0.0-rc1 P50,variantb_8.14.2 P50,varianta_9.0.0-rc1 P90,variantb_8.14.2 P90,Unit
Task Path,:layer_0:module_0_16:kspDebugKotlin,4670,4462,4600,4461,5317,4846,ms
Task Path,:layer_0:module_0_13:compileDebugKotlin,3921,3793,3866,3749,4492,4258,ms
Task Path,:layer_0:module_0_15:compileDebugKotlin,7327,6977,7296,6906,8016,7834,ms
Task Path,:layer_0:module_0_17:kspDebugKotlin,4285,4065,4276,4116,4660,4794,ms
Task Path,:layer_0:module_0_16:compileDebugKotlin,7667,7444,7560,7232,8438,8408,ms
Task Path,:layer_0:module_0_14:compileDebugKotlin,8803,8607,8671,8596,9657,9433,ms
Task Path,:layer_0:module_0_17:compileDebugKotlin,2981,3097,2946,3087,3378,3635,ms
Task Path,:layer_0:module_0_19:kspDebugKotlin,3770,3595,3772,3574,4199,4036,ms
Task Path,:layer_0:module_0_18:kspDebugKotlin,4127,3967,4112,3979,4601,4515,ms
Task Path,:layer_0:module_0_2:kspDebugKotlin,3688,3501,3674,3472,4074,3909,ms
Task Path,:layer_0:module_0_19:compileDebugKotlin,2805,2808,2821,2784,3241,3259,ms
Task Path,:layer_0:module_0_2:compileDebugKotlin,2716,2682,2685,2655,3302,3079,ms
Task Path,:layer_0:module_0_18:compileDebugKotlin,4737,4729,4836,4622,5385,5463,ms
Task Path,:layer_0:module_0_20:kspDebugKotlin,5265,5131,5314,5063,5757,5778,ms
Task Path,:layer_0:module_0_21:kspDebugKotlin,3881,3796,3854,3669,4427,4377,ms
Task Path,:layer_0:module_0_23:kspDebugKotlin,3322,3280,3291,3216,3660,3709,ms
Task Path,:layer_0:module_0_22:kspDebugKotlin,3576,3544,3511,3475,4043,3969,ms
Task Path,:layer_0:module_0_20:compileDebugKotlin,6154,5891,6066,5820,7305,6663,ms
Task Path,:layer_0:module_0_23:compileDebugKotlin,2952,2623,2928,2626,3388,3314,ms
Task Path,:layer_0:module_0_22:compileDebugKotlin,4257,3978,4270,4049,4791,4535,ms
Task Path,:layer_0:module_0_21:compileDebugKotlin,5539,5387,5548,5400,6256,5952,ms
Task Path,:layer_0:module_0_24:kspDebugKotlin,4007,4094,3964,4058,4803,4841,ms
Task Path,:layer_0:module_0_25:kspDebugKotlin,3581,3586,3525,3553,3974,4029,ms
Task Path,:layer_0:module_0_26:kspDebugKotlin,3348,3360,3348,3332,3678,3731,ms
Task Path,:layer_0:module_0_27:kspDebugKotlin,3596,3524,3601,3497,3925,3919,ms
Task Path,:layer_0:module_0_25:compileDebugKotlin,2433,2395,2429,2381,2695,2674,ms
Task Path,:layer_0:module_0_24:compileDebugKotlin,5256,5035,5235,5048,5834,5373,ms
Task Path,:layer_0:module_0_26:compileDebugKotlin,4120,3898,4073,3883,4469,4252,ms
Task Path,:layer_0:module_0_27:compileDebugKotlin,4684,4582,4683,4515,5192,5009,ms
Task Path,:layer_0:module_0_28:kspDebugKotlin,3657,3609,3687,3674,4062,4135,ms
Task Path,:layer_0:module_0_29:kspDebugKotlin,3193,3163,3139,3175,3700,3571,ms
Task Path,:layer_0:module_0_3:kspDebugKotlin,3949,3719,3970,3704,4511,4087,ms
Task Path,:layer_0:module_0_28:compileDebugKotlin,4032,3963,3990,3938,4543,4617,ms
Task Path,:layer_0:module_0_29:compileDebugKotlin,2670,2510,2685,2482,3060,3082,ms
Task Path,:layer_0:module_0_30:kspDebugKotlin,4417,4303,4438,4376,4924,4712,ms
Task Path,:layer_0:module_0_3:compileDebugKotlin,4179,4338,4100,4302,4785,5084,ms
Task Path,:layer_0:module_0_30:compileDebugKotlin,3554,3523,3484,3536,4082,4084,ms
Task Path,:layer_0:module_0_31:kspDebugKotlin,3758,3750,3715,3769,4255,4098,ms
Task Path,:layer_0:module_0_32:kspDebugKotlin,3583,3604,3564,3594,3995,4133,ms
Task Path,:layer_0:module_0_33:kspDebugKotlin,3729,3673,3770,3604,4204,4011,ms
Task Path,:layer_0:module_0_34:kspDebugKotlin,3053,3010,3019,3004,3468,3243,ms
Task Path,:layer_0:module_0_32:compileDebugKotlin,3491,3392,3427,3379,4114,3832,ms
Task Path,:layer_0:module_0_31:compileDebugKotlin,4512,4399,4375,4372,5297,4907,ms
Task Path,:layer_0:module_0_34:compileDebugKotlin,1678,1697,1693,1666,2033,2022,ms
Task Path,:layer_0:module_0_33:compileDebugKotlin,4150,4132,3990,4028,4919,4869,ms
Task Path,:layer_0:module_0_35:kspDebugKotlin,3546,3449,3460,3474,4230,3940,ms
Task Path,:layer_0:module_0_36:kspDebugKotlin,3560,3417,3496,3361,4077,3820,ms
Task Path,:layer_0:module_0_37:kspDebugKotlin,3836,3587,3854,3525,4275,4124,ms
Task Path,:layer_0:module_0_38:kspDebugKotlin,3774,3813,3799,3769,4186,4277,ms
Task Path,:layer_0:module_0_35:compileDebugKotlin,2083,1987,2072,1942,2415,2443,ms
Task Path,:layer_0:module_0_36:compileDebugKotlin,3138,3085,3109,3077,3610,3572,ms
Task Path,:layer_0:module_0_37:compileDebugKotlin,4260,4247,4198,4224,4766,4820,ms
Task Path,:layer_0:module_0_38:compileDebugKotlin,4080,4042,4007,3990,4683,4486,ms
Task Path,:layer_0:module_0_39:kspDebugKotlin,3108,3145,3070,3099,3471,3487,ms
Task Path,:layer_0:module_0_4:kspDebugKotlin,3385,3384,3419,3368,3755,3797,ms
Task Path,:layer_0:module_0_39:compileDebugKotlin,1833,1825,1794,1804,2134,2158,ms
Task Path,:layer_0:module_0_4:compileDebugKotlin,2470,2442,2425,2425,2948,2863,ms
Task Path,:layer_0:module_0_41:kspDebugKotlin,3002,2927,2927,2927,3543,3332,ms
Task Path,:layer_0:module_0_40:kspDebugKotlin,3476,3432,3508,3462,3867,3871,ms
Task Path,:layer_0:module_0_42:kspDebugKotlin,3010,2907,2943,2880,3382,3254,ms
Task Path,:layer_0:module_0_40:compileDebugKotlin,1627,1609,1611,1601,1915,1815,ms
Task Path,:layer_0:module_0_41:compileDebugKotlin,2115,2075,2120,2024,2313,2531,ms
Task Path,:layer_0:module_0_42:compileDebugKotlin,1980,1998,1947,1951,2254,2254,ms
Task Path,:layer_0:module_0_43:kspDebugKotlin,3248,3225,3257,3174,3790,3614,ms
Task Path,:layer_0:module_0_44:kspDebugKotlin,3337,3165,3396,3136,3878,3576,ms
Task Path,:layer_0:module_0_43:compileDebugKotlin,3506,3419,3482,3354,4028,3943,ms
Task Path,:layer_0:module_0_46:kspDebugKotlin,3445,3400,3402,3416,3957,3745,ms
Task Path,:layer_0:module_0_45:kspDebugKotlin,3857,3808,3858,3815,4396,4335,ms
Task Path,:layer_0:module_0_44:compileDebugKotlin,2437,2475,2434,2471,2962,2988,ms
Task Path,:layer_0:module_0_45:compileDebugKotlin,2423,2350,2365,2310,2958,2727,ms
Task Path,:layer_0:module_0_46:compileDebugKotlin,2892,2899,2829,2808,3400,3485,ms
Task Path,:layer_0:module_0_47:kspDebugKotlin,3194,3172,3143,3156,3671,3490,ms
Task Path,:layer_0:module_0_48:kspDebugKotlin,3208,3229,3197,3248,3550,3566,ms
Task Path,:layer_0:module_0_47:compileDebugKotlin,2713,2711,2679,2656,3054,3177,ms
Task Path,:layer_0:module_0_48:compileDebugKotlin,2452,2394,2417,2363,2796,2704,ms
Task Path,:layer_0:module_0_49:kspDebugKotlin,3316,3334,3277,3334,3785,3645,ms
Task Path,:layer_0:module_0_5:kspDebugKotlin,3823,3667,3788,3650,4338,4005,ms
Task Path,:layer_0:module_0_49:compileDebugKotlin,3337,3299,3290,3211,3915,4082,ms
Task Path,:layer_0:module_0_5:compileDebugKotlin,3179,3163,3172,3109,3650,3661,ms
Task Path,:layer_0:module_0_50:kspDebugKotlin,3495,3467,3488,3393,3975,3933,ms
Task Path,:layer_0:module_0_51:kspDebugKotlin,3306,3288,3283,3272,3826,3695,ms
Task Path,:layer_0:module_0_50:compileDebugKotlin,1766,1709,1801,1633,2071,2150,ms
Task Path,:layer_0:module_0_51:compileDebugKotlin,3214,3288,3162,3293,3671,3646,ms
Task Path,:layer_0:module_0_53:kspDebugKotlin,3456,3507,3406,3453,3939,4114,ms
Task Path,:layer_0:module_0_52:kspDebugKotlin,3627,3619,3577,3538,4190,4189,ms
Task Path,:layer_0:module_0_54:kspDebugKotlin,2995,3065,2991,2990,3389,3668,ms
Task Path,:layer_0:module_0_54:compileDebugKotlin,1872,1843,1858,1777,2115,2174,ms
Task Path,:layer_0:module_0_55:kspDebugKotlin,3443,3510,3412,3461,3860,4273,ms
Task Path,:layer_0:module_0_53:compileDebugKotlin,3379,3400,3376,3324,3822,3894,ms
Task Path,:layer_0:module_0_52:compileDebugKotlin,3622,3628,3598,3591,4051,4115,ms
Task Path,:layer_0:module_0_55:compileDebugKotlin,2078,2010,2013,1931,2444,2420,ms
Task Path,:layer_0:module_0_56:kspDebugKotlin,3234,3244,3206,3151,3644,3740,ms
Task Path,:layer_0:module_0_57:kspDebugKotlin,3224,3243,3126,3188,3927,3839,ms
Task Path,:layer_0:module_0_56:compileDebugKotlin,3289,3426,3204,3222,3932,4379,ms
Task Path,:layer_0:module_0_59:kspDebugKotlin,2978,2959,2910,2865,3433,3404,ms
Task Path,:layer_0:module_0_58:kspDebugKotlin,3329,3413,3276,3323,3719,3859,ms
Task Path,:layer_0:module_0_57:compileDebugKotlin,3191,3222,3197,3085,3702,3860,ms
Task Path,:layer_0:module_0_59:compileDebugKotlin,1682,1598,1637,1533,2198,2097,ms
Task Path,:layer_0:module_0_6:kspDebugKotlin,2714,2613,2635,2663,3471,3250,ms
Task Path,:layer_0:module_0_58:compileDebugKotlin,3658,3544,3674,3542,4109,4160,ms
Task Path,:layer_0:module_0_6:compileDebugKotlin,1968,1983,1950,1908,2398,2391,ms
Task Path,:layer_0:module_0_60:kspDebugKotlin,3275,3295,3245,3228,3794,3801,ms
Task Path,:layer_0:module_0_61:kspDebugKotlin,3137,3115,3110,3061,3568,3637,ms
Task Path,:layer_0:module_0_62:kspDebugKotlin,2958,2934,2963,2876,3341,3458,ms
Task Path,:layer_0:module_0_60:compileDebugKotlin,2015,2020,1967,2002,2434,2312,ms
Task Path,:layer_0:module_0_61:compileDebugKotlin,3153,3067,3100,3020,3628,3446,ms
Task Path,:layer_0:module_0_62:compileDebugKotlin,2368,2250,2303,2235,2974,2581,ms
Task Path,:layer_0:module_0_63:kspDebugKotlin,3102,3006,3130,3139,3839,3638,ms
Task Path,:layer_0:module_0_64:kspDebugKotlin,2901,2863,2869,2821,3322,3225,ms
Task Path,:layer_0:module_0_63:compileDebugKotlin,2675,2666,2604,2617,3142,3361,ms
Task Path,:layer_0:module_0_64:compileDebugKotlin,2122,2115,2074,2096,2513,2574,ms
Task Path,:layer_0:module_0_66:kspDebugKotlin,3080,3097,2961,3013,3596,3647,ms
Task Path,:layer_0:module_0_65:kspDebugKotlin,3189,3158,3124,3059,3729,3801,ms
Task Path,:layer_0:module_0_65:compileDebugKotlin,1633,1704,1603,1671,1898,1989,ms
Task Path,:layer_0:module_0_66:compileDebugKotlin,2804,2751,2780,2685,3219,3270,ms
Task Path,:layer_0:module_0_67:kspDebugKotlin,3012,2834,2994,2842,3551,3451,ms
Task Path,:layer_0:module_0_68:kspDebugKotlin,3359,3224,3294,3205,3895,3739,ms
Task Path,:layer_0:module_0_69:kspDebugKotlin,3321,3274,3255,3203,3893,3951,ms
Task Path,:layer_0:module_0_67:compileDebugKotlin,2208,2183,2154,2113,2640,2747,ms
Task Path,:layer_0:module_0_68:compileDebugKotlin,2796,2883,2726,2805,3189,3494,ms
Task Path,:layer_0:module_0_7:kspDebugKotlin,3123,3145,3085,3075,3570,3854,ms
Task Path,:layer_0:module_0_69:compileDebugKotlin,3164,3265,3151,3201,3554,3692,ms
Task Path,:layer_0:module_0_7:compileDebugKotlin,2470,2497,2467,2475,2878,2878,ms
Task Path,:layer_0:module_0_70:kspDebugKotlin,3307,3315,3363,3320,3734,3963,ms
Task Path,:layer_0:module_0_8:kspDebugKotlin,2969,2942,3035,2976,3453,3547,ms
Task Path,:layer_0:module_0_70:compileDebugKotlin,1734,1712,1756,1616,2022,2155,ms
Task Path,:layer_0:module_0_8:compileDebugKotlin,2800,2772,2646,2836,3573,3440,ms
Task Path,:layer_0:module_0_9:kspDebugKotlin,3164,3153,3156,3173,3651,3640,ms
Task Path,:layer_0:module_0_9:compileDebugKotlin,3956,3869,3952,3865,4674,4355,ms
Task Path,:layer_1:module_1_100:kspDebugKotlin,3998,4156,3979,4222,4466,4753,ms
Task Path,:layer_1:module_1_100:compileDebugKotlin,2686,2575,2621,2484,3255,3031,ms
Task Path,:layer_1:module_1_101:kspDebugKotlin,3797,3687,3829,3601,4525,4268,ms
Task Path,:layer_1:module_1_102:kspDebugKotlin,4065,3982,4006,3937,4999,4895,ms
Task Path,:layer_1:module_1_101:compileDebugKotlin,3814,3777,3828,3762,4645,4383,ms
Task Path,:layer_1:module_1_103:kspDebugKotlin,3956,3909,3822,3864,4766,4432,ms
Task Path,:layer_1:module_1_102:compileDebugKotlin,3509,3710,3432,3743,4157,4379,ms
Task Path,:layer_1:module_1_104:kspDebugKotlin,3839,4008,3831,3890,4378,4748,ms
Task Path,:layer_1:module_1_104:compileDebugKotlin,2118,2081,2145,2094,2365,2505,ms
Task Path,:layer_1:module_1_103:compileDebugKotlin,1985,2068,1980,2060,2324,2546,ms
Task Path,:layer_1:module_1_105:kspDebugKotlin,4676,4758,4632,4722,5373,5383,ms
Task Path,:layer_1:module_1_106:kspDebugKotlin,4017,4067,3986,4069,4636,4840,ms
Task Path,:layer_1:module_1_107:kspDebugKotlin,4291,4285,4191,4256,5192,4952,ms
Task Path,:layer_1:module_1_106:compileDebugKotlin,3365,3446,3225,3399,4240,4239,ms
Task Path,:layer_1:module_1_105:compileDebugKotlin,4345,4292,4210,4215,5430,5248,ms
Task Path,:layer_1:module_1_108:kspDebugKotlin,4265,4269,4153,4217,5079,4862,ms
Task Path,:layer_1:module_1_107:compileDebugKotlin,4576,4591,4494,4636,5494,5375,ms
Task Path,:layer_1:module_1_109:kspDebugKotlin,3715,3668,3679,3736,4509,4077,ms
Task Path,:layer_1:module_1_108:compileDebugKotlin,4231,4298,4142,4317,4911,4773,ms
Task Path,:layer_1:module_1_110:kspDebugKotlin,4345,4299,4269,4274,5122,4975,ms
Task Path,:layer_1:module_1_111:kspDebugKotlin,4020,4048,3902,3966,4766,4516,ms
Task Path,:layer_1:module_1_109:compileDebugKotlin,2979,2990,2912,3039,3662,3466,ms
Task Path,:layer_1:module_1_110:compileDebugKotlin,3295,3282,3238,3218,4098,3998,ms
Task Path,:layer_1:module_1_112:kspDebugKotlin,4286,4246,4237,4178,5090,4869,ms
Task Path,:layer_1:module_1_111:compileDebugKotlin,4157,4101,4098,4166,4876,4768,ms
Task Path,:layer_1:module_1_113:kspDebugKotlin,3647,3618,3611,3646,4171,4083,ms
Task Path,:layer_1:module_1_112:compileDebugKotlin,4214,4189,4194,4132,5090,4987,ms
Task Path,:layer_1:module_1_114:kspDebugKotlin,3614,3753,3567,3812,4109,4232,ms
Task Path,:layer_1:module_1_115:kspDebugKotlin,3941,3990,3959,3987,4475,4488,ms
Task Path,:layer_1:module_1_113:compileDebugKotlin,2335,2364,2338,2334,2725,2779,ms
Task Path,:layer_1:module_1_116:kspDebugKotlin,3549,3530,3518,3508,4138,4148,ms
Task Path,:layer_1:module_1_114:compileDebugKotlin,3468,3531,3466,3406,4139,4144,ms
Task Path,:layer_1:module_1_115:compileDebugKotlin,2768,2848,2793,2828,3351,3290,ms
Task Path,:layer_1:module_1_116:compileDebugKotlin,2169,2237,2128,2167,2657,2734,ms
Task Path,:layer_1:module_1_117:kspDebugKotlin,3176,3236,3111,3233,3877,3708,ms
Task Path,:layer_1:module_1_117:compileDebugKotlin,1878,2022,1800,2010,2211,2534,ms
Task Path,:layer_1:module_1_118:kspDebugKotlin,2894,2890,2794,2816,3488,3801,ms
Task Path,:layer_1:module_1_119:kspDebugKotlin,2877,2876,2814,2805,3473,3758,ms
Task Path,:layer_1:module_1_120:kspDebugKotlin,3717,3789,3664,3681,4397,4540,ms
Task Path,:layer_1:module_1_119:compileDebugKotlin,1603,1599,1519,1545,1970,2027,ms
Task Path,:layer_1:module_1_118:compileDebugKotlin,2177,2176,2155,2110,2608,2673,ms
Task Path,:layer_1:module_1_121:kspDebugKotlin,2904,2953,2760,2918,3428,3376,ms
Task Path,:layer_1:module_1_120:compileDebugKotlin,2872,2933,2800,2898,3492,3648,ms
Task Path,:layer_1:module_1_121:compileDebugKotlin,1725,1770,1719,1682,1992,2141,ms
Task Path,:layer_1:module_1_123:kspDebugKotlin,2889,3040,2901,3057,3498,3724,ms
Task Path,:layer_1:module_1_122:kspDebugKotlin,3060,3150,3065,3169,3715,3772,ms
Task Path,:layer_1:module_1_123:compileDebugKotlin,2110,2184,2028,2061,2646,2598,ms
Task Path,:layer_1:module_1_124:kspDebugKotlin,3092,3195,3049,3175,3637,3708,ms
Task Path,:layer_1:module_1_125:kspDebugKotlin,3202,3234,3142,3204,3804,3731,ms
Task Path,:layer_1:module_1_122:compileDebugKotlin,2929,2988,2837,2892,3389,3595,ms
Task Path,:layer_1:module_1_124:compileDebugKotlin,1929,1921,1859,1892,2346,2173,ms
Task Path,:layer_1:module_1_125:compileDebugKotlin,1673,1603,1600,1594,2105,1967,ms
Task Path,:layer_1:module_1_126:kspDebugKotlin,2766,2825,2760,2800,3343,3532,ms
Task Path,:layer_1:module_1_127:kspDebugKotlin,2831,2730,2705,2740,3554,3319,ms
Task Path,:layer_1:module_1_127:compileDebugKotlin,1755,1720,1663,1605,2154,2214,ms
Task Path,:layer_1:module_1_126:compileDebugKotlin,2725,2586,2602,2527,3329,3075,ms
Task Path,:layer_1:module_1_129:kspDebugKotlin,2915,2821,2903,2743,3450,3488,ms
Task Path,:layer_1:module_1_128:kspDebugKotlin,3359,3173,3272,3162,4083,3722,ms
Task Path,:layer_1:module_1_129:compileDebugKotlin,1482,1476,1465,1412,1852,1906,ms
Task Path,:layer_1:module_1_128:compileDebugKotlin,1947,1910,1855,1855,2463,2312,ms
Task Path,:layer_1:module_1_131:kspDebugKotlin,2870,2796,2852,2780,3424,3317,ms
Task Path,:layer_1:module_1_130:kspDebugKotlin,3107,3037,3079,3163,3897,3807,ms
Task Path,:layer_1:module_1_131:compileDebugKotlin,2606,2518,2557,2467,3082,2873,ms
Task Path,:layer_1:module_1_133:kspDebugKotlin,3164,3143,3101,3121,3651,3642,ms
Task Path,:layer_1:module_1_132:kspDebugKotlin,3328,3251,3207,3236,3953,3865,ms
Task Path,:layer_1:module_1_130:compileDebugKotlin,2772,2682,2690,2607,3178,3331,ms
Task Path,:layer_1:module_1_133:compileDebugKotlin,3028,3066,2959,3026,3658,3488,ms
Task Path,:layer_1:module_1_132:compileDebugKotlin,3037,3029,3037,2962,3465,3540,ms
Task Path,:layer_1:module_1_134:kspDebugKotlin,2718,2836,2840,2992,3395,3501,ms
Task Path,:layer_1:module_1_135:kspDebugKotlin,3085,2988,2971,2983,3755,3682,ms
Task Path,:layer_1:module_1_135:compileDebugKotlin,2072,1934,1901,1901,2655,2309,ms
Task Path,:layer_1:module_1_134:compileDebugKotlin,2371,2144,2248,2100,3003,2543,ms
Task Path,:layer_1:module_1_137:kspDebugKotlin,2732,2592,2612,2534,3426,3198,ms
