Category,Metric,varianta_2.2.21 Mean,variantb_2.3.0 Mean,varianta_2.2.21 P50,variantb_2.3.0 P50,varianta_2.2.21 P90,variantb_2.3.0 P90,Unit
Task Path,:core:setting:compileDebugKotlin,3472,3532,3490,3452,3902,4161,ms
Task Path,:core:status:kspDebugKotlin,4233,4333,4166,4254,5255,5217,ms
Task Path,:core:sync:kspDebugKotlin,5602,5659,5668,5646,6315,6480,ms
Task Path,:core:status:compileDebugKotlin,2643,2519,2608,2487,3013,2944,ms
Task Path,:core:task:kspDebugKotlin,4834,4797,4849,4819,5470,5451,ms
Task Path,:core:timer:kspDebugKotlin,5055,5087,5067,5128,5765,5671,ms
Task Path,:core:sync:compileDebugKotlin,5033,5137,5051,5118,5775,6039,ms
Task Path,:core:task:compileDebugKotlin,3862,3912,3845,3874,4359,4588,ms
Task Path,:core:timer:compileDebugKotlin,3901,3928,3841,3837,4564,4468,ms
Task Path,:core:user:kspDebugKotlin,5425,5466,5471,5410,6212,6299,ms
Task Path,:core:user:compileDebugKotlin,5023,5215,4920,5034,5810,6331,ms
Task Path,:feature:article:kspDebugKotlin,3902,3814,3941,3758,4521,4500,ms
Task Path,:feature:comment-contact:kspDebugKotlin,4121,4114,4080,4040,4741,4818,ms
Task Path,:feature:list:kspDebugKotlin,4439,4497,4412,4444,4994,5207,ms
Task Path,:feature:article:compileDebugKotlin,2302,2446,2186,2375,2993,2928,ms
Task Path,:feature:comment-contact:compileDebugKotlin,3056,2990,3058,2980,3735,3564,ms
Task Path,:feature:audio:kspDebugKotlin,4207,4087,4145,4157,4901,4893,ms
Task Path,:feature:checkout-contact:kspDebugKotlin,4126,4123,4091,4117,4998,4766,ms
Task Path,:feature:audio:compileDebugKotlin,2360,2301,2231,2201,2878,2891,ms
Task Path,:feature:checkout-contact:compileDebugKotlin,2344,2365,2287,2331,2712,2785,ms
Task Path,:feature:contact-contact:kspDebugKotlin,4681,4634,4665,4606,5588,5445,ms
Task Path,:feature:feed-contact:kspDebugKotlin,4683,4622,4653,4494,5357,5323,ms
Task Path,:feature:list:compileDebugKotlin,3394,3350,3358,3304,4001,3921,ms
Task Path,:feature:contact-contact:compileDebugKotlin,4136,4174,4131,4019,4624,4843,ms
Task Path,:feature:location-contact:kspDebugKotlin,5124,4997,4998,4886,5783,6021,ms
Task Path,:feature:feed-contact:compileDebugKotlin,4165,4158,4111,4039,4729,4773,ms
Task Path,:feature:map:kspDebugKotlin,4966,4776,4835,4755,5804,5323,ms
Task Path,:feature:map:compileDebugKotlin,4524,4594,4434,4588,5193,5367,ms
Task Path,:feature:news:kspDebugKotlin,4356,4264,4284,4213,5027,4902,ms
Task Path,:feature:media:kspDebugKotlin,4875,4794,4781,4760,5706,5686,ms
Task Path,:feature:location-contact:compileDebugKotlin,5135,5015,5031,4927,5895,5607,ms
Task Path,:feature:news:compileDebugKotlin,2588,2749,2581,2723,3027,3298,ms
Task Path,:feature:media:compileDebugKotlin,3867,3928,3863,3956,4493,4449,ms
Task Path,:feature:note:kspDebugKotlin,4428,4257,4384,4153,5042,5231,ms
Task Path,:feature:playlist:kspDebugKotlin,4378,4283,4419,4141,4931,5090,ms
Task Path,:feature:note:compileDebugKotlin,2025,2023,2001,2016,2427,2373,ms
Task Path,:feature:podcast:kspDebugKotlin,3881,3850,3844,3785,4372,4410,ms
Task Path,:feature:playlist:compileDebugKotlin,4226,4189,4096,4173,4856,4732,ms
Task Path,:feature:podcast:compileDebugKotlin,2483,2511,2476,2460,2922,2855,ms
Task Path,:feature:post-contact:kspDebugKotlin,5861,5762,5778,5716,6788,6457,ms
Task Path,:feature:profile-contact:kspDebugKotlin,4014,3971,3988,3935,4618,4571,ms
Task Path,:feature:profile-contact:compileDebugKotlin,2326,2381,2279,2314,2891,2885,ms
Task Path,:feature:push-contact:kspDebugKotlin,4925,4817,5022,4735,5604,5624,ms
Task Path,:feature:search-contact:kspDebugKotlin,4661,4580,4659,4607,5315,5239,ms
Task Path,:feature:post-contact:compileDebugKotlin,4235,4220,4143,4227,4794,5014,ms
Task Path,:feature:push-contact:compileDebugKotlin,3352,3451,3364,3402,3806,3910,ms
Task Path,:feature:share-contact:kspDebugKotlin,4878,4834,4814,4771,5512,5574,ms
Task Path,:feature:search-contact:compileDebugKotlin,4234,4224,4212,4263,4870,4726,ms
Task Path,:feature:share-contact:compileDebugKotlin,3103,3228,3046,3137,3605,3732,ms
Task Path,:feature:user-contact:kspDebugKotlin,5156,5050,5209,5039,5803,6011,ms
Task Path,:feature:weather:kspDebugKotlin,4340,4113,4271,4027,5061,4895,ms
Task Path,:domain:alarm-contact:kspDebugKotlin,4809,4773,4718,4779,5677,5462,ms
Task Path,:feature:weather:compileDebugKotlin,3869,3582,3976,3494,4431,4232,ms
Task Path,:feature:user-contact:compileDebugKotlin,4715,4832,4714,4804,5411,5300,ms
Task Path,:domain:alarm-contact:compileDebugKotlin,2530,2533,2483,2498,2938,2939,ms
Task Path,:feature:cart-contact:kspDebugKotlin,5270,5244,5244,5258,5961,6001,ms
Task Path,:domain:account-contact:kspDebugKotlin,4544,4439,4468,4413,5133,5322,ms
Task Path,:feature:cart-contact:compileDebugKotlin,4217,4193,4132,4124,4743,4823,ms
Task Path,:feature:gallery:kspDebugKotlin,3681,3652,3597,3581,4285,4323,ms
Task Path,:feature:forecast:kspDebugKotlin,4801,4791,4800,4809,5301,5576,ms
Task Path,:domain:account-contact:compileDebugKotlin,2410,2468,2384,2400,2792,2909,ms
Task Path,:feature:forecast:compileDebugKotlin,2446,2435,2431,2422,2867,2812,ms
Task Path,:feature:gallery:compileDebugKotlin,1862,1917,1849,1862,2207,2214,ms
Task Path,:feature:group-contact:kspDebugKotlin,3820,3654,3752,3519,4585,4335,ms
Task Path,:feature:identity-contact:kspDebugKotlin,3612,3555,3500,3406,4223,4147,ms
Task Path,:feature:login-contact:kspDebugKotlin,4023,3973,3930,3910,4568,4511,ms
Task Path,:feature:group-contact:compileDebugKotlin,2509,2540,2470,2502,2945,2965,ms
Task Path,:feature:identity-contact:compileDebugKotlin,2427,2389,2450,2364,2689,2750,ms
Task Path,:feature:message-contact:kspDebugKotlin,4242,4217,4218,4191,4810,4737,ms
Task Path,:feature:login-contact:compileDebugKotlin,3111,3125,3092,3098,3513,3580,ms
Task Path,:feature:message-contact:compileDebugKotlin,3811,3754,3734,3653,4399,4549,ms
Task Path,:feature:network-contact:kspDebugKotlin,4097,4039,4041,4006,4558,4574,ms
Task Path,:feature:sync-contact:kspDebugKotlin,3987,3934,4026,3946,4575,4441,ms
Task Path,:feature:photo:kspDebugKotlin,4543,4379,4480,4334,5083,4950,ms
Task Path,:feature:network-contact:compileDebugKotlin,3425,3488,3412,3443,3939,4013,ms
Task Path,:feature:sync-contact:compileDebugKotlin,2279,2347,2232,2316,2673,2733,ms
Task Path,:feature:todo:kspDebugKotlin,4239,4191,4080,4149,5107,4730,ms
Task Path,:feature:photo:compileDebugKotlin,2700,2749,2641,2733,3194,3108,ms
Task Path,:domain:article-contact:kspDebugKotlin,3615,3660,3592,3576,4046,4328,ms
Task Path,:feature:todo:compileDebugKotlin,3133,3093,3118,3113,3460,3635,ms
Task Path,:feature:notification-contact:kspDebugKotlin,3988,4013,3899,3971,4597,4554,ms
Task Path,:domain:article-contact:compileDebugKotlin,2343,2360,2387,2375,2690,2702,ms
Task Path,:feature:video:kspDebugKotlin,4258,4276,4262,4125,4875,5125,ms
Task Path,:feature:notification-contact:compileDebugKotlin,2670,2697,2650,2655,3081,3165,ms
Task Path,:domain:analytics-contact:kspDebugKotlin,4507,4440,4434,4382,5308,5048,ms
Task Path,:feature:video:compileDebugKotlin,3370,3458,3317,3424,3750,3931,ms
Task Path,:domain:contact-login:kspDebugKotlin,5246,5190,5133,5166,6297,6146,ms
Task Path,:domain:analytics-contact:compileDebugKotlin,3352,3322,3356,3352,3699,3694,ms
Task Path,:domain:document-contact:kspDebugKotlin,3684,3684,3650,3614,4181,4417,ms
Task Path,:domain:audio-contact:kspDebugKotlin,4685,4661,4715,4542,5183,5590,ms
Task Path,:domain:document-contact:compileDebugKotlin,2205,2233,2157,2156,2638,2790,ms
Task Path,:domain:calendar-contact:kspDebugKotlin,4294,4265,4418,4124,4679,5125,ms
Task Path,:domain:contact-login:compileDebugKotlin,3551,3578,3566,3519,3979,4253,ms
Task Path,:domain:calendar-contact:compileDebugKotlin,3941,3921,3893,3942,4587,4257,ms
Task Path,:domain:audio-contact:compileDebugKotlin,4743,4610,4808,4588,5413,5149,ms
Task Path,:domain:event-contact:kspDebugKotlin,4329,4155,4317,4083,4970,4711,ms
Task Path,:domain:file-contact:kspDebugKotlin,4110,4062,4093,3928,4600,4717,ms
Task Path,:domain:event-contact:compileDebugKotlin,4439,4275,4335,4378,5057,5052,ms
Task Path,:domain:forecast-contact:kspDebugKotlin,3963,4040,3902,3924,4726,4921,ms
Task Path,:domain:file-contact:compileDebugKotlin,3876,3799,3758,3807,4574,4448,ms
Task Path,:domain:gallery-contact:kspDebugKotlin,5094,5011,5003,4961,5998,5679,ms
Task Path,:domain:forecast-contact:compileDebugKotlin,3215,3139,3190,3077,3825,3542,ms
Task Path,:domain:identity-login:kspDebugKotlin,3873,3813,3790,3787,4425,4425,ms
Task Path,:domain:gallery-contact:compileDebugKotlin,4120,4010,4169,3995,4670,4530,ms
Task Path,:domain:list-contact:kspDebugKotlin,4165,4077,4106,4052,4804,4604,ms
Task Path,:domain:identity-login:compileDebugKotlin,3056,2991,3018,2962,3586,3508,ms
Task Path,:domain:log-contact:kspDebugKotlin,4125,3929,4080,3961,4837,4311,ms
Task Path,:domain:list-contact:compileDebugKotlin,3707,3666,3677,3578,4266,4230,ms
Task Path,:domain:login-login:kspDebugKotlin,3912,3887,3752,3879,4667,4337,ms
Task Path,:domain:log-contact:compileDebugKotlin,3445,3489,3400,3481,3956,3968,ms
Task Path,:domain:map-contact:kspDebugKotlin,3748,3708,3718,3745,4465,4396,ms
Task Path,:domain:login-login:compileDebugKotlin,3026,3046,2910,2997,3684,3592,ms
Task Path,:domain:media-contact:kspDebugKotlin,3725,3792,3676,3751,4286,4456,ms
Task Path,:domain:map-contact:compileDebugKotlin,2645,2641,2658,2565,3019,3053,ms
