Category,Metric,varianta_8.14.2 Mean,variantb_9.0.0-rc3 Mean,varianta_8.14.2 P50,variantb_9.0.0-rc3 P50,varianta_8.14.2 P90,variantb_9.0.0-rc3 P90,Unit
Build,Build time,878069,877819,868872,873423,925893,909777,ms
Build,Configuration time,69899,67530,68942,67015,74564,70603,ms
Gradle process state,Gradle-Process-gcTime,0.37,0.37,0.37,0.37,0.39,0.37,
Kotlin process state,Kotlin-Process-gcTime,0.96,0.93,0.96,0.93,1.01,0.98,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2549,2526,2253,2224,3698,3621,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3217,3252,3113,3111,4109,4104,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2627,2737,2612,2717,2905,3098,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,1819,1888,1821,1849,2181,2144,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4364,4359,5733,5909,6965,7087,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1875,1719,1823,1701,2265,2025,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1887,2019,1972,2016,2907,3292,ms
Task Path,:build-logic:convention:compileKotlin,6470,6266,6388,6233,6870,6502,ms
Task Path,:layer_0:module_0_12:kspDebugKotlin,5241,8518,5135,8434,5651,9091,ms
Task Path,:layer_0:module_0_1:kspDebugKotlin,7373,10649,7270,10494,8109,11477,ms
Task Path,:layer_0:module_0_10:kspDebugKotlin,6569,9808,6462,9688,7132,10570,ms
Task Path,:layer_0:module_0_11:kspDebugKotlin,5954,8963,5865,8855,6447,9553,ms
Task Path,:layer_0:module_0_10:compileDebugKotlin,12676,14370,12578,14288,13316,14861,ms
Task Path,:layer_0:module_0_12:compileDebugKotlin,12971,14312,12901,14180,13802,15046,ms
Task Path,:layer_0:module_0_11:compileDebugKotlin,13739,14501,13552,14439,14584,15013,ms
Task Path,:layer_0:module_0_1:compileDebugKotlin,13801,14610,13645,14533,14704,15311,ms
Task Path,:layer_0:module_0_1:compileDebugJavaWithJavac,1684,1708,1674,1688,1877,1876,ms
Task Path,:layer_0:module_0_13:kspDebugKotlin,3888,4016,3815,3957,4304,4478,ms
Task Path,:layer_0:module_0_14:kspDebugKotlin,4385,4577,4331,4513,4710,5053,ms
Task Path,:layer_0:module_0_16:kspDebugKotlin,4505,4777,4429,4740,4887,5307,ms
Task Path,:layer_0:module_0_15:kspDebugKotlin,4893,5057,4817,5031,5278,5462,ms
Task Path,:layer_0:module_0_13:compileDebugKotlin,3779,4007,3727,3950,4173,4430,ms
Task Path,:layer_0:module_0_15:compileDebugKotlin,6985,7319,6803,7271,7771,7998,ms
Task Path,:layer_0:module_0_16:compileDebugKotlin,7455,7692,7460,7669,8292,8261,ms
Task Path,:layer_0:module_0_17:kspDebugKotlin,4093,4195,4159,4219,4707,4679,ms
Task Path,:layer_0:module_0_14:compileDebugKotlin,8655,8896,8616,8759,9528,9538,ms
Task Path,:layer_0:module_0_17:compileDebugKotlin,3087,3118,3085,3110,3385,3480,ms
Task Path,:layer_0:module_0_19:kspDebugKotlin,3667,3669,3640,3674,4066,4046,ms
Task Path,:layer_0:module_0_18:kspDebugKotlin,4108,4092,4093,4130,4521,4454,ms
Task Path,:layer_0:module_0_2:kspDebugKotlin,3613,3649,3677,3631,4087,3999,ms
Task Path,:layer_0:module_0_19:compileDebugKotlin,2871,2841,2854,2832,3299,3218,ms
Task Path,:layer_0:module_0_2:compileDebugKotlin,2732,2688,2716,2665,3154,3179,ms
Task Path,:layer_0:module_0_20:kspDebugKotlin,5156,5095,5128,5073,5746,5454,ms
Task Path,:layer_0:module_0_18:compileDebugKotlin,4772,4741,4835,4754,5413,5383,ms
