Category,Metric,varianta_baseline Mean,variantb_agp-9.3.2 Mean,varianta_baseline P50,variantb_agp-9.3.2 P50,varianta_baseline P90,variantb_agp-9.3.2 P90,Unit
Build,Build time,249035,258145,261683,264440,275332,285716,ms
Build,Configuration time,44078,47059,45953,45000,49068,60622,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,4,5,4,5,7,9,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,30,30,26,27,43,54,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,49,54,47,47,76,95,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3311,3377,2924,2947,4941,5002,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,590,610,414,426,702,723,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,43,40,41,41,63,46,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,6,6,6,5,11,11,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,41,46,16,17,30,31,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,12,12,10,10,19,19,ms
Task Type,com.android.build.gradle.tasks.MergeResources,97,102,32,34,57,60,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,12,12,9,9,17,18,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,101,110,26,27,49,50,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,25,25,21,22,40,41,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,2399,2470,2119,2174,3278,3329,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,97,102,84,88,152,161,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,18,19,16,16,28,29,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,12,13,7,8,15,15,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,19,28,15,18,23,45,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,17,19,15,17,27,30,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,8,9,8,8,18,18,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,45,48,43,45,68,71,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,309,382,297,377,462,556,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsGeneratorTask,5461,5788,5742,5757,6437,6937,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,40,43,12,12,21,22,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,6853,7139,1363,1280,20109,20899,ms
Task Type,dagger.hilt.android.plugin.task.HiltCollectClassesTask,0,0,0,0,1,0,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,21,22,7,6,15,14,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,761,857,764,866,1100,1284,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,7,7,6,7,12,12,ms
Task Type,com.android.build.gradle.tasks.CompileNavigationXmlTask,46,59,39,40,87,157,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,42,45,34,36,55,61,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,17,21,17,18,27,33,ms
