Category,Metric,varianta_gradle_9_2_0 Mean,variantb_gradle_9_2_1 Mean,varianta_gradle_9_2_0 P50,variantb_gradle_9_2_1 P50,varianta_gradle_9_2_0 P90,variantb_gradle_9_2_1 P90,Unit
Build,Build time,532014,535048,527178,532912,551269,571194,ms
Build,Configuration time,64141,64557,62350,63968,76219,71898,ms
Gradle process state,Gradle-Process-gcTime,0.21,0.21,0.21,0.21,0.23,0.23,
Kotlin process state,Kotlin-Process-gcTime,0.49,0.49,0.49,0.49,0.53,0.52,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,1567,1581,1355,1370,2196,2223,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,2692,2709,2567,2590,3470,3474,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2137,2127,2108,2107,2400,2291,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,3909,4038,2228,2221,9282,9571,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1087,1178,1030,1173,1330,1420,ms
Task Path,:build-logic:convention:compileKotlin,6777,6923,6744,6905,7139,7334,ms
Task Path,:api:account-checkout:parseDebugLocalResources,1570,1510,1231,1253,2968,2579,ms
Task Path,:core:analytics:kspDebugKotlin,6312,6291,6102,6164,7334,7038,ms
Task Path,:core:account:kspDebugKotlin,6949,6940,6736,6779,8015,7717,ms
Task Path,:core:cart:kspDebugKotlin,5573,5555,5374,5386,6342,6310,ms
Task Path,:core:calendar:kspDebugKotlin,5911,5888,5698,5754,6826,6671,ms
Task Path,:core:cart:compileDebugKotlin,5268,5268,5224,5275,5752,5490,ms
Task Path,:core:account:compileDebugKotlin,5405,5370,5333,5384,5920,5603,ms
Task Path,:core:calendar:compileDebugKotlin,5361,5313,5277,5344,5925,5684,ms
Task Path,:core:analytics:compileDebugKotlin,5365,5346,5300,5306,5870,5669,ms
Task Path,:core:checkout:kspDebugKotlin,4681,4738,4635,4796,5374,5359,ms
Task Path,:core:comment:kspDebugKotlin,4187,4196,4199,4118,4718,4767,ms
Task Path,:core:contact:kspDebugKotlin,3970,3993,3994,3943,4426,4507,ms
Task Path,:core:event:kspDebugKotlin,3846,3937,3807,3880,4262,4463,ms
Task Path,:core:checkout:compileDebugKotlin,3824,3955,3816,3967,4312,4528,ms
Task Path,:core:contact:compileDebugKotlin,3674,3820,3654,3808,3963,4303,ms
Task Path,:core:comment:compileDebugKotlin,3701,3803,3683,3834,4051,4251,ms
Task Path,:core:event:compileDebugKotlin,3762,3766,3745,3743,4112,4202,ms
Task Path,:core:feed:kspDebugKotlin,3999,4010,4017,4006,4415,4530,ms
Task Path,:core:group:kspDebugKotlin,3957,3914,3919,3797,4440,4402,ms
Task Path,:core:feed:compileDebugKotlin,3153,3139,3110,3132,3698,3572,ms
Task Path,:core:location:kspDebugKotlin,3738,3712,3706,3616,4225,4230,ms
Task Path,:core:identity:kspDebugKotlin,4358,4329,4354,4273,4893,4887,ms
Task Path,:core:group:compileDebugKotlin,3471,3401,3448,3437,4070,3820,ms
Task Path,:core:location:compileDebugKotlin,3365,3293,3410,3241,3812,3879,ms
Task Path,:core:identity:compileDebugKotlin,3410,3367,3434,3361,3849,3795,ms
Task Path,:core:log:kspDebugKotlin,4239,4202,4246,4253,4766,4832,ms
Task Path,:core:log:compileDebugKotlin,2684,2748,2595,2717,3251,3370,ms
Task Path,:core:login:kspDebugKotlin,3558,3611,3474,3620,4316,4258,ms
Task Path,:core:message:kspDebugKotlin,3520,3541,3513,3475,4051,4222,ms
Task Path,:core:metric:kspDebugKotlin,3492,3475,3466,3381,4032,4222,ms
Task Path,:core:login:compileDebugKotlin,2553,2581,2549,2488,3040,3018,ms
Task Path,:core:message:compileDebugKotlin,2365,2446,2333,2381,2644,2824,ms
Task Path,:core:metric:compileDebugKotlin,2340,2343,2298,2305,2774,2869,ms
Task Path,:core:network:kspDebugKotlin,3494,3507,3458,3488,3941,4075,ms
Task Path,:core:network:compileDebugKotlin,2268,2358,2311,2374,2674,2658,ms
Task Path,:core:notification:kspDebugKotlin,3257,3269,3223,3271,3897,3605,ms
Task Path,:core:post:kspDebugKotlin,3264,3299,3294,3356,3850,3863,ms
Task Path,:core:profile:kspDebugKotlin,3445,3511,3491,3511,3871,3947,ms
Task Path,:core:notification:compileDebugKotlin,2149,2228,2163,2198,2509,2581,ms
Task Path,:core:post:compileDebugKotlin,2200,2211,2162,2221,2687,2606,ms
Task Path,:core:profile:compileDebugKotlin,2203,2239,2197,2266,2692,2693,ms
Task Path,:core:push:kspDebugKotlin,3298,3334,3385,3440,3716,3710,ms
Task Path,:core:push:compileDebugKotlin,2284,2343,2249,2336,2960,2986,ms
Task Path,:core:report:kspDebugKotlin,3754,3680,3852,3601,4258,4225,ms
Task Path,:core:search:kspDebugKotlin,3811,3755,3815,3677,4392,4755,ms
Task Path,:core:session:kspDebugKotlin,3532,3420,3610,3442,4005,4013,ms
Task Path,:core:setting:kspDebugKotlin,3679,3556,3668,3556,4246,4282,ms
Task Path,:core:search:compileDebugKotlin,2290,2207,2218,2188,3006,2695,ms
Task Path,:core:report:compileDebugKotlin,2330,2303,2324,2225,2761,2976,ms
Task Path,:core:session:compileDebugKotlin,2185,2128,2112,2128,2891,2581,ms
Task Path,:core:setting:compileDebugKotlin,2068,2082,2048,2010,2552,2605,ms
Task Path,:core:status:kspDebugKotlin,3009,3013,3010,2924,3715,3857,ms
Task Path,:core:share:kspDebugKotlin,3282,3259,3298,3214,4008,3990,ms
Task Path,:core:sync:kspDebugKotlin,3025,3028,3007,3014,3730,3669,ms
Task Path,:core:task:kspDebugKotlin,3217,3226,3088,3253,3896,4021,ms
Task Path,:core:status:compileDebugKotlin,1956,1936,1888,1916,2419,2426,ms
Task Path,:core:share:compileDebugKotlin,1953,1975,1878,1970,2388,2450,ms
Task Path,:core:sync:compileDebugKotlin,2018,1919,1961,1939,2631,2351,ms
Task Path,:core:task:compileDebugKotlin,2015,1928,1987,1889,2386,2352,ms
Task Path,:core:user:kspDebugKotlin,2796,2882,2721,2900,3473,3425,ms
Task Path,:core:user:compileDebugKotlin,1733,1780,1689,1730,2120,2223,ms
Task Path,:feature:feed-contact:kspDebugKotlin,2914,3046,2742,3001,3547,3671,ms
Task Path,:feature:gallery:kspDebugKotlin,3022,2995,2954,2958,3808,3558,ms
Task Path,:feature:login-contact:kspDebugKotlin,3148,3207,3017,3106,3717,4034,ms
Task Path,:feature:cart-contact:kspDebugKotlin,3326,3266,3420,3213,4080,3887,ms
Task Path,:feature:feed-contact:compileDebugKotlin,2238,2222,2247,2195,2665,2745,ms
Task Path,:feature:comment-contact:kspDebugKotlin,3304,3309,3328,3373,3870,3813,ms
Task Path,:feature:contact-contact:kspDebugKotlin,3250,3343,3163,3407,3758,3751,ms
Task Path,:feature:cart-contact:compileDebugKotlin,2167,2208,2097,2278,2790,2723,ms
Task Path,:feature:comment-contact:compileDebugKotlin,2119,2121,2082,2165,2578,2508,ms
Task Path,:feature:contact-contact:compileDebugKotlin,2072,2030,2051,1966,2735,2478,ms
Task Path,:feature:gallery:compileDebugKotlin,1916,1943,1882,1883,2376,2377,ms
Task Path,:feature:forecast:kspDebugKotlin,3335,3378,3317,3401,3896,3966,ms
Task Path,:feature:login-contact:compileDebugKotlin,1833,1897,1862,1872,2213,2200,ms
Task Path,:feature:media:kspDebugKotlin,2796,2796,2716,2709,3340,3296,ms
Task Path,:feature:forecast:compileDebugKotlin,1918,1967,1890,1945,2245,2428,ms
Task Path,:feature:news:kspDebugKotlin,2792,2748,2675,2684,3255,3319,ms
Task Path,:feature:media:compileDebugKotlin,1769,1794,1680,1670,2186,2352,ms
Task Path,:feature:photo:kspDebugKotlin,2855,2846,2800,2757,3309,3474,ms
Task Path,:feature:news:compileDebugKotlin,1717,1782,1689,1691,2014,2274,ms
Task Path,:feature:playlist:kspDebugKotlin,2807,2784,2745,2591,3280,3349,ms
Task Path,:feature:photo:compileDebugKotlin,1733,1786,1704,1727,2070,2263,ms
Task Path,:feature:playlist:compileDebugKotlin,1514,1586,1459,1510,1908,2069,ms
Task Path,:feature:post-contact:kspDebugKotlin,2772,2839,2675,2756,3399,3553,ms
Task Path,:feature:profile-contact:kspDebugKotlin,2645,2613,2590,2529,3158,3156,ms
Task Path,:feature:post-contact:compileDebugKotlin,1790,1777,1663,1703,2253,2213,ms
Task Path,:feature:timer:kspDebugKotlin,2936,2915,2906,2871,3554,3314,ms
Task Path,:feature:profile-contact:compileDebugKotlin,1770,1688,1739,1629,2116,1988,ms
Task Path,:feature:todo:kspDebugKotlin,3022,2966,2958,2953,3444,3342,ms
Task Path,:feature:timer:compileDebugKotlin,1848,1867,1805,1852,2273,2269,ms
Task Path,:feature:todo:compileDebugKotlin,1925,2027,1845,1926,2407,2427,ms
Task Path,:feature:video:kspDebugKotlin,3160,3222,3179,3178,3528,3828,ms
Task Path,:feature:user-contact:kspDebugKotlin,3183,3295,3100,3243,3710,3926,ms
Task Path,:feature:video:compileDebugKotlin,1766,1678,1758,1690,2123,2005,ms
Task Path,:feature:user-contact:compileDebugKotlin,2127,2078,2143,2115,2469,2387,ms
Task Path,:feature:alarm:kspDebugKotlin,2984,3059,2911,3077,3445,3467,ms
Task Path,:feature:article:kspDebugKotlin,2960,2869,2948,2887,3318,3204,ms
Task Path,:feature:alarm:compileDebugKotlin,1835,1861,1851,1845,2147,2152,ms
Task Path,:feature:article:compileDebugKotlin,1733,1816,1719,1772,2030,2220,ms
Task Path,:domain:account-contact:kspDebugKotlin,2956,3130,2990,3058,3482,3658,ms
Task Path,:feature:audio:kspDebugKotlin,3220,3321,3230,3316,3671,3968,ms
Task Path,:domain:account-contact:compileDebugKotlin,1845,2010,1840,2002,2309,2460,ms
Task Path,:feature:audio:compileDebugKotlin,2106,2097,2037,1977,2569,2606,ms
Task Path,:feature:checkout-contact:kspDebugKotlin,2967,3119,2971,3173,3406,3565,ms
Task Path,:feature:document:kspDebugKotlin,2935,3112,2928,3083,3285,3575,ms
Task Path,:feature:checkout-contact:compileDebugKotlin,1859,1855,1828,1828,2180,2091,ms
Task Path,:feature:document:compileDebugKotlin,1869,1755,1838,1730,2210,1972,ms
Task Path,:feature:file:kspDebugKotlin,2868,2907,2883,2895,3226,3437,ms
Task Path,:feature:identity-contact:kspDebugKotlin,2934,2866,2869,2778,3390,3543,ms
Task Path,:feature:file:compileDebugKotlin,1852,1763,1701,1721,2316,2257,ms
Task Path,:feature:identity-contact:compileDebugKotlin,1662,1645,1599,1660,2295,1988,ms
Task Path,:feature:list:kspDebugKotlin,2964,2934,2860,2914,3683,3377,ms
Task Path,:feature:map:kspDebugKotlin,2875,2826,2815,2806,3369,3289,ms
Task Path,:feature:list:compileDebugKotlin,1578,1633,1487,1595,2005,2029,ms
Task Path,:feature:map:compileDebugKotlin,1432,1579,1385,1512,1802,2167,ms
Task Path,:feature:note:kspDebugKotlin,2717,2826,2672,2709,3220,3593,ms
Task Path,:feature:podcast:kspDebugKotlin,2799,2911,2816,2869,3309,3615,ms
Task Path,:feature:note:compileDebugKotlin,1748,1815,1724,1709,2316,2554,ms
Task Path,:feature:push-contact:kspDebugKotlin,2899,3010,2852,2879,3614,3544,ms
Task Path,:feature:podcast:compileDebugKotlin,1739,1812,1750,1697,1976,2310,ms
Task Path,:feature:weather:kspDebugKotlin,2890,3020,2838,2903,3273,3506,ms
Task Path,:feature:push-contact:compileDebugKotlin,1707,1778,1727,1775,2020,2199,ms
Task Path,:feature:weather:compileDebugKotlin,1699,1726,1707,1686,2010,2156,ms
Task Path,:domain:event-contact:kspDebugKotlin,2902,2897,2936,2818,3300,3492,ms
Task Path,:domain:map-contact:kspDebugKotlin,2767,2807,2771,2793,3130,3350,ms
Task Path,:domain:alarm-contact:kspDebugKotlin,3020,3080,3052,3048,3463,3696,ms
Task Path,:domain:analytics-contact:kspDebugKotlin,2976,2999,2930,2968,3581,3642,ms
Task Path,:domain:calendar-contact:kspDebugKotlin,2831,2804,2678,2775,3486,3457,ms
Task Path,:domain:alarm-contact:compileDebugKotlin,1913,1812,1832,1757,2372,2311,ms
Task Path,:domain:analytics-contact:compileDebugKotlin,1862,1826,1787,1792,2348,2272,ms
Task Path,:domain:document-contact:kspDebugKotlin,2879,2860,2749,2743,3423,3490,ms
Task Path,:domain:calendar-contact:compileDebugKotlin,1838,1696,1719,1654,2552,2120,ms
Task Path,:domain:event-contact:compileDebugKotlin,1726,1651,1607,1625,2360,1962,ms
Task Path,:domain:document-contact:compileDebugKotlin,1668,1623,1605,1626,2018,2043,ms
