Category,Metric,varianta_9.5.1 Mean,variantb_9.6.0-rc-1 Mean,varianta_9.5.1 P50,variantb_9.6.0-rc-1 P50,varianta_9.5.1 P90,variantb_9.6.0-rc-1 P90,Unit
Build,Build time,516886,499350,513343,505648,545133,532651,ms
Build,Configuration time,57099,54210,56822,53753,61338,60276,ms
Gradle process state,Gradle-Process-capacity,3.67,3.93,3.56,3.86,4.28,4.42,
Gradle process state,Gradle-Process-gcTime,0.35,0.34,0.35,0.34,0.38,0.37,
Gradle process state,Gradle-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Gradle process state,Gradle-Process-uptime,8.59,8.3,8.53,8.41,9.07,8.86,
Gradle process state,Gradle-Process-usage,2.53,2.77,2.58,2.68,3.12,3.47,
Kotlin process state,Kotlin-Process-capacity,2.41,2.41,2.46,2.46,2.73,2.66,
Kotlin process state,Kotlin-Process-gcTime,0.12,0.12,0.12,0.12,0.13,0.13,
Kotlin process state,Kotlin-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Kotlin process state,Kotlin-Process-uptime,8.39,8.12,8.34,8.22,8.85,8.65,
Kotlin process state,Kotlin-Process-usage,1.08,1.16,1.09,1.07,1.55,1.82,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,8,8,8,7,10,10,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,38,35,36,31,56,51,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,53,43,49,39,82,69,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,1765,1701,1392,1354,2986,2852,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,321,312,259,252,464,454,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,48,46,47,45,57,59,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,7,3,4,4,10,5,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,8,7,7,7,13,13,ms
Task Type,com.android.build.gradle.tasks.MergeResources,39,39,20,19,36,36,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,6,6,5,4,8,7,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,29,28,19,19,35,34,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,11,11,10,9,18,18,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,17,17,15,15,27,27,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,3171,3104,2909,2864,4145,4095,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,89,84,79,74,140,132,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,12,11,10,10,19,18,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,4,4,3,3,7,6,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,10,8,8,8,17,14,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsGeneratorTask,2939,2670,2880,2559,3636,3328,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,9,8,7,7,17,15,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,10,9,10,9,17,15,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,44,39,41,36,60,55,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,159,148,149,131,224,207,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,16,16,5,5,9,8,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,7167,6901,2309,2233,19661,19270,ms
Task Type,dagger.hilt.android.plugin.task.HiltSyncTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,7,8,3,3,7,6,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,1585,1486,1562,1547,2027,1959,ms
