Category,Metric,varianta_parallel Mean,variantb_g1 Mean,varianta_parallel P50,variantb_g1 P50,varianta_parallel P90,variantb_g1 P90,Unit
Task Path,:layer_0:module_0_33:kspDebugKotlin,2943,3048,2999,3125,3289,3458,ms
Task Path,:layer_0:module_0_30:compileDebugKotlin,3220,3215,3229,3221,3458,3513,ms
Task Path,:layer_0:module_0_31:compileDebugKotlin,3363,3352,3363,3336,3618,3647,ms
Task Path,:layer_0:module_0_33:compileDebugKotlin,1946,1985,1922,1981,2283,2242,ms
Task Path,:layer_0:module_0_34:kspDebugKotlin,2818,2905,2827,2891,3239,3222,ms
Task Path,:layer_0:module_0_34:compileDebugKotlin,1737,1740,1701,1732,1948,1928,ms
Task Path,:layer_0:module_0_35:kspDebugKotlin,3557,3544,3570,3510,3799,3846,ms
Task Path,:layer_0:module_0_37:kspDebugKotlin,3024,3051,2983,3037,3276,3326,ms
Task Path,:layer_0:module_0_36:kspDebugKotlin,3533,3551,3522,3556,3757,3889,ms
Task Path,:layer_0:module_0_37:compileDebugKotlin,2063,2089,2007,2020,2472,2506,ms
Task Path,:layer_0:module_0_35:compileDebugKotlin,2258,2327,2248,2290,2479,2554,ms
Task Path,:layer_0:module_0_38:kspDebugKotlin,3173,3303,3166,3222,3554,3787,ms
Task Path,:layer_0:module_0_36:compileDebugKotlin,3693,3785,3656,3764,4196,4247,ms
Task Path,:layer_0:module_0_38:compileDebugKotlin,2262,2194,2161,2117,2718,2514,ms
Task Path,:layer_0:module_0_39:kspDebugKotlin,3337,3347,3312,3290,3713,3786,ms
Task Path,:layer_0:module_0_4:kspDebugKotlin,3051,3117,3022,3122,3298,3431,ms
Task Path,:layer_0:module_0_40:kspDebugKotlin,3038,3046,3046,3019,3245,3422,ms
Task Path,:layer_0:module_0_4:compileDebugKotlin,1521,1504,1510,1523,1717,1647,ms
Task Path,:layer_0:module_0_40:compileDebugKotlin,1500,1492,1494,1477,1680,1693,ms
Task Path,:layer_0:module_0_41:kspDebugKotlin,2747,2723,2765,2729,3095,2960,ms
Task Path,:layer_0:module_0_39:compileDebugKotlin,2752,2819,2708,2810,3071,3085,ms
Task Path,:layer_0:module_0_41:compileDebugKotlin,1657,1678,1653,1653,1839,1964,ms
Task Path,:layer_0:module_0_42:kspDebugKotlin,2744,2788,2736,2746,3099,3115,ms
Task Path,:layer_0:module_0_43:kspDebugKotlin,3005,3090,3017,3072,3427,3397,ms
Task Path,:layer_0:module_0_44:kspDebugKotlin,3464,3522,3444,3532,3809,3827,ms
Task Path,:layer_0:module_0_42:compileDebugKotlin,1647,1633,1620,1573,1947,1890,ms
Task Path,:layer_0:module_0_45:kspDebugKotlin,3550,3528,3501,3518,3796,3818,ms
Task Path,:layer_0:module_0_43:compileDebugKotlin,2649,2529,2608,2532,2933,2698,ms
Task Path,:layer_0:module_0_45:compileDebugKotlin,2085,2229,2019,2158,2613,2708,ms
Task Path,:layer_0:module_0_44:compileDebugKotlin,3757,3775,3706,3746,4134,4267,ms
Task Path,:layer_0:module_0_46:kspDebugKotlin,3118,3176,3064,3117,3410,3592,ms
Task Path,:layer_0:module_0_47:kspDebugKotlin,3160,3171,3177,3130,3785,3757,ms
Task Path,:layer_0:module_0_46:compileDebugKotlin,2352,2305,2335,2220,2766,2828,ms
Task Path,:layer_0:module_0_48:kspDebugKotlin,3316,3248,3318,3241,3671,3693,ms
Task Path,:layer_0:module_0_49:kspDebugKotlin,3297,3261,3267,3223,3624,3587,ms
Task Path,:layer_0:module_0_47:compileDebugKotlin,2568,2557,2531,2546,2832,2882,ms
Task Path,:layer_0:module_0_48:compileDebugKotlin,2588,2636,2621,2608,2804,2977,ms
Task Path,:layer_0:module_0_5:kspDebugKotlin,3792,3741,3807,3749,4113,4057,ms
Task Path,:layer_0:module_0_49:compileDebugKotlin,3216,3286,3189,3300,3546,3755,ms
Task Path,:layer_0:module_0_50:kspDebugKotlin,3847,3997,3778,3932,4369,4575,ms
Task Path,:layer_0:module_0_5:compileDebugKotlin,3009,3136,2971,3138,3497,3554,ms
Task Path,:layer_0:module_0_51:kspDebugKotlin,3406,3365,3324,3371,3848,3663,ms
Task Path,:layer_0:module_0_52:kspDebugKotlin,3200,3187,3164,3170,3445,3396,ms
Task Path,:layer_0:module_0_50:compileDebugKotlin,3164,3145,3149,3149,3528,3436,ms
Task Path,:layer_0:module_0_52:compileDebugKotlin,2072,2159,2057,2118,2351,2605,ms
Task Path,:layer_0:module_0_51:compileDebugKotlin,3436,3552,3389,3530,3740,4196,ms
Task Path,:layer_0:module_0_53:kspDebugKotlin,3417,3559,3419,3503,3718,4059,ms
Task Path,:layer_0:module_0_54:kspDebugKotlin,3349,3461,3330,3493,3682,3912,ms
Task Path,:layer_0:module_0_56:kspDebugKotlin,3036,3078,3011,3046,3553,3338,ms
Task Path,:layer_0:module_0_55:kspDebugKotlin,3431,3439,3376,3444,3805,3798,ms
Task Path,:layer_0:module_0_53:compileDebugKotlin,3435,3515,3425,3482,3843,4028,ms
Task Path,:layer_0:module_0_55:compileDebugKotlin,1667,1669,1637,1652,1804,1932,ms
Task Path,:layer_0:module_0_54:compileDebugKotlin,3103,3090,3065,3101,3587,3414,ms
Task Path,:layer_0:module_0_56:compileDebugKotlin,1585,1584,1587,1571,1790,1824,ms
Task Path,:layer_0:module_0_57:kspDebugKotlin,2552,2656,2599,2692,3019,3059,ms
Task Path,:layer_0:module_0_57:compileDebugKotlin,1790,1764,1750,1761,2097,1993,ms
Task Path,:layer_0:module_0_59:kspDebugKotlin,3074,3018,3084,2998,3433,3308,ms
Task Path,:layer_0:module_0_58:kspDebugKotlin,3050,2970,3012,3019,3448,3266,ms
Task Path,:layer_0:module_0_6:kspDebugKotlin,3212,3229,3187,3188,3574,3661,ms
Task Path,:layer_0:module_0_59:compileDebugKotlin,2897,2987,2860,2950,3327,3485,ms
Task Path,:layer_0:module_0_58:compileDebugKotlin,3286,3273,3271,3238,3593,3603,ms
Task Path,:layer_0:module_0_60:kspDebugKotlin,3419,3544,3468,3490,3828,4121,ms
Task Path,:layer_0:module_0_6:compileDebugKotlin,3090,3200,3043,3153,3535,3729,ms
Task Path,:layer_0:module_0_60:compileDebugKotlin,1363,1419,1281,1318,1659,2012,ms
Task Path,:layer_0:module_0_61:kspDebugKotlin,2442,2547,2454,2633,2838,3050,ms
Task Path,:layer_0:module_0_62:kspDebugKotlin,2903,2993,2925,3048,3304,3360,ms
Task Path,:layer_0:module_0_63:kspDebugKotlin,2842,2865,2839,2893,3192,3140,ms
Task Path,:layer_0:module_0_61:compileDebugKotlin,1753,1718,1750,1756,1994,1973,ms
Task Path,:layer_0:module_0_64:kspDebugKotlin,2813,2832,2801,2814,3228,3189,ms
Task Path,:layer_0:module_0_63:compileDebugKotlin,2340,2297,2250,2292,2663,2647,ms
Task Path,:layer_0:module_0_64:compileDebugKotlin,1588,1541,1481,1506,1744,1802,ms
