Category,Metric,varianta_9.2.1 Mean,variantb_9.3.0 Mean,varianta_9.2.1 P50,variantb_9.3.0 P50,varianta_9.2.1 P90,variantb_9.3.0 P90,Unit
Build,Build time,638404,639794,636319,638313,662308,661391,ms
Build,Configuration time,55283,56215,54808,55927,58431,60245,ms
Gradle process state,Gradle-Process-capacity,5.92,5.91,5.96,5.95,6.0,6.0,
Gradle process state,Gradle-Process-gcTime,0.6,0.59,0.59,0.58,0.74,0.74,
Gradle process state,Gradle-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Gradle process state,Gradle-Process-uptime,10.62,10.64,10.58,10.62,11.02,11.0,
Gradle process state,Gradle-Process-usage,3.65,3.76,3.54,3.71,4.96,5.07,
Kotlin process state,Kotlin-Process-capacity,3.0,2.94,2.94,2.98,3.36,3.21,
Kotlin process state,Kotlin-Process-gcTime,0.25,0.24,0.24,0.24,0.27,0.26,
Kotlin process state,Kotlin-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Kotlin process state,Kotlin-Process-uptime,10.43,10.45,10.4,10.43,10.82,10.81,
Kotlin process state,Kotlin-Process-usage,1.21,1.35,1.19,1.38,1.75,2.05,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,0,0,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,33,29,33,29,42,37,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,35,42,34,39,43,58,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2539,2536,2216,2224,3550,3526,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,555,560,452,452,730,731,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,38,36,38,36,46,41,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,2,2,2,2,4,3,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,4,4,3,3,7,6,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,3,3,3,3,5,5,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,16,16,12,13,19,19,ms
Task Type,com.android.build.gradle.tasks.GenerateResValues,2,2,2,2,3,3,ms
Task Type,com.android.build.gradle.tasks.CompileNavigationXmlTask,47,47,44,45,56,55,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,2,2,3,3,4,4,ms
Task Type,com.android.build.gradle.tasks.MergeResources,26,25,9,9,13,13,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,64,68,58,66,88,91,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,16,13,16,14,24,22,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,2,2,2,2,4,4,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,20,20,13,13,23,23,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,12,11,9,9,17,16,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,10,10,10,10,15,16,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,260,262,230,233,353,341,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,141,145,142,142,154,153,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,23,23,23,23,33,31,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,13,13,11,11,19,20,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,10,10,9,9,15,15,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2200,2159,2177,2129,2583,2473,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,3839,3836,3484,3493,4911,4838,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,125,126,111,113,199,196,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,18,18,16,16,27,27,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,6,6,3,3,6,6,ms
Task Type,com.android.build.gradle.tasks.ShaderCompile,0,0,1,1,2,1,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,9,9,8,8,16,14,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,7,7,8,7,11,12,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,7,7,6,6,12,12,ms
Task Type,com.android.build.gradle.tasks.ZipMergingTask,4,4,4,4,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,112,131,97,105,175,197,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,478,514,474,503,524,584,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4303,4324,3648,3700,9309,9314,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,71,72,66,67,108,109,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,12,13,4,4,6,6,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1302,1308,1256,1277,1510,1494,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsMergeTask,103,104,101,102,129,123,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,1,1,1,1,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,5,5,2,2,4,4,ms
