Category,Metric,varianta_main_4g Mean,variantb_main_6g Mean,varianta_main_4g P50,variantb_main_6g P50,varianta_main_4g P90,variantb_main_6g P90,Unit
Build,Build time,43895,43057,43702,43043,44872,44102,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,8715,8545,8562,8406,12431,12049,ms
Task Path,:build-logic:convention:compileKotlin,12233,11940,12303,11939,12461,12396,ms
Task Path,:core:model:compileKotlin,5197,5150,5200,5167,5321,5300,ms
All processes cpu,Max,96.3,96.6,96.0,97.0,97,98,%
All processes memory,Max,4.23,4.01,4.07,3.99,5.15,4.24,Gb
Build process cpu,Max,82.9,84.3,82.0,84.5,88,87,%
Build processes memory,Max,1.91,1.61,1.7,1.58,2.82,1.82,Gb
Build child processes cpu,Max,87.7,87.0,87.0,87.0,91,89,%
Build child processes memory,Max,1.29,1.37,1.3,1.37,1.32,1.38,Gb
