Category,Metric,varianta_main Mean,variantb_lint_2g Mean,varianta_main P50,variantb_lint_2g P50,varianta_main P90,variantb_lint_2g P90,Unit
Task Path,:layer_0:module_0_123:compileDebugKotlin,3723,3476,3706,3623,4360,4318,ms
Task Path,:layer_0:module_0_120:lintAnalyzeDebug,7208,6184,6881,6189,9506,7355,ms
Task Path,:layer_0:module_0_121:lintAnalyzeDebug,7109,5983,6512,5918,10161,7170,ms
Task Path,:layer_0:module_0_122:lintAnalyzeDebug,6561,5907,6039,5838,7409,6889,ms
Task Path,:layer_0:module_0_123:lintAnalyzeDebug,6475,6165,5727,5920,10782,7637,ms
Task Path,:layer_0:module_0_124:compileDebugKotlin,3052,3391,3179,3479,3514,4125,ms
Task Path,:layer_0:module_0_125:compileDebugKotlin,3381,3397,3572,3465,4039,4357,ms
Task Path,:layer_0:module_0_126:compileDebugKotlin,3660,3185,3796,3383,4143,3999,ms
Task Path,:layer_0:module_0_127:compileDebugKotlin,3650,3181,3693,3227,4177,4222,ms
Task Path,:layer_0:module_0_124:lintAnalyzeDebug,7346,6577,6843,6118,10625,9309,ms
Task Path,:layer_0:module_0_125:lintAnalyzeDebug,6732,6310,6455,5824,8616,8540,ms
Task Path,:layer_0:module_0_126:lintAnalyzeDebug,6235,6064,5970,6015,7990,7299,ms
Task Path,:layer_0:module_0_127:lintAnalyzeDebug,5916,6188,5599,5753,7616,7447,ms
Task Path,:layer_0:module_0_128:compileDebugKotlin,2885,3261,2874,3276,3449,3932,ms
Task Path,:layer_0:module_0_129:compileDebugKotlin,3295,3180,3242,3141,4000,3830,ms
Task Path,:layer_0:module_0_13:compileDebugKotlin,3479,3024,3535,3103,3770,3466,ms
Task Path,:layer_0:module_0_130:compileDebugKotlin,3324,2913,3294,2876,3833,3495,ms
Task Path,:layer_0:module_0_128:lintAnalyzeDebug,6595,6162,6307,6086,8158,7134,ms
Task Path,:layer_0:module_0_129:lintAnalyzeDebug,6199,5940,5963,5641,8038,7670,ms
Task Path,:layer_0:module_0_13:lintAnalyzeDebug,5799,6168,5626,6114,6788,7427,ms
Task Path,:layer_0:module_0_131:compileDebugKotlin,2914,2875,2947,2949,3292,3402,ms
Task Path,:layer_0:module_0_130:lintAnalyzeDebug,5623,6361,5408,5891,6668,8747,ms
Task Path,:layer_0:module_0_132:compileDebugKotlin,3012,2882,2993,2963,3504,3484,ms
Task Path,:layer_0:module_0_14:compileDebugKotlin,3223,2827,3195,2873,3721,3577,ms
Task Path,:layer_0:module_0_15:compileDebugKotlin,3154,2852,3084,2897,3649,3413,ms
Task Path,:layer_0:module_0_131:lintAnalyzeDebug,6358,6231,6462,5673,7271,8497,ms
Task Path,:layer_0:module_0_132:lintAnalyzeDebug,6332,5793,6204,5657,7861,6871,ms
Task Path,:layer_0:module_0_14:lintAnalyzeDebug,6097,5816,5978,5786,7600,7317,ms
Task Path,:layer_0:module_0_16:compileDebugKotlin,3020,2944,2858,2925,4022,3389,ms
Task Path,:layer_0:module_0_17:compileDebugKotlin,3378,2983,3205,2841,4364,4143,ms
Task Path,:layer_0:module_0_15:lintAnalyzeDebug,5621,5776,5593,5641,6309,6642,ms
Task Path,:layer_0:module_0_18:compileDebugKotlin,3297,3250,3167,3360,4435,4016,ms
Task Path,:layer_0:module_0_16:lintAnalyzeDebug,5868,5761,5833,5563,6486,6656,ms
Task Path,:layer_0:module_0_19:compileDebugKotlin,2742,3100,2718,2936,3378,3982,ms
Task Path,:layer_0:module_0_17:lintAnalyzeDebug,5812,5712,5806,5560,6489,6662,ms
Task Path,:layer_0:module_0_18:lintAnalyzeDebug,5697,5707,5648,5440,7004,6774,ms
Task Path,:layer_0:module_0_2:compileDebugKotlin,2699,2487,2652,2523,3119,3443,ms
Task Path,:layer_0:module_0_20:compileDebugKotlin,2930,2614,2865,2518,3743,3739,ms
Task Path,:layer_0:module_0_21:compileDebugKotlin,2821,2801,2774,2810,3583,3294,ms
Task Path,:layer_0:module_0_19:lintAnalyzeDebug,5672,5542,5646,5308,6820,6730,ms
Task Path,:layer_0:module_0_2:lintAnalyzeDebug,6156,5873,5999,5696,7387,7806,ms
Task Path,:layer_0:module_0_22:compileDebugKotlin,2764,2770,2798,2775,3373,3360,ms
Task Path,:layer_0:module_0_20:lintAnalyzeDebug,6046,5635,5908,5273,7551,7881,ms
Task Path,:layer_0:module_0_21:lintAnalyzeDebug,5953,5561,5816,5282,7337,6925,ms
Task Path,:layer_0:module_0_23:compileDebugKotlin,2674,2550,2535,2550,3463,3146,ms
Task Path,:layer_0:module_0_24:compileDebugKotlin,2765,2682,2782,2626,3243,3277,ms
Task Path,:layer_0:module_0_22:lintAnalyzeDebug,5982,5465,5657,5221,8352,6383,ms
Task Path,:layer_0:module_0_25:compileDebugKotlin,2769,2511,2765,2480,3309,2924,ms
Task Path,:layer_0:module_0_23:lintAnalyzeDebug,5908,5671,5771,5480,6382,6954,ms
Task Path,:layer_0:module_0_24:lintAnalyzeDebug,5911,5504,5715,5314,7155,6595,ms
Task Path,:layer_0:module_0_26:compileDebugKotlin,2611,2528,2644,2570,3081,3242,ms
Task Path,:layer_0:module_0_27:compileDebugKotlin,2678,2536,2805,2567,3240,2896,ms
Task Path,:layer_0:module_0_28:compileDebugKotlin,2669,2560,2703,2561,3240,2843,ms
Task Path,:layer_0:module_0_25:lintAnalyzeDebug,5867,5435,5489,5248,7727,6657,ms
Task Path,:layer_0:module_0_29:compileDebugKotlin,2601,2498,2671,2557,3164,2916,ms
Task Path,:layer_0:module_0_26:lintAnalyzeDebug,5758,5355,5564,5019,7446,6660,ms
Task Path,:layer_0:module_0_27:lintAnalyzeDebug,5732,5397,5720,5283,6780,6719,ms
Task Path,:layer_0:module_0_28:lintAnalyzeDebug,5679,5277,5615,5105,6289,6260,ms
Task Path,:layer_0:module_0_3:compileDebugKotlin,2466,2403,2475,2379,2953,3047,ms
Task Path,:layer_0:module_0_29:lintAnalyzeDebug,5681,5589,5595,5166,6441,6816,ms
Task Path,:layer_0:module_0_30:compileDebugKotlin,2548,2539,2556,2565,2962,2902,ms
Task Path,:layer_0:module_0_31:compileDebugKotlin,2605,2600,2644,2654,2949,3158,ms
Task Path,:layer_0:module_0_3:lintAnalyzeDebug,5495,5905,5330,5310,6560,9595,ms
Task Path,:layer_0:module_0_32:compileDebugKotlin,2503,2547,2509,2385,2991,2868,ms
Task Path,:layer_0:module_0_30:lintAnalyzeDebug,5436,5665,5263,5235,6692,8543,ms
Task Path,:layer_0:module_0_33:compileDebugKotlin,2585,2564,2476,2441,3106,2840,ms
Task Path,:layer_0:module_0_31:lintAnalyzeDebug,5851,5190,5618,5142,7646,6375,ms
Task Path,:layer_0:module_0_32:lintAnalyzeDebug,5527,5221,5365,5166,6887,6041,ms
Task Path,:layer_0:module_0_34:compileDebugKotlin,2398,2574,2472,2523,2804,3039,ms
Task Path,:layer_0:module_0_35:compileDebugKotlin,2539,2564,2606,2379,3117,3136,ms
Task Path,:layer_0:module_0_33:lintAnalyzeDebug,5508,5101,5284,5058,6795,6215,ms
Task Path,:layer_0:module_0_36:compileDebugKotlin,2605,2412,2613,2402,2985,2893,ms
Task Path,:layer_0:module_0_37:compileDebugKotlin,2674,2549,2574,2572,3066,2926,ms
Task Path,:layer_0:module_0_34:lintAnalyzeDebug,5584,5195,5226,5157,7272,6144,ms
Task Path,:layer_0:module_0_35:lintAnalyzeDebug,5628,4943,5334,4863,7515,5908,ms
Task Path,:layer_0:module_0_38:compileDebugKotlin,2605,2544,2470,2607,4385,3062,ms
