Category,Metric,varianta_gradle_9_1_0 Mean,variantb_gradle_9_2_0-rc-1 Mean,varianta_gradle_9_1_0 P50,variantb_gradle_9_2_0-rc-1 P50,varianta_gradle_9_1_0 P90,variantb_gradle_9_2_0-rc-1 P90,Unit
Task Path,:model:todo-login:compileDebugKotlin,1341,1315,1270,1282,1712,1599,ms
Task Path,:model:weather-login:kspDebugKotlin,2484,2346,2387,2342,3196,2724,ms
Task Path,:model:video-login:compileDebugKotlin,1536,1359,1470,1320,2087,1573,ms
Task Path,:model:weather-login:compileDebugKotlin,1561,1355,1463,1305,2185,1759,ms
Task Path,:model:audio-login:kspDebugKotlin,2778,2647,2704,2629,3421,3115,ms
Task Path,:model:metric-login:kspDebugKotlin,2711,2611,2752,2525,3132,3073,ms
Task Path,:model:audio-login:compileDebugKotlin,1411,1470,1340,1370,1780,1918,ms
Task Path,:entity:calendar-identity:kspDebugKotlin,3014,3200,2968,3060,3396,3982,ms
Task Path,:model:playlist-login:kspDebugKotlin,2625,2770,2609,2692,2991,3649,ms
Task Path,:model:metric-login:compileDebugKotlin,1402,1464,1334,1381,1805,1928,ms
Task Path,:model:playlist-login:compileDebugKotlin,1431,1376,1332,1357,1872,1635,ms
Task Path,:entity:calendar-identity:compileDebugKotlin,1551,1477,1462,1419,2297,1785,ms
Task Path,:entity:identity-identity:kspDebugKotlin,2511,2464,2430,2484,3341,2963,ms
Task Path,:entity:alarm-identity:kspDebugKotlin,2417,2311,2348,2294,3036,2777,ms
Task Path,:entity:identity-identity:compileDebugKotlin,1328,1321,1329,1306,1671,1565,ms
Task Path,:entity:alarm-identity:compileDebugKotlin,1371,1351,1335,1344,1782,1658,ms
Task Path,:entity:comment-identity:kspDebugKotlin,2584,2430,2535,2323,3004,2916,ms
Task Path,:entity:analytics-identity:kspDebugKotlin,2491,2389,2499,2268,2954,2851,ms
Task Path,:entity:comment-identity:compileDebugKotlin,1287,1330,1243,1249,1519,1724,ms
Task Path,:entity:analytics-identity:compileDebugKotlin,1187,1209,1144,1126,1665,1454,ms
Task Path,:entity:cart-identity:kspDebugKotlin,2459,2372,2406,2329,3025,2681,ms
Task Path,:entity:event-identity:kspDebugKotlin,2441,2414,2400,2327,2847,2789,ms
Task Path,:entity:cart-identity:compileDebugKotlin,1310,1270,1263,1253,1672,1532,ms
Task Path,:data:audio-identity:kspDebugKotlin,2330,2280,2260,2221,2875,2764,ms
Task Path,:entity:event-identity:compileDebugKotlin,1353,1261,1222,1197,2108,1556,ms
Task Path,:entity:feed-identity:kspDebugKotlin,2675,2448,2566,2349,3440,2911,ms
Task Path,:data:audio-identity:compileDebugKotlin,1317,1250,1206,1202,1834,1503,ms
Task Path,:entity:feed-identity:compileDebugKotlin,1357,1356,1276,1268,1784,1850,ms
Task Path,:entity:file-identity:kspDebugKotlin,2599,2527,2506,2498,3168,3036,ms
Task Path,:entity:group-identity:kspDebugKotlin,2713,2680,2687,2716,3218,3236,ms
Task Path,:entity:file-identity:compileDebugKotlin,1405,1441,1311,1354,1905,2025,ms
Task Path,:entity:group-identity:compileDebugKotlin,1364,1396,1316,1308,1805,1756,ms
Task Path,:entity:location-identity:kspDebugKotlin,2759,2833,2657,2746,3434,3402,ms
Task Path,:entity:message-identity:kspDebugKotlin,2446,2509,2328,2386,2979,3158,ms
Task Path,:entity:message-identity:compileDebugKotlin,1243,1214,1159,1180,1875,1540,ms
Task Path,:entity:location-identity:compileDebugKotlin,1286,1300,1258,1267,1502,1517,ms
Task Path,:entity:network-identity:kspDebugKotlin,2308,2266,2232,2180,2798,2687,ms
Task Path,:entity:notification-identity:kspDebugKotlin,2282,2304,2166,2292,3041,2876,ms
Task Path,:entity:network-identity:compileDebugKotlin,1189,1218,1128,1215,1540,1438,ms
Task Path,:entity:notification-identity:compileDebugKotlin,1232,1237,1192,1164,1571,1733,ms
Task Path,:entity:post-identity:kspDebugKotlin,2304,2231,2252,2139,2828,2967,ms
Task Path,:entity:profile-identity:kspDebugKotlin,2202,2154,2110,2134,2736,2467,ms
Task Path,:entity:post-identity:compileDebugKotlin,1198,1196,1166,1114,1533,1721,ms
Task Path,:entity:profile-identity:compileDebugKotlin,1190,1215,1169,1137,1404,1751,ms
Task Path,:entity:report-identity:kspDebugKotlin,2258,2159,2198,2127,2838,2636,ms
Task Path,:entity:search-identity:kspDebugKotlin,2278,2185,2113,2128,2801,2738,ms
Task Path,:entity:report-identity:compileDebugKotlin,1279,1275,1204,1220,1724,1659,ms
Task Path,:entity:search-identity:compileDebugKotlin,1301,1196,1273,1154,1675,1492,ms
Task Path,:entity:session-identity:kspDebugKotlin,2443,2205,2427,2138,2975,2569,ms
Task Path,:entity:setting-identity:kspDebugKotlin,2438,2239,2320,2142,3052,2736,ms
Task Path,:entity:session-identity:compileDebugKotlin,1260,1270,1162,1177,1583,1698,ms
Task Path,:entity:setting-identity:compileDebugKotlin,1266,1350,1244,1286,1448,1824,ms
Task Path,:entity:share-identity:kspDebugKotlin,2397,2328,2207,2225,2937,2866,ms
Task Path,:entity:status-identity:kspDebugKotlin,2345,2408,2184,2368,2927,2895,ms
Task Path,:entity:share-identity:compileDebugKotlin,1239,1319,1173,1273,1504,1804,ms
Task Path,:entity:status-identity:compileDebugKotlin,1272,1273,1205,1198,1801,1606,ms
Task Path,:entity:sync-identity:kspDebugKotlin,2315,2451,2282,2417,2971,2914,ms
Task Path,:entity:timer-identity:kspDebugKotlin,2324,2299,2222,2218,2822,2905,ms
Task Path,:entity:sync-identity:compileDebugKotlin,1202,1195,1168,1199,1413,1394,ms
Task Path,:entity:timer-identity:compileDebugKotlin,1222,1238,1224,1199,1525,1626,ms
Task Path,:entity:user-identity:kspDebugKotlin,2398,2414,2384,2329,2906,2897,ms
Task Path,:entity:account-identity:kspDebugKotlin,2632,2637,2613,2570,3101,3086,ms
Task Path,:entity:user-identity:compileDebugKotlin,1250,1313,1213,1199,1536,1811,ms
Task Path,:entity:checkout-identity:kspDebugKotlin,2693,2686,2649,2553,3254,3252,ms
Task Path,:entity:log-identity:kspDebugKotlin,2738,2678,2630,2578,3404,3342,ms
Task Path,:entity:account-identity:compileDebugKotlin,1356,1394,1277,1297,1723,1733,ms
Task Path,:entity:checkout-identity:compileDebugKotlin,1420,1357,1299,1285,2108,1793,ms
Task Path,:entity:log-identity:compileDebugKotlin,1315,1301,1221,1232,1884,1683,ms
Task Path,:data:cart-checkout:kspDebugKotlin,2728,2656,2514,2662,3778,3213,ms
Task Path,:entity:metric-identity:kspDebugKotlin,2442,2330,2396,2271,3123,2798,ms
Task Path,:data:cart-checkout:compileDebugKotlin,1297,1242,1245,1238,1539,1464,ms
Task Path,:entity:metric-identity:compileDebugKotlin,1251,1202,1245,1142,1738,1428,ms
Task Path,:entity:task-identity:kspDebugKotlin,2278,2174,2207,2139,2820,2748,ms
Task Path,:data:identity-checkout:kspDebugKotlin,2500,2458,2425,2361,3006,2946,ms
Task Path,:entity:task-identity:compileDebugKotlin,1294,1197,1197,1166,1814,1461,ms
Task Path,:data:identity-checkout:compileDebugKotlin,1153,1138,1086,1082,1894,1592,ms
Task Path,:data:login-checkout:kspDebugKotlin,2297,2255,2224,2167,3021,2874,ms
Task Path,:data:gallery-identity:kspDebugKotlin,2402,2340,2287,2219,3145,2875,ms
Task Path,:data:checkout-checkout:kspDebugKotlin,2286,2366,2157,2352,2940,2834,ms
Task Path,:data:contact-checkout:kspDebugKotlin,2267,2340,2150,2380,2727,2714,ms
Task Path,:data:document-identity:kspDebugKotlin,2300,2369,2199,2372,2804,2733,ms
Task Path,:data:feed-checkout:kspDebugKotlin,2357,2358,2276,2277,2763,2819,ms
Task Path,:data:contact-checkout:compileDebugKotlin,1267,1290,1210,1171,1487,1602,ms
Task Path,:data:checkout-checkout:compileDebugKotlin,1293,1299,1242,1230,1567,1630,ms
Task Path,:data:document-identity:compileDebugKotlin,1240,1264,1222,1233,1489,1565,ms
Task Path,:data:feed-checkout:compileDebugKotlin,1116,1142,1093,1141,1340,1326,ms
Task Path,:data:gallery-identity:compileDebugKotlin,1098,1042,1042,983,1319,1402,ms
Task Path,:data:login-checkout:compileDebugKotlin,1177,1195,1140,1089,1376,1735,ms
Task Path,:data:map-identity:kspDebugKotlin,2302,2360,2171,2280,2846,3038,ms
Task Path,:data:list-identity:kspDebugKotlin,2386,2523,2294,2465,3039,3093,ms
Task Path,:data:media-identity:kspDebugKotlin,2362,2385,2276,2304,2729,3075,ms
Task Path,:data:map-identity:compileDebugKotlin,1309,1346,1273,1253,1595,1646,ms
Task Path,:data:list-identity:compileDebugKotlin,1246,1209,1235,1087,1495,1621,ms
Task Path,:data:network-checkout:kspDebugKotlin,2434,2587,2410,2623,2911,3331,ms
Task Path,:data:media-identity:compileDebugKotlin,1180,1271,1151,1229,1391,1624,ms
Task Path,:data:network-checkout:compileDebugKotlin,1188,1174,1143,1169,1540,1440,ms
Task Path,:data:note-identity:kspDebugKotlin,2291,2327,2214,2365,2791,2795,ms
Task Path,:data:news-identity:kspDebugKotlin,2510,2494,2402,2440,3138,3070,ms
Task Path,:data:photo-identity:kspDebugKotlin,2591,2700,2607,2605,2986,3173,ms
Task Path,:data:note-identity:compileDebugKotlin,1331,1341,1282,1250,1501,1969,ms
Task Path,:data:news-identity:compileDebugKotlin,1293,1304,1288,1308,1544,1636,ms
Task Path,:data:playlist-identity:kspDebugKotlin,2616,2795,2626,2722,2862,3384,ms
Task Path,:data:photo-identity:compileDebugKotlin,1371,1400,1315,1338,1806,1762,ms
Task Path,:data:playlist-identity:compileDebugKotlin,1288,1198,1231,1209,1701,1435,ms
Task Path,:data:podcast-identity:kspDebugKotlin,2282,2314,2353,2245,2829,2913,ms
Task Path,:data:post-checkout:kspDebugKotlin,2146,2135,2130,1973,2750,2798,ms
Task Path,:data:profile-checkout:kspDebugKotlin,2487,2491,2345,2453,3003,3097,ms
Task Path,:data:push-checkout:kspDebugKotlin,2402,2469,2281,2387,2961,3084,ms
Task Path,:data:podcast-identity:compileDebugKotlin,1196,1201,1147,1184,1518,1501,ms
Task Path,:data:post-checkout:compileDebugKotlin,1280,1307,1222,1259,1765,1821,ms
Task Path,:data:profile-checkout:compileDebugKotlin,1219,1307,1198,1247,1522,1699,ms
Task Path,:data:push-checkout:compileDebugKotlin,1043,1081,1025,1048,1208,1329,ms
Task Path,:data:todo-identity:kspDebugKotlin,2159,2300,2142,2251,2564,2886,ms
Task Path,:data:video-identity:kspDebugKotlin,2186,2238,2106,2190,2681,2788,ms
Task Path,:data:weather-identity:kspDebugKotlin,2431,2452,2334,2377,2793,2931,ms
Task Path,:data:todo-identity:compileDebugKotlin,1220,1273,1192,1195,1421,1606,ms
Task Path,:data:video-identity:compileDebugKotlin,1417,1333,1338,1322,2084,1704,ms
Task Path,:data:article-identity:kspDebugKotlin,2617,2387,2361,2236,3541,2980,ms
Task Path,:data:weather-identity:compileDebugKotlin,1396,1257,1222,1142,2170,1777,ms
Task Path,:data:article-identity:compileDebugKotlin,1420,1334,1332,1196,1928,1873,ms
Task Path,:api:account-checkout:kspDebugKotlin,2506,2460,2489,2347,3005,3068,ms
Task Path,:data:comment-checkout:kspDebugKotlin,2644,2418,2650,2236,3527,3213,ms
Task Path,:data:forecast-identity:kspDebugKotlin,2514,2465,2587,2292,2838,3302,ms
Task Path,:data:location-checkout:kspDebugKotlin,2360,2437,2313,2423,2778,2924,ms
Task Path,:api:account-checkout:compileDebugKotlin,1210,1261,1166,1182,1634,1595,ms
Task Path,:data:comment-checkout:compileDebugKotlin,1309,1366,1279,1234,1723,1960,ms
Task Path,:data:forecast-identity:compileDebugKotlin,1289,1216,1278,1162,1655,1567,ms
Task Path,:data:location-checkout:compileDebugKotlin,1345,1290,1282,1231,1719,1612,ms
Task Path,:data:user-checkout:kspDebugKotlin,2459,2465,2341,2343,3019,2986,ms
Task Path,:data:search-checkout:kspDebugKotlin,2586,2633,2470,2530,3184,3237,ms
Task Path,:api:calendar-checkout:kspDebugKotlin,2180,2166,2179,1981,2798,3369,ms
Task Path,:data:user-checkout:compileDebugKotlin,1215,1369,1174,1284,1447,2184,ms
Task Path,:data:search-checkout:compileDebugKotlin,1420,1458,1302,1430,1972,1896,ms
Task Path,:api:event-checkout:kspDebugKotlin,2171,2214,2123,2055,2573,3203,ms
Task Path,:api:calendar-checkout:compileDebugKotlin,1124,1254,1073,1189,1376,1763,ms
Task Path,:api:event-checkout:compileDebugKotlin,1160,1247,1085,1194,1641,1769,ms
Task Path,:api:alarm-checkout:kspDebugKotlin,2227,2459,2133,2298,2692,3467,ms
Task Path,:api:analytics-checkout:kspDebugKotlin,2128,2377,2047,2230,2555,3315,ms
Task Path,:api:article-checkout:kspDebugKotlin,2248,2415,2098,2315,3027,3289,ms
Task Path,:api:alarm-checkout:compileDebugKotlin,1275,1262,1202,1226,1746,1510,ms
Task Path,:api:analytics-checkout:compileDebugKotlin,1243,1230,1158,1162,1772,1615,ms
Task Path,:api:article-checkout:compileDebugKotlin,1112,1134,1067,1100,1307,1469,ms
Task Path,:api:document-checkout:kspDebugKotlin,2182,2129,2120,2104,2772,2788,ms
Task Path,:api:document-checkout:compileDebugKotlin,1033,1119,1016,1066,1173,1477,ms
Task Path,:api:file-checkout:kspDebugKotlin,2102,2210,1990,2033,2632,2812,ms
Task Path,:api:forecast-checkout:kspDebugKotlin,2240,2340,2178,2214,2702,2904,ms
Task Path,:api:group-checkout:kspDebugKotlin,2231,2324,2218,2263,2857,2857,ms
Task Path,:api:file-checkout:compileDebugKotlin,1200,1235,1167,1227,1369,1567,ms
Task Path,:api:list-checkout:kspDebugKotlin,2053,2007,1971,1967,2514,2547,ms
Task Path,:api:forecast-checkout:compileDebugKotlin,1207,1176,1162,1103,1502,1482,ms
Task Path,:api:group-checkout:compileDebugKotlin,1099,1038,1060,1020,1355,1231,ms
Task Path,:api:list-checkout:compileDebugKotlin,1079,1089,1073,1088,1273,1266,ms
Task Path,:api:log-checkout:kspDebugKotlin,2010,2020,1989,1946,2368,2506,ms
Task Path,:api:map-checkout:kspDebugKotlin,2133,2103,2024,2027,2706,2533,ms
Task Path,:api:log-checkout:compileDebugKotlin,1198,1238,1137,1164,1416,1676,ms
Task Path,:api:message-checkout:kspDebugKotlin,2228,2183,2119,2070,2838,2747,ms
Task Path,:api:metric-checkout:kspDebugKotlin,2326,2228,2167,2145,2839,2817,ms
Task Path,:api:map-checkout:compileDebugKotlin,1220,1258,1187,1190,1446,1841,ms
Task Path,:api:message-checkout:compileDebugKotlin,1177,1153,1166,1111,1409,1454,ms
Task Path,:api:metric-checkout:compileDebugKotlin,1256,1164,1201,1128,1554,1381,ms
Task Path,:api:news-checkout:kspDebugKotlin,2332,2206,2323,2103,2797,2764,ms
Task Path,:api:note-checkout:kspDebugKotlin,2281,2240,2137,2213,2849,2807,ms
Task Path,:api:news-checkout:compileDebugKotlin,1330,1177,1233,1128,1844,1496,ms
Task Path,:api:note-checkout:compileDebugKotlin,1300,1201,1223,1108,1919,1748,ms
Task Path,:api:notification-checkout:kspDebugKotlin,2437,2307,2440,2269,2927,2895,ms
Task Path,:api:podcast-checkout:kspDebugKotlin,2328,2338,2309,2287,2767,2938,ms
Task Path,:api:notification-checkout:compileDebugKotlin,1257,1234,1220,1143,1914,1802,ms
Task Path,:api:podcast-checkout:compileDebugKotlin,1226,1208,1138,1138,1865,1684,ms
Task Path,:api:session-checkout:kspDebugKotlin,2289,2172,2193,2059,3042,2757,ms
Task Path,:api:report-checkout:kspDebugKotlin,2467,2378,2355,2268,3297,3063,ms
Task Path,:api:session-checkout:compileDebugKotlin,1148,1186,1113,1106,1328,1596,ms
Task Path,:api:report-checkout:compileDebugKotlin,1172,1223,1116,1124,1484,1569,ms
Task Path,:api:setting-checkout:kspDebugKotlin,2518,2396,2488,2291,2960,2819,ms
Task Path,:api:share-checkout:kspDebugKotlin,2393,2310,2381,2291,2789,2881,ms
Task Path,:api:setting-checkout:compileDebugKotlin,1236,1235,1158,1174,1403,1706,ms
Task Path,:api:share-checkout:compileDebugKotlin,1252,1181,1158,1165,1547,1360,ms
Task Path,:api:status-checkout:kspDebugKotlin,2282,2103,2115,2093,3488,2514,ms
Task Path,:api:sync-checkout:kspDebugKotlin,2200,2064,2070,2040,2880,2485,ms
Task Path,:api:task-checkout:kspDebugKotlin,2335,2288,2242,2229,2834,2705,ms
Task Path,:api:sync-checkout:compileDebugKotlin,1133,1160,1065,1067,1468,1669,ms
Task Path,:api:status-checkout:compileDebugKotlin,1176,1228,1131,1149,1466,1749,ms
Task Path,:api:timer-checkout:kspDebugKotlin,2268,2324,2170,2326,2855,2837,ms
Task Path,:api:task-checkout:compileDebugKotlin,1190,1241,1126,1107,1671,1889,ms
Task Path,:api:timer-checkout:compileDebugKotlin,1303,1428,1172,1283,1852,1871,ms
Task Path,:api:todo-checkout:kspDebugKotlin,2381,2475,2250,2397,3112,3031,ms
Task Path,:api:video-checkout:kspDebugKotlin,2614,2604,2464,2611,3423,3142,ms
Task Path,:api:todo-checkout:compileDebugKotlin,1380,1360,1278,1294,2033,1785,ms
Task Path,:api:weather-checkout:kspDebugKotlin,2298,2219,2197,2134,3115,3174,ms
Task Path,:api:video-checkout:compileDebugKotlin,1270,1283,1196,1232,1522,2018,ms
Task Path,:app:app:mergeDebugResources,3574,3697,3469,3687,4060,4063,ms
Task Path,:app:app:processDebugResources,2150,2097,2080,2102,2370,2232,ms
Task Path,:presentation:feed-cart:kspDebugKotlin,2307,2255,2164,2194,2857,2632,ms
Task Path,:presentation:group-cart:kspDebugKotlin,2383,2360,2227,2243,3059,2968,ms
Task Path,:presentation:network-cart:kspDebugKotlin,2401,2324,2205,2230,2926,2769,ms
Task Path,:presentation:feed-cart:compileDebugKotlin,1164,1166,1120,1098,1497,1386,ms
Task Path,:presentation:group-cart:compileDebugKotlin,1328,1357,1254,1251,1735,1887,ms
Task Path,:presentation:analytics-cart:kspDebugKotlin,2678,2613,2604,2551,3115,3088,ms
Task Path,:presentation:network-cart:compileDebugKotlin,1267,1318,1212,1219,1435,1797,ms
Task Path,:presentation:analytics-cart:compileDebugKotlin,1179,1220,1134,1166,1415,1580,ms
Task Path,:presentation:audio-checkout:kspDebugKotlin,2404,2381,2294,2335,3006,2795,ms
Task Path,:ui:alarm-cart:kspDebugKotlin,2493,2530,2360,2453,3002,2874,ms
Task Path,:presentation:cart-cart:kspDebugKotlin,2366,2465,2224,2411,2860,2960,ms
Task Path,:presentation:audio-checkout:compileDebugKotlin,1145,1257,1039,1191,1651,1640,ms
Task Path,:presentation:comment-cart:kspDebugKotlin,2368,2478,2285,2427,2930,2965,ms
Task Path,:presentation:cart-cart:compileDebugKotlin,1191,1196,1133,1159,1536,1529,ms
Task Path,:ui:alarm-cart:compileDebugKotlin,1106,1195,1054,1097,1334,1565,ms
Task Path,:presentation:comment-cart:compileDebugKotlin,1059,1242,1010,1164,1240,1785,ms
Task Path,:presentation:location-cart:kspDebugKotlin,2203,2312,2032,2284,2761,2920,ms
Task Path,:presentation:log-cart:kspDebugKotlin,2274,2368,2139,2363,2857,2986,ms
Task Path,:presentation:location-cart:compileDebugKotlin,1239,1215,1136,1097,1758,1783,ms
Task Path,:presentation:message-cart:kspDebugKotlin,2339,2452,2220,2302,2730,3499,ms
Task Path,:presentation:photo-checkout:kspDebugKotlin,2387,2459,2260,2280,3035,3329,ms
Task Path,:presentation:log-cart:compileDebugKotlin,1127,1347,1098,1203,1263,2004,ms
Task Path,:presentation:message-cart:compileDebugKotlin,1136,1230,1085,1149,1332,1752,ms
Task Path,:presentation:photo-checkout:compileDebugKotlin,1168,1086,1107,1065,1681,1274,ms
Task Path,:presentation:post-cart:kspDebugKotlin,2422,2428,2325,2331,2984,3081,ms
Task Path,:presentation:search-cart:kspDebugKotlin,2342,2175,2278,2117,2893,2656,ms
Task Path,:presentation:post-cart:compileDebugKotlin,1231,1212,1175,1168,1547,1593,ms
Task Path,:presentation:search-cart:compileDebugKotlin,1212,1164,1176,1101,1604,1483,ms
Task Path,:presentation:setting-cart:kspDebugKotlin,2418,2176,2360,2106,3197,2603,ms
Task Path,:presentation:share-cart:kspDebugKotlin,2483,2339,2341,2227,3254,2859,ms
Task Path,:presentation:setting-cart:compileDebugKotlin,1188,1110,1137,1099,1518,1264,ms
Task Path,:presentation:share-cart:compileDebugKotlin,1261,1257,1257,1211,1693,1712,ms
Task Path,:presentation:sync-cart:kspDebugKotlin,2581,2477,2476,2356,3100,3120,ms
Task Path,:presentation:login-cart:kspDebugKotlin,2605,2724,2451,2644,3245,3404,ms
Task Path,:presentation:sync-cart:compileDebugKotlin,1263,1285,1190,1244,1609,1752,ms
Task Path,:presentation:login-cart:compileDebugKotlin,1347,1391,1275,1279,1798,1917,ms
Task Path,:presentation:notification-cart:kspDebugKotlin,2605,2679,2469,2705,2945,3255,ms
Task Path,:presentation:playlist-checkout:kspDebugKotlin,2515,2526,2503,2422,3068,3109,ms
Task Path,:presentation:notification-cart:compileDebugKotlin,1253,1316,1141,1196,1724,1800,ms
Task Path,:presentation:playlist-checkout:compileDebugKotlin,1332,1242,1144,1144,1855,1611,ms
Task Path,:ui:article-cart:kspDebugKotlin,2417,2454,2397,2335,3004,3032,ms
Task Path,:presentation:user-cart:kspDebugKotlin,2526,2592,2498,2503,3007,3627,ms
Task Path,:presentation:user-cart:compileDebugKotlin,1235,1244,1197,1229,1414,1433,ms
Task Path,:ui:article-cart:compileDebugKotlin,1202,1231,1114,1109,1723,1895,ms
Task Path,:presentation:checkout-cart:kspDebugKotlin,2313,2340,2249,2292,2889,3038,ms
Task Path,:presentation:gallery-checkout:kspDebugKotlin,2286,2438,2221,2241,2749,2974,ms
Task Path,:presentation:checkout-cart:compileDebugKotlin,1142,1141,1119,1151,1307,1351,ms
Task Path,:presentation:gallery-checkout:compileDebugKotlin,1143,1128,1103,1058,1547,1603,ms
Task Path,:presentation:identity-cart:kspDebugKotlin,2236,2428,2133,2281,2706,3357,ms
Task Path,:ui:audio-cart:kspDebugKotlin,2195,2233,2173,2070,2766,2789,ms
Task Path,:presentation:identity-cart:compileDebugKotlin,1174,1124,1107,1059,1717,1421,ms
Task Path,:ui:audio-cart:compileDebugKotlin,1204,1146,1127,1118,1704,1445,ms
Task Path,:presentation:media-checkout:kspDebugKotlin,2283,2275,2198,2123,2816,2724,ms
Task Path,:presentation:profile-cart:kspDebugKotlin,2345,2336,2223,2225,2726,2801,ms
Task Path,:presentation:media-checkout:compileDebugKotlin,1212,1174,1124,1095,1718,1541,ms
Task Path,:presentation:profile-cart:compileDebugKotlin,1175,1350,1107,1187,1592,1972,ms
Task Path,:presentation:report-cart:kspDebugKotlin,2318,2271,2211,2186,3057,2854,ms
Task Path,:presentation:account-cart:kspDebugKotlin,2226,2376,2260,2451,2666,3316,ms
Task Path,:presentation:report-cart:compileDebugKotlin,1126,1217,1042,1042,1630,1821,ms
Task Path,:presentation:contact-cart:kspDebugKotlin,2306,2392,2198,2359,2739,2972,ms
Task Path,:presentation:account-cart:compileDebugKotlin,1193,1166,1065,1056,1798,1664,ms
Task Path,:presentation:push-cart:kspDebugKotlin,2397,2378,2279,2166,3041,3335,ms
Task Path,:presentation:push-cart:compileDebugKotlin,1293,1220,1184,1163,1795,1703,ms
Task Path,:presentation:contact-cart:compileDebugKotlin,1268,1229,1114,1088,1770,1935,ms
Task Path,:ui:calendar-cart:kspDebugKotlin,2480,2462,2516,2327,3034,3349,ms
Task Path,:presentation:session-cart:kspDebugKotlin,2388,2344,2322,2190,2882,2947,ms
Task Path,:ui:calendar-cart:compileDebugKotlin,1186,1169,1115,1146,1616,1390,ms
Task Path,:presentation:session-cart:compileDebugKotlin,1196,1149,1101,1088,1612,1425,ms
Task Path,:ui:event-cart:kspDebugKotlin,2260,2258,2116,2166,2854,2800,ms
Task Path,:ui:forecast-cart:kspDebugKotlin,2330,2293,2301,2090,2798,2838,ms
Task Path,:ui:login-user:kspDebugKotlin,2356,2243,2281,2107,3111,2850,ms
Task Path,:ui:checkout-user:kspDebugKotlin,2348,2395,2339,2421,2992,3019,ms
Task Path,:ui:cart-user:kspDebugKotlin,2540,2590,2562,2619,3209,2989,ms
Task Path,:ui:contact-user:kspDebugKotlin,2667,2723,2662,2788,3337,3253,ms
Task Path,:ui:checkout-user:compileDebugKotlin,1270,1261,1173,1188,1736,1659,ms
Task Path,:ui:cart-user:compileDebugKotlin,1331,1333,1246,1257,1845,1743,ms
Task Path,:ui:document-cart:kspDebugKotlin,2508,2547,2411,2652,3281,2962,ms
Task Path,:ui:contact-user:compileDebugKotlin,1176,1192,1139,1144,1516,1552,ms
Task Path,:ui:document-cart:compileDebugKotlin,1102,1058,1013,1050,1580,1315,ms
Task Path,:ui:event-cart:compileDebugKotlin,1213,1157,1068,1066,1877,1546,ms
Task Path,:ui:forecast-cart:compileDebugKotlin,1109,1127,1020,1041,1655,1572,ms
Task Path,:ui:file-cart:kspDebugKotlin,2064,2057,1945,1912,2568,2554,ms
Task Path,:ui:gallery-cart:kspDebugKotlin,2317,2284,2269,2110,2986,3216,ms
Task Path,:ui:file-cart:compileDebugKotlin,1085,1128,1029,1097,1416,1396,ms
Task Path,:ui:identity-user:kspDebugKotlin,2472,2425,2523,2322,3188,3381,ms
Task Path,:ui:gallery-cart:compileDebugKotlin,1285,1528,1122,1685,1918,1981,ms
Task Path,:ui:list-cart:kspDebugKotlin,2582,2704,2656,2844,3156,3303,ms
Task Path,:ui:login-user:compileDebugKotlin,1288,1326,1161,1374,1750,1843,ms
Task Path,:ui:identity-user:compileDebugKotlin,1290,1480,1099,1456,1882,1884,ms
Task Path,:ui:list-cart:compileDebugKotlin,1091,1071,1021,998,1701,1308,ms
Task Path,:ui:map-cart:kspDebugKotlin,2014,1940,1965,1872,2600,2397,ms
Task Path,:ui:map-cart:compileDebugKotlin,1252,1198,1125,1100,1698,1666,ms
Task Path,:ui:media-cart:kspDebugKotlin,2558,2443,2638,2382,2978,2858,ms
Task Path,:ui:news-cart:kspDebugKotlin,2549,2400,2615,2215,2952,2916,ms
Task Path,:ui:metric-cart:kspDebugKotlin,2670,2597,2735,2609,3216,3062,ms
Task Path,:ui:news-cart:compileDebugKotlin,1120,1198,1066,1128,1540,1649,ms
Task Path,:ui:media-cart:compileDebugKotlin,1357,1256,1241,1141,1813,1830,ms
Task Path,:ui:metric-cart:compileDebugKotlin,1232,1205,1167,1141,1615,1627,ms
Task Path,:ui:note-cart:kspDebugKotlin,2418,2586,2474,2638,2934,3102,ms
Task Path,:ui:note-cart:compileDebugKotlin,1237,1284,1180,1191,1700,1677,ms
Task Path,:ui:photo-cart:kspDebugKotlin,2404,2573,2471,2563,2791,2914,ms
Task Path,:ui:playlist-cart:kspDebugKotlin,2600,2476,2601,2430,3043,2954,ms
Task Path,:ui:podcast-cart:kspDebugKotlin,2863,2698,2868,2733,3344,3364,ms
Task Path,:ui:photo-cart:compileDebugKotlin,1319,1224,1211,1191,1810,1578,ms
Task Path,:ui:playlist-cart:compileDebugKotlin,1208,1261,1110,1260,1552,1674,ms
Task Path,:ui:push-user:kspDebugKotlin,2584,2468,2559,2436,3363,3096,ms
Task Path,:ui:podcast-cart:compileDebugKotlin,1289,1275,1196,1189,2053,1648,ms
Task Path,:ui:push-user:compileDebugKotlin,1272,1139,1271,1073,1757,1483,ms
Task Path,:ui:status-cart:kspDebugKotlin,2583,2670,2606,2528,3286,3396,ms
Task Path,:ui:task-cart:kspDebugKotlin,2667,2547,2608,2526,3164,2959,ms
Task Path,:ui:timer-cart:kspDebugKotlin,2496,2443,2475,2427,3083,3125,ms
Task Path,:ui:status-cart:compileDebugKotlin,1584,1634,1658,1669,2055,1995,ms
