Category,Metric,varianta_gradle_9_1_0 Mean,variantb_gradle_9_2_0-rc-1 Mean,varianta_gradle_9_1_0 P50,variantb_gradle_9_2_0-rc-1 P50,varianta_gradle_9_1_0 P90,variantb_gradle_9_2_0-rc-1 P90,Unit
Task Path,:feature:gallery:kspDebugKotlin,3407,3371,3388,3324,4367,4140,ms
Task Path,:feature:feed-contact:compileDebugKotlin,2616,2706,2634,2707,3107,3212,ms
Task Path,:feature:login-contact:compileDebugKotlin,2161,2220,2137,2180,2613,2743,ms
Task Path,:feature:cart-contact:kspDebugKotlin,3707,3854,3629,3839,4332,4346,ms
Task Path,:feature:comment-contact:kspDebugKotlin,3451,3486,3429,3363,3975,3987,ms
Task Path,:feature:contact-contact:kspDebugKotlin,3421,3370,3413,3275,3827,3881,ms
Task Path,:feature:cart-contact:compileDebugKotlin,2218,2145,2107,2061,2891,2642,ms
Task Path,:feature:comment-contact:compileDebugKotlin,2286,2247,2280,2188,2827,2674,ms
Task Path,:feature:forecast:kspDebugKotlin,3502,3465,3457,3433,3991,3963,ms
Task Path,:feature:contact-contact:compileDebugKotlin,2297,2179,2251,2178,2747,2515,ms
Task Path,:feature:gallery:compileDebugKotlin,2229,2266,2238,2219,2654,2892,ms
Task Path,:feature:forecast:compileDebugKotlin,2154,2096,2171,2102,2416,2361,ms
Task Path,:feature:media:kspDebugKotlin,2910,2939,2882,2847,3367,3416,ms
Task Path,:feature:news:kspDebugKotlin,2899,2979,2875,2974,3238,3549,ms
Task Path,:feature:photo:kspDebugKotlin,2952,3027,2902,2996,3417,3522,ms
Task Path,:feature:playlist:kspDebugKotlin,2938,2945,2930,2906,3326,3453,ms
Task Path,:feature:media:compileDebugKotlin,1835,1889,1779,1829,2119,2330,ms
Task Path,:feature:news:compileDebugKotlin,1927,1922,1835,1810,2330,2297,ms
Task Path,:feature:playlist:compileDebugKotlin,1807,1858,1740,1856,2249,2326,ms
Task Path,:feature:photo:compileDebugKotlin,1993,2017,1950,2011,2554,2510,ms
Task Path,:feature:post-contact:kspDebugKotlin,3214,3101,3233,3022,3819,3713,ms
Task Path,:feature:post-contact:compileDebugKotlin,1906,1957,1882,1962,2151,2261,ms
Task Path,:feature:profile-contact:kspDebugKotlin,2908,2929,2923,2921,3510,3445,ms
Task Path,:feature:timer:kspDebugKotlin,3124,3213,3103,3220,3642,3548,ms
Task Path,:feature:todo:kspDebugKotlin,3199,3233,3191,3206,3591,3572,ms
Task Path,:feature:profile-contact:compileDebugKotlin,1828,1835,1832,1857,2093,2075,ms
Task Path,:feature:todo:compileDebugKotlin,2072,2175,1943,2146,2679,2721,ms
Task Path,:feature:timer:compileDebugKotlin,2010,1986,1996,2030,2293,2230,ms
